Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Abidjan,PM2.5 - Principal,2024-03-01 01:00 AM,2024,03,01,01,21.7,71,Moderate,26.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2024-03-01 02:00 AM,2024,03,01,02,16.3,60,Moderate,11.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2024-03-01 03:00 AM,2024,03,01,03,12.1,51,Moderate,8.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2024-03-01 04:00 AM,2024,03,01,04,13.0,53,Moderate,14.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2024-03-01 05:00 AM,2024,03,01,05,12.0,50,Good,11.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2024-03-01 06:00 AM,2024,03,01,06,12.5,52,Moderate,13.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2024-03-01 07:00 AM,2024,03,01,07,14.7,56,Moderate,17.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2024-03-01 08:00 AM,2024,03,01,08,17.8,63,Moderate,21.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2024-03-01 09:00 AM,2024,03,01,09,14.9,57,Moderate,12.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2024-03-01 10:00 AM,2024,03,01,10,15.9,59,Moderate,17.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2024-03-01 11:00 AM,2024,03,01,11,17.9,63,Moderate,20.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2024-03-01 12:00 PM,2024,03,01,12,17.4,62,Moderate,17.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2024-03-01 01:00 PM,2024,03,01,13,17.2,62,Moderate,17.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2024-03-01 02:00 PM,2024,03,01,14,15.6,58,Moderate,14.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2024-03-01 03:00 PM,2024,03,01,15,18.8,65,Moderate,22.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2024-03-01 04:00 PM,2024,03,01,16,24.9,78,Moderate,31.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2024-03-01 05:00 PM,2024,03,01,17,27.4,83,Moderate,30.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2024-03-01 06:00 PM,2024,03,01,18,22.2,72,Moderate,17.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2024-03-01 07:00 PM,2024,03,01,19,20.6,69,Moderate,19.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2024-03-01 08:00 PM,2024,03,01,20,21.3,70,Moderate,22.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2024-03-01 09:00 PM,2024,03,01,21,22.6,73,Moderate,24.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2024-03-01 10:00 PM,2024,03,01,22,20.3,68,Moderate,18.0,UG/M3,1 Hr,Valid
