Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Abidjan,PM2.5 - Principal,2025-01-01 01:00 AM,2025,01,01,01,16.7,65,Moderate,16.7,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2025-01-01 02:00 AM,2025,01,01,02,31.0,92,Moderate,45.2,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2025-01-01 03:00 AM,2025,01,01,03,24.8,80,Moderate,18.8,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2025-01-01 04:00 AM,2025,01,01,04,18.4,68,Moderate,12.1,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2025-01-01 05:00 AM,2025,01,01,05,18.7,69,Moderate,19.1,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2025-01-01 06:00 AM,2025,01,01,06,21.7,74,Moderate,24.7,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2025-01-01 07:00 AM,2025,01,01,07,18.4,68,Moderate,15.1,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2025-01-01 08:00 AM,2025,01,01,08,20.2,72,Moderate,22.1,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2025-01-01 09:00 AM,2025,01,01,09,23.1,77,Moderate,26.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2025-01-01 10:00 AM,2025,01,01,10,25.1,81,Moderate,27.2,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2025-01-01 11:00 AM,2025,01,01,11,32.2,94,Moderate,39.3,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2025-01-01 12:00 PM,2025,01,01,12,77.7,167,Unhealthy,123.2,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2025-01-01 01:00 PM,2025,01,01,13,77.7,167,Unhealthy,-9.3,UG/M3,1 Hr,Invalid
Abidjan,PM2.5 - Principal,2025-01-01 02:00 PM,2025,01,01,14,156.1,231,Very Unhealthy,195.3,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2025-01-01 03:00 PM,2025,01,01,15,-999.0,-999,N/A,-9.3,UG/M3,1 Hr,Invalid
Abidjan,PM2.5 - Principal,2025-01-01 04:00 PM,2025,01,01,16,182.9,258,Very Unhealthy,192.9,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2025-01-01 05:00 PM,2025,01,01,17,83.8,171,Unhealthy,15.8,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2025-01-01 06:00 PM,2025,01,01,18,42.9,119,Unhealthy for Sensitive Groups,8.5,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2025-01-01 07:00 PM,2025,01,01,19,43.0,119,Unhealthy for Sensitive Groups,-5.9,UG/M3,1 Hr,Invalid
Abidjan,PM2.5 - Principal,2025-01-01 08:00 PM,2025,01,01,20,35.2,100,Moderate,31.7,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2025-01-01 09:00 PM,2025,01,01,21,-999.0,-999,N/A,-14.1,UG/M3,1 Hr,Invalid
Abidjan,PM2.5 - Principal,2025-01-01 10:00 PM,2025,01,01,22,23.3,77,Moderate,19.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2025-01-01 11:00 PM,2025,01,01,23,21.9,75,Moderate,21.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2025-01-02 12:00 AM,2025,01,02,00,21.3,74,Moderate,20.9,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2025-01-02 01:00 AM,2025,01,02,01,20.1,71,Moderate,19.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2025-01-02 02:00 AM,2025,01,02,02,19.4,70,Moderate,18.9,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2025-01-02 03:00 AM,2025,01,02,03,18.7,69,Moderate,18.1,UG/M3,1 Hr,Valid
