Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Abu Dhabi,O3,2018-08-01 01:00 AM,2018,08,01,01,60.0,67,Moderate,68.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-08-01 02:00 AM,2018,08,01,02,76.0,119,Unhealthy for Sensitive Groups,85.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-08-01 03:00 AM,2018,08,01,03,65.0,84,Moderate,57.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-08-01 04:00 AM,2018,08,01,04,56.0,54,Moderate,51.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-08-01 05:00 AM,2018,08,01,05,51.0,47,Good,49.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-08-01 06:00 AM,2018,08,01,06,52.0,48,Good,48.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-08-01 07:00 AM,2018,08,01,07,45.0,42,Good,40.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-08-01 08:00 AM,2018,08,01,08,30.0,28,Good,25.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-08-01 09:00 AM,2018,08,01,09,33.0,31,Good,34.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-08-01 10:00 AM,2018,08,01,10,42.0,39,Good,48.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-08-01 11:00 AM,2018,08,01,11,46.0,43,Good,51.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-08-01 12:00 PM,2018,08,01,12,46.0,43,Good,46.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-08-01 01:00 PM,2018,08,01,13,48.0,44,Good,50.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-08-01 02:00 PM,2018,08,01,14,48.0,44,Good,48.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-08-01 03:00 PM,2018,08,01,15,51.0,47,Good,53.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-08-01 04:00 PM,2018,08,01,16,52.0,48,Good,55.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-08-01 05:00 PM,2018,08,01,17,50.0,46,Good,48.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-08-01 06:00 PM,2018,08,01,18,46.0,43,Good,38.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-08-01 07:00 PM,2018,08,01,19,38.0,35,Good,30.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-08-01 08:00 PM,2018,08,01,20,26.0,24,Good,21.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-08-01 09:00 PM,2018,08,01,21,31.0,29,Good,35.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-08-01 10:00 PM,2018,08,01,22,36.0,33,Good,39.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-08-01 11:00 PM,2018,08,01,23,41.0,38,Good,44.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-08-02 12:00 AM,2018,08,02,00,44.0,41,Good,46.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-08-02 01:00 AM,2018,08,02,01,47.0,44,Good,49.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-08-02 02:00 AM,2018,08,02,02,50.0,46,Good,52.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-08-02 03:00 AM,2018,08,02,03,52.0,48,Good,53.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-08-02 04:00 AM,2018,08,02,04,45.0,42,Good,37.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-08-02 05:00 AM,2018,08,02,05,44.0,41,Good,42.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-08-02 06:00 AM,2018,08,02,06,44.0,41,Good,44.0,PPB,1 Hr,Valid
