Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Abuja,PM2.5 - Principal,2025-03-01 01:00 AM,2025,03,01,01,130.4,206,Very Unhealthy,127.2,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-01 02:00 AM,2025,03,01,02,105.1,186,Unhealthy,79.1,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-01 03:00 AM,2025,03,01,03,74.4,164,Unhealthy,44.1,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-01 04:00 AM,2025,03,01,04,58.1,153,Unhealthy,41.8,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-01 05:00 AM,2025,03,01,05,52.6,143,Unhealthy for Sensitive Groups,47.2,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-01 06:00 AM,2025,03,01,06,50.5,138,Unhealthy for Sensitive Groups,48.5,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-01 07:00 AM,2025,03,01,07,49.7,136,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-01 08:00 AM,2025,03,01,08,46.1,127,Unhealthy for Sensitive Groups,42.5,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-01 09:00 AM,2025,03,01,09,45.6,126,Unhealthy for Sensitive Groups,45.2,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-01 10:00 AM,2025,03,01,10,50.3,137,Unhealthy for Sensitive Groups,55.1,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-01 11:00 AM,2025,03,01,11,53.0,144,Unhealthy for Sensitive Groups,55.7,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-01 12:00 PM,2025,03,01,12,59.0,153,Unhealthy,65.0,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-01 01:00 PM,2025,03,01,13,62.8,156,Unhealthy,67.7,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-01 02:00 PM,2025,03,01,14,62.1,156,Unhealthy,64.1,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-01 03:00 PM,2025,03,01,15,61.4,155,Unhealthy,60.3,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-01 04:00 PM,2025,03,01,16,61.2,155,Unhealthy,61.0,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-01 05:00 PM,2025,03,01,17,61.0,155,Unhealthy,60.5,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-01 06:00 PM,2025,03,01,18,60.9,155,Unhealthy,60.7,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-01 07:00 PM,2025,03,01,19,63.5,157,Unhealthy,68.0,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-01 08:00 PM,2025,03,01,20,72.8,163,Unhealthy,83.2,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-01 09:00 PM,2025,03,01,21,81.0,169,Unhealthy,94.0,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-01 10:00 PM,2025,03,01,22,92.3,177,Unhealthy,103.6,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-01 11:00 PM,2025,03,01,23,109.3,189,Unhealthy,125.0,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-02 12:00 AM,2025,03,02,00,111.8,190,Unhealthy,114.3,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-02 01:00 AM,2025,03,02,01,106.9,187,Unhealthy,102.1,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-02 02:00 AM,2025,03,02,02,106.8,187,Unhealthy,106.7,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-02 03:00 AM,2025,03,02,03,96.1,179,Unhealthy,85.5,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-02 04:00 AM,2025,03,02,04,85.6,172,Unhealthy,75.2,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-02 05:00 AM,2025,03,02,05,79.0,167,Unhealthy,72.4,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-02 06:00 AM,2025,03,02,06,75.0,165,Unhealthy,68.7,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-02 07:00 AM,2025,03,02,07,73.9,164,Unhealthy,72.5,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-02 08:00 AM,2025,03,02,08,75.3,165,Unhealthy,77.0,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-02 09:00 AM,2025,03,02,09,79.9,168,Unhealthy,85.6,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-02 10:00 AM,2025,03,02,10,80.2,168,Unhealthy,80.6,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-02 11:00 AM,2025,03,02,11,77.4,166,Unhealthy,73.7,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-02 12:00 PM,2025,03,02,12,75.5,165,Unhealthy,71.8,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-02 01:00 PM,2025,03,02,13,72.6,163,Unhealthy,68.0,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-02 02:00 PM,2025,03,02,14,70.5,162,Unhealthy,62.6,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-02 03:00 PM,2025,03,02,15,65.3,158,Unhealthy,57.2,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-02 04:00 PM,2025,03,02,16,58.5,153,Unhealthy,50.9,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-02 05:00 PM,2025,03,02,17,53.6,146,Unhealthy for Sensitive Groups,48.3,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-02 06:00 PM,2025,03,02,18,52.9,144,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-02 07:00 PM,2025,03,02,19,54.0,147,Unhealthy for Sensitive Groups,55.5,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-02 08:00 PM,2025,03,02,20,58.9,153,Unhealthy,65.3,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-02 09:00 PM,2025,03,02,21,66.0,158,Unhealthy,77.2,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-02 10:00 PM,2025,03,02,22,73.9,164,Unhealthy,83.9,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-02 11:00 PM,2025,03,02,23,76.9,166,Unhealthy,81.0,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-03 12:00 AM,2025,03,03,00,95.9,179,Unhealthy,113.4,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-03 01:00 AM,2025,03,03,01,107.6,188,Unhealthy,119.3,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-03 02:00 AM,2025,03,03,02,101.8,183,Unhealthy,96.1,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-03 03:00 AM,2025,03,03,03,96.2,180,Unhealthy,90.7,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-03 04:00 AM,2025,03,03,04,84.6,171,Unhealthy,73.1,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-03 05:00 AM,2025,03,03,05,71.6,162,Unhealthy,58.6,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-03 06:00 AM,2025,03,03,06,72.6,163,Unhealthy,73.6,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-03 07:00 AM,2025,03,03,07,79.7,168,Unhealthy,86.9,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-03 08:00 AM,2025,03,03,08,89.3,175,Unhealthy,99.0,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-03 09:00 AM,2025,03,03,09,101.8,183,Unhealthy,114.4,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-03 10:00 AM,2025,03,03,10,89.5,175,Unhealthy,77.3,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-03 11:00 AM,2025,03,03,11,80.8,169,Unhealthy,72.1,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-03 12:00 PM,2025,03,03,12,77.9,167,Unhealthy,75.0,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-03 01:00 PM,2025,03,03,13,70.2,161,Unhealthy,62.0,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-03 02:00 PM,2025,03,03,14,62.2,156,Unhealthy,54.6,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-03 03:00 PM,2025,03,03,15,54.9,149,Unhealthy for Sensitive Groups,47.7,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-03 04:00 PM,2025,03,03,16,48.4,133,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-03 05:00 PM,2025,03,03,17,44.8,124,Unhealthy for Sensitive Groups,41.2,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-03 06:00 PM,2025,03,03,18,43.7,121,Unhealthy for Sensitive Groups,42.7,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-03 07:00 PM,2025,03,03,19,44.7,124,Unhealthy for Sensitive Groups,45.7,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-03 08:00 PM,2025,03,03,20,48.8,134,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-03 09:00 PM,2025,03,03,21,51.9,141,Unhealthy for Sensitive Groups,55.8,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-03 10:00 PM,2025,03,03,22,51.1,139,Unhealthy for Sensitive Groups,50.3,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-03 11:00 PM,2025,03,03,23,54.1,147,Unhealthy for Sensitive Groups,57.9,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-04 12:00 AM,2025,03,04,00,58.5,153,Unhealthy,66.7,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-04 01:00 AM,2025,03,04,01,64.1,157,Unhealthy,70.9,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-04 02:00 AM,2025,03,04,02,70.1,161,Unhealthy,76.2,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-04 03:00 AM,2025,03,04,03,65.9,158,Unhealthy,60.9,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-04 04:00 AM,2025,03,04,04,61.7,155,Unhealthy,56.9,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-04 05:00 AM,2025,03,04,05,60.7,155,Unhealthy,59.2,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-04 06:00 AM,2025,03,04,06,60.6,155,Unhealthy,60.1,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-04 07:00 AM,2025,03,04,07,65.3,158,Unhealthy,73.9,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-04 08:00 AM,2025,03,04,08,72.2,163,Unhealthy,82.2,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-04 09:00 AM,2025,03,04,09,81.5,169,Unhealthy,91.3,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-04 10:00 AM,2025,03,04,10,76.6,166,Unhealthy,72.3,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-04 11:00 AM,2025,03,04,11,75.3,165,Unhealthy,73.2,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2025-03-04 12:00 PM,2025,03,04,12,75.4,165,Unhealthy,-999.0,UG/M3,1 Hr,Missing
Abuja,PM2.5 - Principal,2025-03-04 01:00 PM,2025,03,04,13,77.8,167,Unhealthy,80.4,UG/M3,1 Hr,Valid
