Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Accra,PM2.5 - Principal,2020-10-01 01:00 AM,2020,10,01,01,-999.0,-999,N/A,12.0,UG/M3,1 Hr,Invalid
Accra,PM2.5 - Principal,2020-10-01 02:00 AM,2020,10,01,02,-999.0,-999,N/A,12.0,UG/M3,1 Hr,Invalid
Accra,PM2.5 - Principal,2020-10-01 03:00 AM,2020,10,01,03,-999.0,-999,N/A,12.0,UG/M3,1 Hr,Invalid
Accra,PM2.5 - Principal,2020-10-01 04:00 AM,2020,10,01,04,-999.0,-999,N/A,10.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2020-10-01 05:00 AM,2020,10,01,05,11.9,50,Good,13.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2020-10-01 06:00 AM,2020,10,01,06,11.4,48,Good,11.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2020-10-01 07:00 AM,2020,10,01,07,13.7,54,Moderate,16.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2020-10-01 08:00 AM,2020,10,01,08,12.0,50,Good,10.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2020-10-01 09:00 AM,2020,10,01,09,14.1,55,Moderate,17.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2020-10-01 10:00 AM,2020,10,01,10,14.9,57,Moderate,16.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2020-10-01 11:00 AM,2020,10,01,11,13.7,54,Moderate,12.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2020-10-01 12:00 PM,2020,10,01,12,13.4,54,Moderate,13.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2020-10-01 01:00 PM,2020,10,01,13,14.0,55,Moderate,15.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2020-10-01 02:00 PM,2020,10,01,14,12.8,52,Moderate,11.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2020-10-01 03:00 PM,2020,10,01,15,13.2,53,Moderate,14.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2020-10-01 04:00 PM,2020,10,01,16,14.0,55,Moderate,15.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2020-10-01 05:00 PM,2020,10,01,17,14.0,55,Moderate,14.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2020-10-01 06:00 PM,2020,10,01,18,13.1,53,Moderate,12.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2020-10-01 07:00 PM,2020,10,01,19,13.1,53,Moderate,13.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2020-10-01 08:00 PM,2020,10,01,20,12.4,52,Moderate,11.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2020-10-01 09:00 PM,2020,10,01,21,12.0,50,Good,11.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2020-10-01 10:00 PM,2020,10,01,22,10.6,44,Good,9.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2020-10-01 11:00 PM,2020,10,01,23,11.1,46,Good,12.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2020-10-02 12:00 AM,2020,10,02,00,10.3,43,Good,9.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2020-10-02 01:00 AM,2020,10,02,01,10.1,42,Good,10.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2020-10-02 02:00 AM,2020,10,02,02,10.5,44,Good,11.0,UG/M3,1 Hr,Valid
