Site,Parameter,Date (LT),Year,Month,Day,Hour,AQI,AQI Category,24-hr. Midpoint Avg. Conc.,Raw Conc.,Conc. Unit,Duration,QC Name
Addis Ababa Central,PM2.5 - Principal,2016-12-01 01:00 AM,2016,12,01,01,59,2,15.8,16.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2016-12-01 02:00 AM,2016,12,01,02,60,2,16.2,15.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2016-12-01 03:00 AM,2016,12,01,03,60,2,16.3,14.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2016-12-01 04:00 AM,2016,12,01,04,61,2,16.7,12.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2016-12-01 05:00 AM,2016,12,01,05,61,2,17.0,8.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2016-12-01 06:00 AM,2016,12,01,06,62,2,17.2,13.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2016-12-01 07:00 AM,2016,12,01,07,62,2,17.3,15.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2016-12-01 08:00 AM,2016,12,01,08,62,2,17.5,38.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2016-12-01 09:00 AM,2016,12,01,09,63,2,18.0,57.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2016-12-01 10:00 AM,2016,12,01,10,64,2,18.2,34.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2016-12-01 11:00 AM,2016,12,01,11,66,2,19.2,17.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2016-12-01 12:00 PM,2016,12,01,12,66,2,19.3,15.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2016-12-01 01:00 PM,2016,12,01,13,66,2,19.1,17.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2016-12-01 02:00 PM,2016,12,01,14,68,2,20.3,12.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2016-12-01 03:00 PM,2016,12,01,15,70,2,21.0,15.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2016-12-01 04:00 PM,2016,12,01,16,71,2,21.4,13.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2016-12-01 05:00 PM,2016,12,01,17,71,2,21.7,9.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2016-12-01 06:00 PM,2016,12,01,18,72,2,22.2,12.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2016-12-01 07:00 PM,2016,12,01,19,73,2,22.7,20.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2016-12-01 08:00 PM,2016,12,01,20,74,2,23.2,25.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2016-12-01 09:00 PM,2016,12,01,21,73,2,22.7,18.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2016-12-01 10:00 PM,2016,12,01,22,72,2,22.2,33.0,UG/M3,1 Hr,Valid
