Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Addis Ababa Jacros,PM2.5 - Principal,2023-01-20 11:00 AM,2023,01,20,11,-999.0,-999,N/A,39.0,UG/M3,1 Hr,Valid
Addis Ababa Jacros,PM2.5 - Principal,2023-01-20 12:00 PM,2023,01,20,12,35.1,99,Moderate,32.0,UG/M3,1 Hr,Valid
Addis Ababa Jacros,PM2.5 - Principal,2023-01-20 01:00 PM,2023,01,20,13,31.8,92,Moderate,28.0,UG/M3,1 Hr,Valid
Addis Ababa Jacros,PM2.5 - Principal,2023-01-20 02:00 PM,2023,01,20,14,24.4,77,Moderate,19.0,UG/M3,1 Hr,Valid
Addis Ababa Jacros,PM2.5 - Principal,2023-01-20 03:00 PM,2023,01,20,15,22.6,73,Moderate,21.0,UG/M3,1 Hr,Valid
Addis Ababa Jacros,PM2.5 - Principal,2023-01-20 04:00 PM,2023,01,20,16,22.8,74,Moderate,23.0,UG/M3,1 Hr,Valid
Addis Ababa Jacros,PM2.5 - Principal,2023-01-20 05:00 PM,2023,01,20,17,21.4,71,Moderate,20.0,UG/M3,1 Hr,Valid
Addis Ababa Jacros,PM2.5 - Principal,2023-01-20 06:00 PM,2023,01,20,18,19.6,67,Moderate,18.0,UG/M3,1 Hr,Valid
Addis Ababa Jacros,PM2.5 - Principal,2023-01-20 07:00 PM,2023,01,20,19,22.3,72,Moderate,25.0,UG/M3,1 Hr,Valid
Addis Ababa Jacros,PM2.5 - Principal,2023-01-20 08:00 PM,2023,01,20,20,23.6,75,Moderate,25.0,UG/M3,1 Hr,Valid
Addis Ababa Jacros,PM2.5 - Principal,2023-01-20 09:00 PM,2023,01,20,21,24.3,77,Moderate,25.0,UG/M3,1 Hr,Valid
Addis Ababa Jacros,PM2.5 - Principal,2023-01-20 10:00 PM,2023,01,20,22,20.1,68,Moderate,16.0,UG/M3,1 Hr,Valid
