Site,Parameter,Date (LT),Year,Month,Day,Hour,AQI,AQI Category,24-hr. Midpoint Avg. Conc.,Raw Conc.,Conc. Unit,Duration,QC Name
Addis Ababa School,PM2.5 - Principal,2016-09-01 06:00 PM,2016,09,01,18,-999,N/A,-999.0,52.0,UG/M3,1 Hr,Valid
Addis Ababa School,PM2.5 - Principal,2016-09-01 07:00 PM,2016,09,01,19,167,Unhealthy,87.3,105.0,UG/M3,1 Hr,Valid
Addis Ababa School,PM2.5 - Principal,2016-09-01 08:00 PM,2016,09,01,20,186,Unhealthy,123.1,150.0,UG/M3,1 Hr,Valid
Addis Ababa School,PM2.5 - Principal,2016-09-01 09:00 PM,2016,09,01,21,206,Very Unhealthy,155.6,184.0,UG/M3,1 Hr,Valid
Addis Ababa School,PM2.5 - Principal,2016-09-01 10:00 PM,2016,09,01,22,191,Unhealthy,133.6,113.0,UG/M3,1 Hr,Valid
Addis Ababa School,PM2.5 - Principal,2016-09-01 11:00 PM,2016,09,01,23,163,Unhealthy,78.4,25.0,UG/M3,1 Hr,Valid
Addis Ababa School,PM2.5 - Principal,2016-09-02 12:00 AM,2016,09,02,00,140,Unhealthy for Sensitive Groups,51.5,20.0,UG/M3,1 Hr,Valid
Addis Ababa School,PM2.5 - Principal,2016-09-02 01:00 AM,2016,09,02,01,137,Unhealthy for Sensitive Groups,50.1,14.0,UG/M3,1 Hr,Valid
Addis Ababa School,PM2.5 - Principal,2016-09-02 02:00 AM,2016,09,02,02,134,Unhealthy for Sensitive Groups,48.9,15.0,UG/M3,1 Hr,Valid
Addis Ababa School,PM2.5 - Principal,2016-09-02 03:00 AM,2016,09,02,03,130,Unhealthy for Sensitive Groups,47.3,17.0,UG/M3,1 Hr,Valid
Addis Ababa School,PM2.5 - Principal,2016-09-02 04:00 AM,2016,09,02,04,127,Unhealthy for Sensitive Groups,46.0,17.0,UG/M3,1 Hr,Valid
Addis Ababa School,PM2.5 - Principal,2016-09-02 05:00 AM,2016,09,02,05,124,Unhealthy for Sensitive Groups,44.9,17.0,UG/M3,1 Hr,Valid
Addis Ababa School,PM2.5 - Principal,2016-09-02 06:00 AM,2016,09,02,06,122,Unhealthy for Sensitive Groups,44.1,23.0,UG/M3,1 Hr,Valid
Addis Ababa School,PM2.5 - Principal,2016-09-02 07:00 AM,2016,09,02,07,120,Unhealthy for Sensitive Groups,43.2,30.0,UG/M3,1 Hr,Valid
Addis Ababa School,PM2.5 - Principal,2016-09-02 08:00 AM,2016,09,02,08,113,Unhealthy for Sensitive Groups,40.5,30.0,UG/M3,1 Hr,Valid
Addis Ababa School,PM2.5 - Principal,2016-09-02 09:00 AM,2016,09,02,09,103,Unhealthy for Sensitive Groups,36.4,40.0,UG/M3,1 Hr,Valid
Addis Ababa School,PM2.5 - Principal,2016-09-02 10:00 AM,2016,09,02,10,90,Moderate,30.6,41.0,UG/M3,1 Hr,Valid
Addis Ababa School,PM2.5 - Principal,2016-09-02 11:00 AM,2016,09,02,11,85,Moderate,28.2,35.0,UG/M3,1 Hr,Valid
