Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Algiers,PM2.5 - Principal,2023-06-01 01:00 AM,2023,06,01,01,8.2,34,Good,9.0,UG/M3,1 Hr,Valid
Algiers,PM2.5 - Principal,2023-06-01 02:00 AM,2023,06,01,02,9.8,41,Good,12.0,UG/M3,1 Hr,Valid
Algiers,PM2.5 - Principal,2023-06-01 03:00 AM,2023,06,01,03,12.0,50,Good,14.0,UG/M3,1 Hr,Valid
Algiers,PM2.5 - Principal,2023-06-01 04:00 AM,2023,06,01,04,12.5,52,Moderate,13.0,UG/M3,1 Hr,Valid
Algiers,PM2.5 - Principal,2023-06-01 05:00 AM,2023,06,01,05,12.7,52,Moderate,13.0,UG/M3,1 Hr,Valid
Algiers,PM2.5 - Principal,2023-06-01 06:00 AM,2023,06,01,06,12.8,52,Moderate,13.0,UG/M3,1 Hr,Valid
Algiers,PM2.5 - Principal,2023-06-01 07:00 AM,2023,06,01,07,11.9,50,Good,11.0,UG/M3,1 Hr,Valid
Algiers,PM2.5 - Principal,2023-06-01 08:00 AM,2023,06,01,08,12.4,52,Moderate,13.0,UG/M3,1 Hr,Valid
Algiers,PM2.5 - Principal,2023-06-01 09:00 AM,2023,06,01,09,14.2,55,Moderate,16.0,UG/M3,1 Hr,Valid
Algiers,PM2.5 - Principal,2023-06-01 10:00 AM,2023,06,01,10,13.6,54,Moderate,13.0,UG/M3,1 Hr,Valid
Algiers,PM2.5 - Principal,2023-06-01 11:00 AM,2023,06,01,11,14.3,56,Moderate,15.0,UG/M3,1 Hr,Valid
Algiers,PM2.5 - Principal,2023-06-01 12:00 PM,2023,06,01,12,16.1,59,Moderate,18.0,UG/M3,1 Hr,Valid
Algiers,PM2.5 - Principal,2023-06-01 01:00 PM,2023,06,01,13,16.5,60,Moderate,18.0,UG/M3,1 Hr,Valid
Algiers,PM2.5 - Principal,2023-06-01 02:00 PM,2023,06,01,14,11.5,48,Good,6.0,UG/M3,1 Hr,Valid
Algiers,PM2.5 - Principal,2023-06-01 03:00 PM,2023,06,01,15,10.7,45,Good,10.0,UG/M3,1 Hr,Valid
Algiers,PM2.5 - Principal,2023-06-01 04:00 PM,2023,06,01,16,10.3,43,Good,10.0,UG/M3,1 Hr,Valid
Algiers,PM2.5 - Principal,2023-06-01 05:00 PM,2023,06,01,17,10.6,44,Good,11.0,UG/M3,1 Hr,Valid
