Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Almaty,PM2.5 - Principal,2022-12-01 01:00 AM,2022,12,01,01,13.4,54,Moderate,12.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-01 02:00 AM,2022,12,01,02,13.3,54,Moderate,-999.0,UG/M3,1 Hr,Missing
Almaty,PM2.5 - Principal,2022-12-01 03:00 AM,2022,12,01,03,10.4,43,Good,9.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-01 04:00 AM,2022,12,01,04,11.8,49,Good,13.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-01 05:00 AM,2022,12,01,05,32.1,93,Moderate,50.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-01 06:00 AM,2022,12,01,06,25.3,79,Moderate,19.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-01 07:00 AM,2022,12,01,07,17.5,62,Moderate,10.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-01 08:00 AM,2022,12,01,08,12.7,52,Moderate,8.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-01 09:00 AM,2022,12,01,09,9.3,39,Good,6.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-01 10:00 AM,2022,12,01,10,7.6,32,Good,6.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-01 11:00 AM,2022,12,01,11,7.8,33,Good,8.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-01 12:00 PM,2022,12,01,12,7.9,33,Good,8.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-01 01:00 PM,2022,12,01,13,7.9,33,Good,8.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-01 02:00 PM,2022,12,01,14,14.4,56,Moderate,21.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-01 03:00 PM,2022,12,01,15,24.2,76,Moderate,34.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-01 04:00 PM,2022,12,01,16,28.6,86,Moderate,33.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-01 05:00 PM,2022,12,01,17,31.8,92,Moderate,35.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-01 06:00 PM,2022,12,01,18,39.4,111,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-01 07:00 PM,2022,12,01,19,42.7,119,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-01 08:00 PM,2022,12,01,20,41.3,115,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-01 09:00 PM,2022,12,01,21,38.1,107,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-01 10:00 PM,2022,12,01,22,35.0,99,Moderate,32.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-01 11:00 PM,2022,12,01,23,34.0,97,Moderate,33.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-02 12:00 AM,2022,12,02,00,36.5,103,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-02 01:00 AM,2022,12,02,01,37.7,106,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-02 02:00 AM,2022,12,02,02,37.3,105,Unhealthy for Sensitive Groups,-999.0,UG/M3,1 Hr,Missing
Almaty,PM2.5 - Principal,2022-12-02 03:00 AM,2022,12,02,03,37.2,105,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-02 04:00 AM,2022,12,02,04,38.3,108,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-02 05:00 AM,2022,12,02,05,29.3,87,Moderate,21.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-02 06:00 AM,2022,12,02,06,35.3,100,Moderate,41.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-02 07:00 AM,2022,12,02,07,42.2,117,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-02 08:00 AM,2022,12,02,08,43.1,120,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-02 09:00 AM,2022,12,02,09,50.1,137,Unhealthy for Sensitive Groups,57.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-02 10:00 AM,2022,12,02,10,56.5,152,Unhealthy,63.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-02 11:00 AM,2022,12,02,11,60.7,154,Unhealthy,65.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-02 12:00 PM,2022,12,02,12,60.3,153,Unhealthy,60.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-02 01:00 PM,2022,12,02,13,87.2,167,Unhealthy,114.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-02 02:00 PM,2022,12,02,14,97.1,172,Unhealthy,107.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-02 03:00 PM,2022,12,02,15,102.0,175,Unhealthy,107.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-02 04:00 PM,2022,12,02,16,104.0,176,Unhealthy,106.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-02 05:00 PM,2022,12,02,17,101.5,175,Unhealthy,99.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-02 06:00 PM,2022,12,02,18,95.7,172,Unhealthy,90.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-02 07:00 PM,2022,12,02,19,92.8,170,Unhealthy,90.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-02 08:00 PM,2022,12,02,20,95.4,172,Unhealthy,98.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-02 09:00 PM,2022,12,02,21,97.1,172,Unhealthy,99.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-02 10:00 PM,2022,12,02,22,93.7,171,Unhealthy,90.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-02 11:00 PM,2022,12,02,23,91.9,170,Unhealthy,90.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-03 12:00 AM,2022,12,03,00,90.9,169,Unhealthy,83.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-03 01:00 AM,2022,12,03,01,89.5,169,Unhealthy,83.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-03 02:00 AM,2022,12,03,02,89.3,168,Unhealthy,-999.0,UG/M3,1 Hr,Missing
Almaty,PM2.5 - Principal,2022-12-03 03:00 AM,2022,12,03,03,81.7,165,Unhealthy,73.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-03 04:00 AM,2022,12,03,04,61.0,154,Unhealthy,49.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-03 05:00 AM,2022,12,03,05,47.6,131,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-03 06:00 AM,2022,12,03,06,43.1,120,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-03 07:00 AM,2022,12,03,07,39.0,110,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-03 08:00 AM,2022,12,03,08,36.4,103,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-03 09:00 AM,2022,12,03,09,42.7,119,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-03 10:00 AM,2022,12,03,10,47.3,130,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-03 11:00 AM,2022,12,03,11,49.1,134,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-03 12:00 PM,2022,12,03,12,51.5,140,Unhealthy for Sensitive Groups,54.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-03 01:00 PM,2022,12,03,13,52.7,143,Unhealthy for Sensitive Groups,54.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-03 02:00 PM,2022,12,03,14,56.8,152,Unhealthy,61.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-03 03:00 PM,2022,12,03,15,66.9,157,Unhealthy,77.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-03 04:00 PM,2022,12,03,16,79.4,163,Unhealthy,92.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-03 05:00 PM,2022,12,03,17,84.7,166,Unhealthy,90.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-03 06:00 PM,2022,12,03,18,77.8,163,Unhealthy,71.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-03 07:00 PM,2022,12,03,19,83.4,165,Unhealthy,89.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-03 08:00 PM,2022,12,03,20,91.2,169,Unhealthy,99.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-03 09:00 PM,2022,12,03,21,102.6,175,Unhealthy,114.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-03 10:00 PM,2022,12,03,22,113.3,181,Unhealthy,124.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-03 11:00 PM,2022,12,03,23,118.6,184,Unhealthy,124.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-04 12:00 AM,2022,12,04,00,116.3,182,Unhealthy,114.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-04 01:00 AM,2022,12,04,01,115.1,182,Unhealthy,114.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-12-04 02:00 AM,2022,12,04,02,114.8,182,Unhealthy,-999.0,UG/M3,1 Hr,Missing
