Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Almaty,PM2.5 - Principal,2022-01-01 01:00 AM,2022,01,01,01,71.7,159,Unhealthy,127.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-01-01 02:00 AM,2022,01,01,02,59.3,153,Unhealthy,47.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-01-01 03:00 AM,2022,01,01,03,38.1,107,Unhealthy for Sensitive Groups,17.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-01-01 04:00 AM,2022,01,01,04,22.5,73,Moderate,7.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-01-01 05:00 AM,2022,01,01,05,34.2,97,Moderate,46.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-01-01 06:00 AM,2022,01,01,06,21.6,71,Moderate,9.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-01-01 07:00 AM,2022,01,01,07,14.2,55,Moderate,7.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-01-01 08:00 AM,2022,01,01,08,9.6,40,Good,5.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-01-01 09:00 AM,2022,01,01,09,7.3,30,Good,5.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-01-01 10:00 AM,2022,01,01,10,5.6,23,Good,4.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-01-01 11:00 AM,2022,01,01,11,3.8,16,Good,2.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-01-01 12:00 PM,2022,01,01,12,5.9,25,Good,8.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-01-01 01:00 PM,2022,01,01,13,23.4,75,Moderate,41.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-01-01 02:00 PM,2022,01,01,14,98.7,173,Unhealthy,174.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-01-01 03:00 PM,2022,01,01,15,137.8,193,Unhealthy,177.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-01-01 04:00 PM,2022,01,01,16,211.4,261,Very Unhealthy,285.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-01-01 05:00 PM,2022,01,01,17,213.2,263,Very Unhealthy,215.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-01-01 06:00 PM,2022,01,01,18,196.1,246,Very Unhealthy,179.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-01-01 07:00 PM,2022,01,01,19,118.5,184,Unhealthy,41.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-01-01 08:00 PM,2022,01,01,20,74.7,161,Unhealthy,31.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-01-01 09:00 PM,2022,01,01,21,47.8,131,Unhealthy for Sensitive Groups,21.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-01-01 10:00 PM,2022,01,01,22,35.9,102,Unhealthy for Sensitive Groups,24.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-01-01 11:00 PM,2022,01,01,23,26.4,81,Moderate,17.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-01-02 12:00 AM,2022,01,02,00,18.7,65,Moderate,11.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-01-02 01:00 AM,2022,01,02,01,14.3,56,Moderate,10.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-01-02 02:00 AM,2022,01,02,02,11.1,46,Good,8.0,UG/M3,1 Hr,Valid
Almaty,PM2.5 - Principal,2022-01-02 03:00 AM,2022,01,02,03,8.5,35,Good,6.0,UG/M3,1 Hr,Valid
