Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Amman,O3,2023-01-02 02:00 PM,2023,01,02,14,31.0,29,Good,32.0,PPB,1 Hr,Valid
Amman,O3,2023-01-02 03:00 PM,2023,01,02,15,30.0,28,Good,31.0,PPB,1 Hr,Valid
Amman,O3,2023-01-02 04:00 PM,2023,01,02,16,30.0,28,Good,-999.0,PPB,1 Hr,Missing
Amman,O3,2023-01-02 05:00 PM,2023,01,02,17,30.0,28,Good,-999.0,PPB,1 Hr,Missing
Amman,O3,2023-01-23 04:00 PM,2023,01,23,16,40.0,37,Good,42.0,PPB,1 Hr,Valid
Amman,O3,2023-01-23 05:00 PM,2023,01,23,17,31.0,29,Good,31.0,PPB,1 Hr,Valid
Amman,O3,2023-01-23 06:00 PM,2023,01,23,18,11.0,10,Good,7.0,PPB,1 Hr,Valid
Amman,O3,2023-01-23 07:00 PM,2023,01,23,19,10.0,9,Good,7.0,PPB,1 Hr,Valid
Amman,O3,2023-01-23 08:00 PM,2023,01,23,20,6.0,6,Good,2.0,PPB,1 Hr,Valid
Amman,O3,2023-01-23 09:00 PM,2023,01,23,21,6.0,6,Good,2.0,PPB,1 Hr,Valid
Amman,O3,2023-01-23 10:00 PM,2023,01,23,22,5.0,5,Good,1.0,PPB,1 Hr,Valid
Amman,O3,2023-01-23 11:00 PM,2023,01,23,23,8.0,7,Good,4.0,PPB,1 Hr,Valid
Amman,O3,2023-01-24 12:00 AM,2023,01,24,00,12.0,11,Good,9.0,PPB,1 Hr,Valid
Amman,O3,2023-01-24 01:00 AM,2023,01,24,01,22.0,20,Good,21.0,PPB,1 Hr,Valid
Amman,O3,2023-01-24 02:00 AM,2023,01,24,02,16.0,15,Good,14.0,PPB,1 Hr,Valid
Amman,O3,2023-01-24 03:00 AM,2023,01,24,03,27.0,25,Good,26.0,PPB,1 Hr,Valid
Amman,O3,2023-01-24 04:00 AM,2023,01,24,04,27.0,25,Good,-999.0,PPB,1 Hr,Missing
Amman,O3,2023-01-24 05:00 AM,2023,01,24,05,27.0,25,Good,-999.0,PPB,1 Hr,Missing
Amman,O3,2023-01-24 06:00 AM,2023,01,24,06,18.0,17,Good,16.0,PPB,1 Hr,Valid
Amman,O3,2023-01-24 07:00 AM,2023,01,24,07,5.0,5,Good,0.0,PPB,1 Hr,Valid
Amman,O3,2023-01-24 08:00 AM,2023,01,24,08,5.0,5,Good,1.0,PPB,1 Hr,Valid
Amman,O3,2023-01-24 09:00 AM,2023,01,24,09,7.0,6,Good,3.0,PPB,1 Hr,Valid
Amman,O3,2023-01-24 10:00 AM,2023,01,24,10,19.0,18,Good,17.0,PPB,1 Hr,Valid
Amman,O3,2023-01-24 11:00 AM,2023,01,24,11,32.0,30,Good,32.0,PPB,1 Hr,Valid
Amman,O3,2023-01-24 12:00 PM,2023,01,24,12,38.0,35,Good,40.0,PPB,1 Hr,Valid
Amman,O3,2023-01-24 01:00 PM,2023,01,24,13,41.0,38,Good,43.0,PPB,1 Hr,Valid
Amman,O3,2023-01-24 02:00 PM,2023,01,24,14,39.0,36,Good,41.0,PPB,1 Hr,Valid
Amman,O3,2023-01-24 03:00 PM,2023,01,24,15,38.0,35,Good,39.0,PPB,1 Hr,Valid
Amman,O3,2023-01-24 04:00 PM,2023,01,24,16,35.0,32,Good,36.0,PPB,1 Hr,Valid
Amman,O3,2023-01-24 05:00 PM,2023,01,24,17,28.0,26,Good,28.0,PPB,1 Hr,Valid
Amman,O3,2023-01-24 06:00 PM,2023,01,24,18,18.0,17,Good,16.0,PPB,1 Hr,Valid
Amman,O3,2023-01-24 07:00 PM,2023,01,24,19,7.0,6,Good,3.0,PPB,1 Hr,Valid
Amman,O3,2023-01-24 08:00 PM,2023,01,24,20,10.0,9,Good,6.0,PPB,1 Hr,Valid
Amman,O3,2023-01-24 09:00 PM,2023,01,24,21,6.0,6,Good,2.0,PPB,1 Hr,Valid
Amman,O3,2023-01-24 10:00 PM,2023,01,24,22,5.0,5,Good,1.0,PPB,1 Hr,Valid
Amman,O3,2023-01-24 11:00 PM,2023,01,24,23,4.0,4,Good,0.0,PPB,1 Hr,Valid
Amman,O3,2023-01-25 12:00 AM,2023,01,25,00,10.0,9,Good,6.0,PPB,1 Hr,Valid
Amman,O3,2023-01-25 01:00 AM,2023,01,25,01,22.0,20,Good,21.0,PPB,1 Hr,Valid
Amman,O3,2023-01-25 02:00 AM,2023,01,25,02,28.0,26,Good,28.0,PPB,1 Hr,Valid
Amman,O3,2023-01-25 03:00 AM,2023,01,25,03,32.0,30,Good,32.0,PPB,1 Hr,Valid
Amman,O3,2023-01-25 04:00 AM,2023,01,25,04,30.0,28,Good,30.0,PPB,1 Hr,Valid
Amman,O3,2023-01-25 05:00 AM,2023,01,25,05,29.0,27,Good,29.0,PPB,1 Hr,Valid
Amman,O3,2023-01-25 06:00 AM,2023,01,25,06,24.0,22,Good,23.0,PPB,1 Hr,Valid
Amman,O3,2023-01-25 07:00 AM,2023,01,25,07,12.0,11,Good,9.0,PPB,1 Hr,Valid
Amman,O3,2023-01-25 08:00 AM,2023,01,25,08,10.0,9,Good,6.0,PPB,1 Hr,Valid
Amman,O3,2023-01-25 09:00 AM,2023,01,25,09,24.0,22,Good,23.0,PPB,1 Hr,Valid
Amman,O3,2023-01-25 10:00 AM,2023,01,25,10,34.0,31,Good,35.0,PPB,1 Hr,Valid
Amman,O3,2023-01-25 11:00 AM,2023,01,25,11,39.0,36,Good,40.0,PPB,1 Hr,Valid
Amman,O3,2023-01-25 12:00 PM,2023,01,25,12,41.0,38,Good,43.0,PPB,1 Hr,Valid
Amman,O3,2023-01-25 01:00 PM,2023,01,25,13,42.0,39,Good,44.0,PPB,1 Hr,Valid
Amman,O3,2023-01-25 02:00 PM,2023,01,25,14,42.0,39,Good,44.0,PPB,1 Hr,Valid
Amman,O3,2023-01-25 03:00 PM,2023,01,25,15,42.0,39,Good,45.0,PPB,1 Hr,Valid
Amman,O3,2023-01-25 04:00 PM,2023,01,25,16,45.0,42,Good,48.0,PPB,1 Hr,Valid
Amman,O3,2023-01-25 05:00 PM,2023,01,25,17,39.0,36,Good,41.0,PPB,1 Hr,Valid
Amman,O3,2023-01-25 06:00 PM,2023,01,25,18,23.0,21,Good,22.0,PPB,1 Hr,Valid
Amman,O3,2023-01-25 07:00 PM,2023,01,25,19,7.0,6,Good,3.0,PPB,1 Hr,Valid
