Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Amman,PM2.5 - Principal,2023-06-01 02:00 AM,2023,06,01,02,10.7,45,Good,11.0,UG/M3,1 Hr,Valid
Amman,PM2.5 - Principal,2023-06-01 03:00 AM,2023,06,01,03,9.3,39,Good,8.0,UG/M3,1 Hr,Valid
Amman,PM2.5 - Principal,2023-06-01 04:00 AM,2023,06,01,04,9.1,38,Good,9.0,UG/M3,1 Hr,Valid
Amman,PM2.5 - Principal,2023-06-01 05:00 AM,2023,06,01,05,8.0,33,Good,7.0,UG/M3,1 Hr,Valid
Amman,PM2.5 - Principal,2023-06-01 06:00 AM,2023,06,01,06,6.5,27,Good,5.0,UG/M3,1 Hr,Valid
Amman,PM2.5 - Principal,2023-06-01 07:00 AM,2023,06,01,07,4.7,20,Good,3.0,UG/M3,1 Hr,Valid
Amman,PM2.5 - Principal,2023-06-01 08:00 AM,2023,06,01,08,5.8,24,Good,7.0,UG/M3,1 Hr,Valid
Amman,PM2.5 - Principal,2023-06-01 09:00 AM,2023,06,01,09,5.9,25,Good,6.0,UG/M3,1 Hr,Valid
Amman,PM2.5 - Principal,2023-06-01 10:00 AM,2023,06,01,10,4.9,20,Good,4.0,UG/M3,1 Hr,Valid
Amman,PM2.5 - Principal,2023-06-01 11:00 AM,2023,06,01,11,6.9,29,Good,9.0,UG/M3,1 Hr,Valid
Amman,PM2.5 - Principal,2023-06-01 12:00 PM,2023,06,01,12,7.4,31,Good,8.0,UG/M3,1 Hr,Valid
Amman,PM2.5 - Principal,2023-06-01 01:00 PM,2023,06,01,13,7.2,30,Good,7.0,UG/M3,1 Hr,Valid
Amman,PM2.5 - Principal,2023-06-01 02:00 PM,2023,06,01,14,10.1,42,Good,13.0,UG/M3,1 Hr,Valid
Amman,PM2.5 - Principal,2023-06-01 03:00 PM,2023,06,01,15,9.5,40,Good,9.0,UG/M3,1 Hr,Valid
Amman,PM2.5 - Principal,2023-06-01 04:00 PM,2023,06,01,16,10.2,43,Good,11.0,UG/M3,1 Hr,Valid
Amman,PM2.5 - Principal,2023-06-01 05:00 PM,2023,06,01,17,10.1,42,Good,10.0,UG/M3,1 Hr,Valid
Amman,PM2.5 - Principal,2023-06-01 06:00 PM,2023,06,01,18,10.0,42,Good,10.0,UG/M3,1 Hr,Valid
Amman,PM2.5 - Principal,2023-06-01 07:00 PM,2023,06,01,19,10.0,42,Good,10.0,UG/M3,1 Hr,Valid
