Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Antananarivo,PM2.5 - Principal,2020-01-01 01:00 AM,2020,01,01,01,4.6,19,Good,2.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2020-01-01 02:00 AM,2020,01,01,02,3.8,16,Good,3.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2020-01-01 03:00 AM,2020,01,01,03,2.8,12,Good,2.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2020-01-01 04:00 AM,2020,01,01,04,2.4,10,Good,2.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2020-01-01 05:00 AM,2020,01,01,05,5.7,24,Good,9.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2020-01-01 06:00 AM,2020,01,01,06,10.8,45,Good,16.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2020-01-01 07:00 AM,2020,01,01,07,12.9,53,Moderate,15.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2020-01-01 08:00 AM,2020,01,01,08,13.4,54,Moderate,14.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2020-01-01 09:00 AM,2020,01,01,09,13.2,53,Moderate,13.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2020-01-01 10:00 AM,2020,01,01,10,10.1,42,Good,7.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2020-01-01 11:00 AM,2020,01,01,11,8.0,33,Good,6.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2020-01-01 12:00 PM,2020,01,01,12,7.5,31,Good,7.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2020-01-01 01:00 PM,2020,01,01,13,5.2,22,Good,3.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2020-01-01 02:00 PM,2020,01,01,14,1.6,7,Good,-2.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2020-01-01 03:00 PM,2020,01,01,15,1.3,5,Good,1.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2020-01-01 04:00 PM,2020,01,01,16,2.1,9,Good,3.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2020-01-01 05:00 PM,2020,01,01,17,4.0,17,Good,6.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2020-01-01 06:00 PM,2020,01,01,18,5.5,23,Good,7.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2020-01-01 07:00 PM,2020,01,01,19,12.2,51,Moderate,19.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2020-01-01 08:00 PM,2020,01,01,20,22.6,73,Moderate,33.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2020-01-01 09:00 PM,2020,01,01,21,18.3,64,Moderate,14.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2020-01-01 10:00 PM,2020,01,01,22,12.6,52,Moderate,7.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2020-01-01 11:00 PM,2020,01,01,23,6.8,28,Good,1.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2020-01-02 12:00 AM,2020,01,02,00,4.4,18,Good,2.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2020-01-02 01:00 AM,2020,01,02,01,3.2,13,Good,2.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2020-01-02 02:00 AM,2020,01,02,02,2.6,11,Good,2.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2020-01-02 03:00 AM,2020,01,02,03,1.8,8,Good,1.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2020-01-02 04:00 AM,2020,01,02,04,2.4,10,Good,3.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2020-01-02 05:00 AM,2020,01,02,05,8.7,36,Good,15.0,UG/M3,1 Hr,Valid
