Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Antananarivo,PM2.5 - Principal,2021-02-01 01:00 AM,2021,02,01,01,1.7,7,Good,1.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-01 02:00 AM,2021,02,01,02,0.8,3,Good,0.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-01 03:00 AM,2021,02,01,03,0.9,4,Good,1.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-01 04:00 AM,2021,02,01,04,0.9,4,Good,1.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-01 05:00 AM,2021,02,01,05,7.9,33,Good,15.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-01 06:00 AM,2021,02,01,06,11.4,48,Good,15.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-01 07:00 AM,2021,02,01,07,18.7,65,Moderate,26.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-01 08:00 AM,2021,02,01,08,14.8,57,Moderate,11.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-01 09:00 AM,2021,02,01,09,11.9,50,Good,9.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-01 10:00 AM,2021,02,01,10,8.9,37,Good,6.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-01 11:00 AM,2021,02,01,11,6.9,29,Good,5.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-01 12:00 PM,2021,02,01,12,5.9,25,Good,5.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-01 01:00 PM,2021,02,01,13,5.4,23,Good,5.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-01 02:00 PM,2021,02,01,14,5.7,24,Good,6.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-01 03:00 PM,2021,02,01,15,5.3,22,Good,5.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-01 04:00 PM,2021,02,01,16,4.1,17,Good,3.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-01 05:00 PM,2021,02,01,17,4.0,17,Good,4.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-01 06:00 PM,2021,02,01,18,6.0,25,Good,8.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-01 07:00 PM,2021,02,01,19,13.5,54,Moderate,21.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-01 08:00 PM,2021,02,01,20,20.7,69,Moderate,28.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-01 09:00 PM,2021,02,01,21,14.8,57,Moderate,9.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-01 10:00 PM,2021,02,01,22,10.9,45,Good,7.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-01 11:00 PM,2021,02,01,23,8.4,35,Good,6.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-02 12:00 AM,2021,02,02,00,6.7,28,Good,5.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-02 01:00 AM,2021,02,02,01,5.3,22,Good,4.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-02 02:00 AM,2021,02,02,02,4.1,17,Good,3.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-02 03:00 AM,2021,02,02,03,4.5,19,Good,5.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-02 04:00 AM,2021,02,02,04,5.7,24,Good,7.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-02 05:00 AM,2021,02,02,05,10.8,45,Good,16.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-02 06:00 AM,2021,02,02,06,19.9,67,Moderate,29.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-02 07:00 AM,2021,02,02,07,28.4,85,Moderate,37.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-02 08:00 AM,2021,02,02,08,24.2,76,Moderate,20.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-02 09:00 AM,2021,02,02,09,16.6,60,Moderate,9.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-02 10:00 AM,2021,02,02,10,12.3,51,Moderate,8.0,UG/M3,1 Hr,Valid
Antananarivo,PM2.5 - Principal,2021-02-02 11:00 AM,2021,02,02,11,10.6,44,Good,9.0,UG/M3,1 Hr,Valid
