Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Ashgabat,PM2.5 - Principal,2023-01-01 01:00 AM,2023,01,01,01,35.6,101,Unhealthy for Sensitive Groups,28.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2023-01-01 02:00 AM,2023,01,01,02,30.3,89,Moderate,25.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2023-01-01 03:00 AM,2023,01,01,03,27.1,83,Moderate,24.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2023-01-01 04:00 AM,2023,01,01,04,34.5,98,Moderate,42.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2023-01-01 05:00 AM,2023,01,01,05,33.7,96,Moderate,33.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2023-01-01 06:00 AM,2023,01,01,06,26.8,82,Moderate,20.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2023-01-01 07:00 AM,2023,01,01,07,22.4,73,Moderate,18.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2023-01-01 08:00 AM,2023,01,01,08,19.7,67,Moderate,17.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2023-01-01 09:00 AM,2023,01,01,09,17.8,63,Moderate,16.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2023-01-01 10:00 AM,2023,01,01,10,13.4,54,Moderate,9.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2023-01-01 11:00 AM,2023,01,01,11,12.2,51,Moderate,11.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2023-01-01 12:00 PM,2023,01,01,12,24.6,77,Moderate,37.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2023-01-01 01:00 PM,2023,01,01,13,30.8,90,Moderate,37.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2023-01-01 02:00 PM,2023,01,01,14,26.4,81,Moderate,22.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2023-01-01 03:00 PM,2023,01,01,15,27.2,83,Moderate,28.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2023-01-01 04:00 PM,2023,01,01,16,29.5,88,Moderate,32.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2023-01-01 05:00 PM,2023,01,01,17,32.8,95,Moderate,36.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2023-01-01 06:00 PM,2023,01,01,18,35.9,102,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2023-01-01 07:00 PM,2023,01,01,19,40.9,114,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2023-01-01 08:00 PM,2023,01,01,20,45.9,127,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2023-01-01 09:00 PM,2023,01,01,21,45.4,125,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2023-01-01 10:00 PM,2023,01,01,22,45.2,125,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2023-01-01 11:00 PM,2023,01,01,23,38.1,107,Unhealthy for Sensitive Groups,31.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2023-01-02 12:00 AM,2023,01,02,00,36.0,102,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
