Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Ashgabat,PM2.5 - Principal,2025-02-01 01:00 AM,2025,02,01,01,44.9,124,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-01 02:00 AM,2025,02,01,02,40.9,114,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-01 03:00 AM,2025,02,01,03,40.7,114,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-01 04:00 AM,2025,02,01,04,40.6,114,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-01 05:00 AM,2025,02,01,05,40.7,114,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-01 06:00 AM,2025,02,01,06,42.8,119,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-01 07:00 AM,2025,02,01,07,41.4,116,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-01 08:00 AM,2025,02,01,08,44.2,122,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-01 09:00 AM,2025,02,01,09,44.4,123,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-01 10:00 AM,2025,02,01,10,45.7,126,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-01 11:00 AM,2025,02,01,11,48.4,133,Unhealthy for Sensitive Groups,54.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-01 12:00 PM,2025,02,01,12,44.0,122,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-01 01:00 PM,2025,02,01,13,33.8,97,Moderate,25.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-01 02:00 PM,2025,02,01,14,28.4,87,Moderate,23.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-01 03:00 PM,2025,02,01,15,25.2,81,Moderate,22.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-01 04:00 PM,2025,02,01,16,21.1,73,Moderate,17.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-01 05:00 PM,2025,02,01,17,22.5,76,Moderate,24.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-01 06:00 PM,2025,02,01,18,27.2,85,Moderate,32.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-01 07:00 PM,2025,02,01,19,27.6,85,Moderate,28.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-01 08:00 PM,2025,02,01,20,32.8,95,Moderate,38.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-01 09:00 PM,2025,02,01,21,33.9,97,Moderate,35.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-01 10:00 PM,2025,02,01,22,32.9,95,Moderate,32.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-01 11:00 PM,2025,02,01,23,31.4,93,Moderate,30.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-02 12:00 AM,2025,02,02,00,29.7,89,Moderate,28.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-02 01:00 AM,2025,02,02,01,34.8,99,Moderate,40.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-02 02:00 AM,2025,02,02,02,33.9,97,Moderate,33.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-02 03:00 AM,2025,02,02,03,33.4,96,Moderate,33.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-02 04:00 AM,2025,02,02,04,33.6,97,Moderate,34.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-02 05:00 AM,2025,02,02,05,33.9,97,Moderate,35.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-02 06:00 AM,2025,02,02,06,34.0,97,Moderate,34.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-02 07:00 AM,2025,02,02,07,34.9,99,Moderate,37.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-02 08:00 AM,2025,02,02,08,36.9,104,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-02 09:00 AM,2025,02,02,09,38.2,108,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-02 10:00 AM,2025,02,02,10,43.3,120,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-02 11:00 AM,2025,02,02,11,51.1,139,Unhealthy for Sensitive Groups,58.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-02 12:00 PM,2025,02,02,12,54.5,148,Unhealthy for Sensitive Groups,60.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-02 01:00 PM,2025,02,02,13,51.6,141,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-02 02:00 PM,2025,02,02,14,46.3,128,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-02 03:00 PM,2025,02,02,15,42.4,118,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-02 04:00 PM,2025,02,02,16,40.0,112,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Ashgabat,PM2.5 - Principal,2025-02-02 05:00 PM,2025,02,02,17,38.3,108,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
