Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Astana,PM2.5 - Principal,2018-10-01 01:00 AM,2018,10,01,01,55.1,149,Unhealthy for Sensitive Groups,61.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2018-10-01 02:00 AM,2018,10,01,02,55.0,149,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2018-10-01 03:00 AM,2018,10,01,03,72.0,160,Unhealthy,89.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2018-10-01 04:00 AM,2018,10,01,04,65.0,156,Unhealthy,58.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2018-10-01 05:00 AM,2018,10,01,05,55.5,151,Unhealthy,46.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2018-10-01 06:00 AM,2018,10,01,06,39.7,111,Unhealthy for Sensitive Groups,24.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2018-10-01 07:00 AM,2018,10,01,07,28.8,86,Moderate,18.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2018-10-01 08:00 AM,2018,10,01,08,30.9,91,Moderate,33.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2018-10-01 09:00 AM,2018,10,01,09,25.4,79,Moderate,20.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2018-10-01 10:00 AM,2018,10,01,10,24.2,76,Moderate,23.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2018-10-01 11:00 AM,2018,10,01,11,22.1,72,Moderate,20.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2018-10-01 12:00 PM,2018,10,01,12,19.5,67,Moderate,17.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2018-10-01 01:00 PM,2018,10,01,13,18.2,64,Moderate,17.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2018-10-01 02:00 PM,2018,10,01,14,17.6,63,Moderate,17.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2018-10-01 03:00 PM,2018,10,01,15,20.3,68,Moderate,23.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2018-10-01 04:00 PM,2018,10,01,16,23.6,75,Moderate,27.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2018-10-01 05:00 PM,2018,10,01,17,21.8,71,Moderate,20.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2018-10-01 06:00 PM,2018,10,01,18,21.9,72,Moderate,22.0,UG/M3,1 Hr,Valid
