Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Astana,PM2.5 - Principal,2018-03-22 12:00 PM,2018,03,22,12,-999.0,-999,N/A,0.0,UG/M3,1 Hr,Invalid
Astana,PM2.5 - Principal,2018-05-21 08:00 PM,2018,05,21,20,-999.0,-999,N/A,0.0,UG/M3,1 Hr,Invalid
Astana,PM2.5 - Principal,2018-05-21 09:00 PM,2018,05,21,21,-999.0,-999,N/A,0.0,UG/M3,1 Hr,Invalid
Astana,PM2.5 - Principal,2018-05-21 10:00 PM,2018,05,21,22,-999.0,-999,N/A,0.0,UG/M3,1 Hr,Invalid
Astana,PM2.5 - Principal,2018-05-21 11:00 PM,2018,05,21,23,-999.0,-999,N/A,0.0,UG/M3,1 Hr,Invalid
Astana,PM2.5 - Principal,2018-05-22 12:00 AM,2018,05,22,00,-999.0,-999,N/A,0.0,UG/M3,1 Hr,Invalid
Astana,PM2.5 - Principal,2018-05-22 01:00 AM,2018,05,22,01,-999.0,-999,N/A,0.0,UG/M3,1 Hr,Invalid
Astana,PM2.5 - Principal,2018-05-22 02:00 AM,2018,05,22,02,-999.0,-999,N/A,0.0,UG/M3,1 Hr,Invalid
Astana,PM2.5 - Principal,2018-05-22 03:00 AM,2018,05,22,03,-999.0,-999,N/A,0.0,UG/M3,1 Hr,Invalid
Astana,PM2.5 - Principal,2018-05-22 04:00 AM,2018,05,22,04,-999.0,-999,N/A,0.0,UG/M3,1 Hr,Invalid
Astana,PM2.5 - Principal,2018-05-22 05:00 AM,2018,05,22,05,-999.0,-999,N/A,0.0,UG/M3,1 Hr,Invalid
Astana,PM2.5 - Principal,2018-05-22 06:00 AM,2018,05,22,06,-999.0,-999,N/A,0.0,UG/M3,1 Hr,Invalid
Astana,PM2.5 - Principal,2018-05-22 07:00 AM,2018,05,22,07,-999.0,-999,N/A,0.0,UG/M3,1 Hr,Invalid
Astana,PM2.5 - Principal,2018-05-22 08:00 AM,2018,05,22,08,-999.0,-999,N/A,0.0,UG/M3,1 Hr,Invalid
Astana,PM2.5 - Principal,2018-05-22 09:00 AM,2018,05,22,09,-999.0,-999,N/A,0.0,UG/M3,1 Hr,Invalid
