Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Asuncion,PM2.5 - Principal,2023-05-17 09:00 PM,2023,05,17,21,-999.0,-999,N/A,30.6,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2023-05-17 10:00 PM,2023,05,17,22,31.4,92,Moderate,32.1,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2023-05-17 11:00 PM,2023,05,17,23,29.5,88,Moderate,26.5,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2023-05-18 12:00 AM,2023,05,18,00,26.2,81,Moderate,21.8,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2023-05-18 01:00 AM,2023,05,18,01,22.9,74,Moderate,19.2,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2023-05-18 02:00 AM,2023,05,18,02,21.6,71,Moderate,19.9,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2023-05-18 03:00 AM,2023,05,18,03,18.6,65,Moderate,16.2,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2023-05-18 04:00 AM,2023,05,18,04,15.3,58,Moderate,12.1,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2023-05-18 05:00 AM,2023,05,18,05,12.9,53,Moderate,10.4,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2023-05-18 06:00 AM,2023,05,18,06,11.3,47,Good,9.7,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2023-05-18 07:00 AM,2023,05,18,07,11.5,48,Good,11.6,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2023-05-18 08:00 AM,2023,05,18,08,12.1,51,Moderate,12.8,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2023-05-18 09:00 AM,2023,05,18,09,12.2,51,Moderate,12.3,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2023-05-18 10:00 AM,2023,05,18,10,12.4,52,Moderate,12.7,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2023-05-18 11:00 AM,2023,05,18,11,13.5,54,Moderate,14.5,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2023-05-18 12:00 PM,2023,05,18,12,13.9,55,Moderate,14.3,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2023-05-18 01:00 PM,2023,05,18,13,13.3,54,Moderate,12.7,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2023-05-18 02:00 PM,2023,05,18,14,13.2,53,Moderate,13.1,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2023-05-18 03:00 PM,2023,05,18,15,13.1,53,Moderate,13.1,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2023-05-18 04:00 PM,2023,05,18,16,12.9,53,Moderate,12.5,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2023-05-18 05:00 PM,2023,05,18,17,14.2,55,Moderate,16.2,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2023-05-18 06:00 PM,2023,05,18,18,24.5,77,Moderate,34.5,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2023-05-18 07:00 PM,2023,05,18,19,29.9,88,Moderate,35.3,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2023-05-18 08:00 PM,2023,05,18,20,38.6,109,Unhealthy for Sensitive Groups,47.3,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2023-05-18 09:00 PM,2023,05,18,21,48.0,132,Unhealthy for Sensitive Groups,57.4,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2023-05-18 10:00 PM,2023,05,18,22,50.1,137,Unhealthy for Sensitive Groups,52.2,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2023-05-18 11:00 PM,2023,05,18,23,38.5,108,Unhealthy for Sensitive Groups,27.0,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2023-05-19 12:00 AM,2023,05,19,00,31.5,92,Moderate,24.5,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2023-05-19 01:00 AM,2023,05,19,01,26.3,81,Moderate,21.1,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2023-05-19 02:00 AM,2023,05,19,02,23.5,75,Moderate,20.7,UG/M3,1 Hr,Valid
