Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Asuncion,PM2.5 - Principal,2024-02-01 02:00 AM,2024,02,01,02,33.2,95,Moderate,30.4,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2024-02-01 03:00 AM,2024,02,01,03,39.2,110,Unhealthy for Sensitive Groups,45.2,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2024-02-01 04:00 AM,2024,02,01,04,35.3,100,Moderate,31.5,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2024-02-01 05:00 AM,2024,02,01,05,30.8,90,Moderate,26.2,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2024-02-01 06:00 AM,2024,02,01,06,29.5,88,Moderate,28.2,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2024-02-01 07:00 AM,2024,02,01,07,34.5,98,Moderate,39.6,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2024-02-01 08:00 AM,2024,02,01,08,40.8,114,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2024-02-01 09:00 AM,2024,02,01,09,48.9,134,Unhealthy for Sensitive Groups,57.0,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2024-02-01 10:00 AM,2024,02,01,10,45.9,127,Unhealthy for Sensitive Groups,42.9,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2024-02-01 11:00 AM,2024,02,01,11,40.3,113,Unhealthy for Sensitive Groups,34.8,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2024-02-01 12:00 PM,2024,02,01,12,34.3,98,Moderate,28.2,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2024-02-01 01:00 PM,2024,02,01,13,31.4,92,Moderate,28.6,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2024-02-01 02:00 PM,2024,02,01,14,36.3,103,Unhealthy for Sensitive Groups,41.2,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2024-02-01 03:00 PM,2024,02,01,15,35.1,99,Moderate,33.9,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2024-02-01 04:00 PM,2024,02,01,16,36.2,103,Unhealthy for Sensitive Groups,37.2,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2024-02-01 05:00 PM,2024,02,01,17,35.0,99,Moderate,33.9,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2024-02-01 06:00 PM,2024,02,01,18,33.8,97,Moderate,32.6,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2024-02-01 07:00 PM,2024,02,01,19,31.0,91,Moderate,28.2,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2024-02-01 08:00 PM,2024,02,01,20,29.0,87,Moderate,27.0,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2024-02-01 09:00 PM,2024,02,01,21,29.3,87,Moderate,28.0,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2024-02-01 10:00 PM,2024,02,01,22,31.8,92,Moderate,36.1,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2024-02-01 11:00 PM,2024,02,01,23,33.1,95,Moderate,35.6,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2024-02-02 12:00 AM,2024,02,02,00,33.9,97,Moderate,35.5,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2024-02-02 01:00 AM,2024,02,02,01,32.3,93,Moderate,29.3,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2024-02-02 02:00 AM,2024,02,02,02,30.6,90,Moderate,26.3,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2024-02-02 03:00 AM,2024,02,02,03,29.4,87,Moderate,26.6,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2024-02-02 04:00 AM,2024,02,02,04,28.7,86,Moderate,26.6,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2024-02-02 05:00 AM,2024,02,02,05,28.6,86,Moderate,28.7,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2024-02-02 06:00 AM,2024,02,02,06,29.7,88,Moderate,32.4,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2024-02-02 07:00 AM,2024,02,02,07,31.1,91,Moderate,34.8,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2024-02-02 08:00 AM,2024,02,02,08,32.7,94,Moderate,36.6,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2024-02-02 09:00 AM,2024,02,02,09,33.8,97,Moderate,36.2,UG/M3,1 Hr,Valid
Asuncion,PM2.5 - Principal,2024-02-02 10:00 AM,2024,02,02,10,32.4,94,Moderate,29.2,UG/M3,1 Hr,Valid
