Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Baghdad,PM2.5 - Principal,2022-06-01 01:00 AM,2022,06,01,01,205.5,256,Very Unhealthy,184.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2022-06-01 02:00 AM,2022,06,01,02,172.2,223,Very Unhealthy,139.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2022-06-01 03:00 AM,2022,06,01,03,151.9,202,Very Unhealthy,129.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2022-06-01 04:00 AM,2022,06,01,04,141.3,195,Unhealthy,130.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2022-06-01 05:00 AM,2022,06,01,05,136.8,193,Unhealthy,132.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2022-06-01 06:00 AM,2022,06,01,06,245.5,295,Very Unhealthy,355.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2022-06-01 07:00 AM,2022,06,01,07,353.8,403,Hazardous,462.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2022-06-01 08:00 AM,2022,06,01,08,391.4,428,Hazardous,429.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2022-06-01 09:00 AM,2022,06,01,09,316.7,367,Hazardous,242.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2022-06-01 10:00 AM,2022,06,01,10,248.8,298,Very Unhealthy,181.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2022-06-01 11:00 AM,2022,06,01,11,191.4,242,Very Unhealthy,134.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2022-06-01 12:00 PM,2022,06,01,12,147.1,198,Unhealthy,103.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2022-06-01 01:00 PM,2022,06,01,13,123.0,186,Unhealthy,99.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2022-06-01 02:00 PM,2022,06,01,14,108.0,178,Unhealthy,93.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2022-06-01 03:00 PM,2022,06,01,15,102.0,175,Unhealthy,96.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2022-06-01 04:00 PM,2022,06,01,16,100.0,174,Unhealthy,98.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2022-06-01 05:00 PM,2022,06,01,17,99.9,174,Unhealthy,100.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2022-06-01 06:00 PM,2022,06,01,18,98.4,173,Unhealthy,97.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2022-06-01 07:00 PM,2022,06,01,19,102.6,175,Unhealthy,107.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2022-06-01 08:00 PM,2022,06,01,20,125.8,187,Unhealthy,149.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2022-06-01 09:00 PM,2022,06,01,21,127.9,188,Unhealthy,131.0,UG/M3,1 Hr,Valid
