Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Baku,PM2.5 - Principal,2023-03-01 01:00 AM,2023,03,01,01,105.2,177,Unhealthy,68.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2023-03-01 02:00 AM,2023,03,01,02,79.1,163,Unhealthy,53.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2023-03-01 03:00 AM,2023,03,01,03,63.5,155,Unhealthy,48.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2023-03-01 04:00 AM,2023,03,01,04,52.7,143,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2023-03-01 05:00 AM,2023,03,01,05,44.8,124,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2023-03-01 06:00 AM,2023,03,01,06,39.4,111,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2023-03-01 07:00 AM,2023,03,01,07,33.2,95,Moderate,27.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2023-03-01 08:00 AM,2023,03,01,08,33.5,96,Moderate,34.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2023-03-01 09:00 AM,2023,03,01,09,34.7,99,Moderate,36.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2023-03-01 10:00 AM,2023,03,01,10,35.3,100,Moderate,36.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2023-03-01 11:00 AM,2023,03,01,11,44.6,123,Unhealthy for Sensitive Groups,54.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2023-03-01 12:00 PM,2023,03,01,12,45.8,126,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2023-03-01 01:00 PM,2023,03,01,13,40.9,114,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2023-03-01 02:00 PM,2023,03,01,14,39.4,111,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2023-03-01 03:00 PM,2023,03,01,15,40.2,113,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2023-03-01 04:00 PM,2023,03,01,16,36.6,104,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2023-03-01 05:00 PM,2023,03,01,17,37.8,107,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2023-03-01 06:00 PM,2023,03,01,18,39.4,111,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2023-03-01 07:00 PM,2023,03,01,19,44.2,122,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2023-03-01 08:00 PM,2023,03,01,20,43.7,121,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2023-03-01 09:00 PM,2023,03,01,21,41.9,117,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2023-03-01 10:00 PM,2023,03,01,22,42.3,118,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2023-03-01 11:00 PM,2023,03,01,23,41.4,116,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2023-03-02 12:00 AM,2023,03,02,00,40.1,112,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
