Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Baku,PM2.5 - Principal,2024-01-03 01:00 PM,2024,01,03,13,-999.0,-999,N/A,42.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2024-01-03 02:00 PM,2024,01,03,14,51.2,140,Unhealthy for Sensitive Groups,58.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2024-01-03 03:00 PM,2024,01,03,15,43.9,122,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2024-01-03 04:00 PM,2024,01,03,16,32.9,95,Moderate,24.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2024-01-03 05:00 PM,2024,01,03,17,28.8,88,Moderate,25.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2024-01-03 06:00 PM,2024,01,03,18,25.3,81,Moderate,22.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2024-01-03 07:00 PM,2024,01,03,19,22.6,76,Moderate,20.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2024-01-03 08:00 PM,2024,01,03,20,17.3,66,Moderate,12.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2024-01-03 09:00 PM,2024,01,03,21,14.1,60,Moderate,11.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2024-01-03 10:00 PM,2024,01,03,22,14.5,61,Moderate,15.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2024-01-03 11:00 PM,2024,01,03,23,12.7,58,Moderate,11.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2024-01-04 12:00 AM,2024,01,04,00,11.8,56,Moderate,11.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2024-01-04 01:00 AM,2024,01,04,01,11.9,56,Moderate,12.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2024-01-04 02:00 AM,2024,01,04,02,10.4,53,Moderate,9.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2024-01-04 03:00 AM,2024,01,04,03,10.7,54,Moderate,11.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2024-01-04 04:00 AM,2024,01,04,04,10.3,53,Moderate,10.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2024-01-04 05:00 AM,2024,01,04,05,13.6,59,Moderate,17.0,UG/M3,1 Hr,Valid
Baku,PM2.5 - Principal,2024-01-04 06:00 AM,2024,01,04,06,10.8,54,Moderate,8.0,UG/M3,1 Hr,Valid
