Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Bamako,PM2.5 - Principal,2019-12-01 01:00 AM,2019,12,01,01,54.9,149,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-12-01 02:00 AM,2019,12,01,02,45.4,125,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-12-01 03:00 AM,2019,12,01,03,38.2,108,Unhealthy for Sensitive Groups,31.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-12-01 04:00 AM,2019,12,01,04,26.1,80,Moderate,14.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-12-01 05:00 AM,2019,12,01,05,18.5,64,Moderate,11.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-12-01 06:00 AM,2019,12,01,06,15.7,59,Moderate,13.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-12-01 07:00 AM,2019,12,01,07,15.8,59,Moderate,16.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-12-01 08:00 AM,2019,12,01,08,20.4,68,Moderate,25.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-12-01 09:00 AM,2019,12,01,09,23.6,75,Moderate,27.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-12-01 10:00 AM,2019,12,01,10,127.3,188,Unhealthy,231.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-12-01 11:00 AM,2019,12,01,11,156.1,207,Very Unhealthy,185.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-12-01 12:00 PM,2019,12,01,12,161.6,212,Very Unhealthy,167.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-12-01 01:00 PM,2019,12,01,13,90.3,169,Unhealthy,19.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-12-01 02:00 PM,2019,12,01,14,52.1,142,Unhealthy for Sensitive Groups,14.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2019-12-01 03:00 PM,2019,12,01,15,52.1,142,Unhealthy for Sensitive Groups,-999.0,UG/M3,1 Hr,Missing
