Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Bamako,PM2.5 - Principal,2022-01-04 02:00 PM,2022,01,04,14,-999.0,-999,N/A,62.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2022-01-04 03:00 PM,2022,01,04,15,55.9,151,Unhealthy,51.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2022-01-04 04:00 PM,2022,01,04,16,50.3,137,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2022-01-04 05:00 PM,2022,01,04,17,49.4,135,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2022-01-04 06:00 PM,2022,01,04,18,51.7,141,Unhealthy for Sensitive Groups,56.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2022-01-04 07:00 PM,2022,01,04,19,51.1,139,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2022-01-04 08:00 PM,2022,01,04,20,58.4,152,Unhealthy,70.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2022-01-04 09:00 PM,2022,01,04,21,98.9,173,Unhealthy,137.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2022-01-04 10:00 PM,2022,01,04,22,102.9,175,Unhealthy,107.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2022-01-04 11:00 PM,2022,01,04,23,127.5,188,Unhealthy,152.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2022-01-05 12:00 AM,2022,01,05,00,138.7,194,Unhealthy,150.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2022-01-05 01:00 AM,2022,01,05,01,154.8,205,Very Unhealthy,171.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2022-01-05 02:00 AM,2022,01,05,02,140.9,195,Unhealthy,127.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2022-01-05 03:00 AM,2022,01,05,03,122.9,186,Unhealthy,105.0,UG/M3,1 Hr,Valid
