Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Banja Luka,PM2.5 - Principal,2022-06-01 02:00 AM,2022,06,01,02,8.7,36,Good,8.7,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-01 03:00 AM,2022,06,01,03,8.9,37,Good,9.1,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-01 04:00 AM,2022,06,01,04,9.0,38,Good,9.0,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-01 05:00 AM,2022,06,01,05,8.4,35,Good,7.8,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-01 06:00 AM,2022,06,01,06,8.5,35,Good,8.5,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-01 07:00 AM,2022,06,01,07,9.5,40,Good,10.8,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-01 08:00 AM,2022,06,01,08,9.4,39,Good,9.2,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-01 09:00 AM,2022,06,01,09,9.0,38,Good,8.5,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-01 10:00 AM,2022,06,01,10,9.2,38,Good,9.6,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-01 11:00 AM,2022,06,01,11,9.2,38,Good,9.3,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-01 12:00 PM,2022,06,01,12,9.3,39,Good,9.5,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-01 01:00 PM,2022,06,01,13,9.6,40,Good,10.2,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-01 02:00 PM,2022,06,01,14,10.2,43,Good,11.5,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-01 03:00 PM,2022,06,01,15,10.6,44,Good,11.3,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-01 04:00 PM,2022,06,01,16,11.4,48,Good,12.5,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-01 05:00 PM,2022,06,01,17,11.4,48,Good,11.8,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-01 06:00 PM,2022,06,01,18,11.6,48,Good,11.8,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-01 07:00 PM,2022,06,01,19,11.7,49,Good,11.9,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-01 08:00 PM,2022,06,01,20,11.8,49,Good,11.9,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-01 09:00 PM,2022,06,01,21,11.7,49,Good,11.6,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-01 10:00 PM,2022,06,01,22,12.4,52,Moderate,13.8,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-01 11:00 PM,2022,06,01,23,13.5,54,Moderate,15.2,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-02 12:00 AM,2022,06,02,00,13.8,55,Moderate,14.7,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-02 01:00 AM,2022,06,02,01,13.6,54,Moderate,13.9,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-02 02:00 AM,2022,06,02,02,13.7,54,Moderate,13.7,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-02 03:00 AM,2022,06,02,03,13.1,53,Moderate,11.3,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-02 04:00 AM,2022,06,02,04,12.7,52,Moderate,11.6,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-02 05:00 AM,2022,06,02,05,12.1,51,Moderate,10.9,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-02 06:00 AM,2022,06,02,06,12.1,51,Moderate,11.9,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-02 07:00 AM,2022,06,02,07,11.4,48,Good,10.2,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-02 08:00 AM,2022,06,02,08,11.6,48,Good,12.1,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-02 09:00 AM,2022,06,02,09,11.7,49,Good,11.9,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-02 10:00 AM,2022,06,02,10,11.4,48,Good,10.9,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-02 11:00 AM,2022,06,02,11,10.7,45,Good,9.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-02 12:00 PM,2022,06,02,12,9.9,41,Good,8.7,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-02 01:00 PM,2022,06,02,13,9.4,39,Good,8.6,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-02 02:00 PM,2022,06,02,14,9.4,39,Good,8.7,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-02 03:00 PM,2022,06,02,15,9.5,40,Good,9.6,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-02 04:00 PM,2022,06,02,16,9.9,41,Good,11.0,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-02 05:00 PM,2022,06,02,17,10.6,44,Good,12.2,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-02 06:00 PM,2022,06,02,18,11.4,48,Good,12.9,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-02 07:00 PM,2022,06,02,19,11.8,49,Good,12.6,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-02 08:00 PM,2022,06,02,20,11.9,50,Good,11.9,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-02 09:00 PM,2022,06,02,21,11.8,49,Good,11.8,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-02 10:00 PM,2022,06,02,22,11.9,50,Good,12.1,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-02 11:00 PM,2022,06,02,23,12.9,53,Moderate,14.2,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-03 12:00 AM,2022,06,03,00,13.8,55,Moderate,15.0,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-03 01:00 AM,2022,06,03,01,13.9,55,Moderate,14.1,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-03 02:00 AM,2022,06,03,02,14.0,55,Moderate,14.3,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-03 03:00 AM,2022,06,03,03,9.2,38,Good,4.3,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-03 04:00 AM,2022,06,03,04,7.1,30,Good,5.0,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-03 05:00 AM,2022,06,03,05,5.7,24,Good,4.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-03 06:00 AM,2022,06,03,06,5.3,22,Good,4.8,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-06-03 07:00 AM,2022,06,03,07,5.2,22,Good,5.2,UG/M3,1 Hr,Valid
