Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Banja Luka,PM2.5 - Principal,2024-01-01 01:00 AM,2024,01,01,01,8.5,47,Good,10.3,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2024-01-01 02:00 AM,2024,01,01,02,8.0,44,Good,7.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2024-01-01 03:00 AM,2024,01,01,03,7.9,44,Good,7.9,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2024-01-01 04:00 AM,2024,01,01,04,7.8,43,Good,7.7,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2024-01-01 05:00 AM,2024,01,01,05,7.6,42,Good,7.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2024-01-01 06:00 AM,2024,01,01,06,6.5,36,Good,5.3,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2024-01-01 07:00 AM,2024,01,01,07,5.0,28,Good,3.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2024-01-01 08:00 AM,2024,01,01,08,4.6,26,Good,4.3,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2024-01-01 09:00 AM,2024,01,01,09,6.4,36,Good,8.3,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2024-01-01 10:00 AM,2024,01,01,10,7.2,40,Good,8.1,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2024-01-01 11:00 AM,2024,01,01,11,7.0,39,Good,6.7,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2024-01-01 12:00 PM,2024,01,01,12,7.8,43,Good,8.6,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2024-01-01 01:00 PM,2024,01,01,13,10.7,54,Moderate,13.6,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2024-01-01 02:00 PM,2024,01,01,14,9.8,52,Moderate,9.0,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2024-01-01 03:00 PM,2024,01,01,15,12.7,58,Moderate,15.6,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2024-01-01 04:00 PM,2024,01,01,16,15.5,63,Moderate,18.3,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2024-01-01 05:00 PM,2024,01,01,17,25.7,82,Moderate,35.8,UG/M3,1 Hr,Valid
