Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Beijing,O3,2015-01-01 01:00 AM,2015,01,01,01,8.0,7,Good,9.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-01 02:00 AM,2015,01,01,02,15.0,14,Good,15.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-01 03:00 AM,2015,01,01,03,9.0,8,Good,8.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-01 04:00 AM,2015,01,01,04,8.0,7,Good,8.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-01 05:00 AM,2015,01,01,05,12.0,11,Good,13.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-01 06:00 AM,2015,01,01,06,11.0,10,Good,11.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-01 07:00 AM,2015,01,01,07,8.0,7,Good,8.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-01 08:00 AM,2015,01,01,08,3.0,3,Good,2.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-01 09:00 AM,2015,01,01,09,8.0,7,Good,9.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-01 10:00 AM,2015,01,01,10,11.0,10,Good,12.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-01 11:00 AM,2015,01,01,11,10.0,9,Good,10.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-01 12:00 PM,2015,01,01,12,10.0,9,Good,9.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-01 01:00 PM,2015,01,01,13,17.0,16,Good,18.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-01 02:00 PM,2015,01,01,14,25.0,23,Good,25.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-01 03:00 PM,2015,01,01,15,25.0,23,Good,25.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-01 04:00 PM,2015,01,01,16,23.0,21,Good,23.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-01 05:00 PM,2015,01,01,17,20.0,19,Good,18.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-01 06:00 PM,2015,01,01,18,15.0,14,Good,12.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-01 07:00 PM,2015,01,01,19,14.0,13,Good,14.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-01 08:00 PM,2015,01,01,20,6.0,6,Good,5.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-01 09:00 PM,2015,01,01,21,3.0,3,Good,3.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-01 10:00 PM,2015,01,01,22,0.0,0,Good,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-01 11:00 PM,2015,01,01,23,0.0,0,Good,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-02 12:00 AM,2015,01,02,00,0.0,0,Good,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-02 01:00 AM,2015,01,02,01,0.0,0,Good,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-02 02:00 AM,2015,01,02,02,-1.0,-999,N/A,-1.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-02 03:00 AM,2015,01,02,03,-1.0,-999,N/A,-1.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-02 04:00 AM,2015,01,02,04,1.0,1,Good,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-02 05:00 AM,2015,01,02,05,8.0,7,Good,7.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-02 06:00 AM,2015,01,02,06,14.0,13,Good,14.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-02 07:00 AM,2015,01,02,07,9.0,8,Good,10.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-02 08:00 AM,2015,01,02,08,3.0,3,Good,3.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-02 09:00 AM,2015,01,02,09,6.0,6,Good,6.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-02 10:00 AM,2015,01,02,10,13.0,12,Good,12.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-02 11:00 AM,2015,01,02,11,14.0,13,Good,15.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-02 12:00 PM,2015,01,02,12,23.0,21,Good,24.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-02 01:00 PM,2015,01,02,13,24.0,22,Good,24.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-02 02:00 PM,2015,01,02,14,24.0,22,Good,24.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-02 03:00 PM,2015,01,02,15,18.0,17,Good,17.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-02 04:00 PM,2015,01,02,16,11.0,10,Good,9.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-02 05:00 PM,2015,01,02,17,7.0,6,Good,5.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-02 06:00 PM,2015,01,02,18,5.0,5,Good,4.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-02 07:00 PM,2015,01,02,19,4.0,4,Good,4.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-02 08:00 PM,2015,01,02,20,3.0,3,Good,3.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-02 09:00 PM,2015,01,02,21,2.0,2,Good,2.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-02 10:00 PM,2015,01,02,22,0.0,0,Good,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-02 11:00 PM,2015,01,02,23,0.0,0,Good,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-03 12:00 AM,2015,01,03,00,0.0,0,Good,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-03 01:00 AM,2015,01,03,01,0.0,0,Good,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-03 02:00 AM,2015,01,03,02,0.0,0,Good,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-03 03:00 AM,2015,01,03,03,0.0,0,Good,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-03 04:00 AM,2015,01,03,04,0.0,0,Good,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-03 05:00 AM,2015,01,03,05,1.0,1,Good,1.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-03 06:00 AM,2015,01,03,06,0.0,0,Good,1.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-03 07:00 AM,2015,01,03,07,0.0,0,Good,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-03 08:00 AM,2015,01,03,08,0.0,0,Good,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-03 09:00 AM,2015,01,03,09,0.0,0,Good,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-03 10:00 AM,2015,01,03,10,0.0,0,Good,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-03 11:00 AM,2015,01,03,11,1.0,1,Good,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-03 12:00 PM,2015,01,03,12,3.0,3,Good,3.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-03 01:00 PM,2015,01,03,13,4.0,4,Good,4.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-03 02:00 PM,2015,01,03,14,4.0,4,Good,4.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-03 03:00 PM,2015,01,03,15,4.0,4,Good,4.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-03 04:00 PM,2015,01,03,16,1.0,1,Good,1.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-03 05:00 PM,2015,01,03,17,0.0,0,Good,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-03 06:00 PM,2015,01,03,18,0.0,0,Good,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-03 07:00 PM,2015,01,03,19,0.0,0,Good,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-03 08:00 PM,2015,01,03,20,0.0,0,Good,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-03 09:00 PM,2015,01,03,21,0.0,0,Good,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-03 10:00 PM,2015,01,03,22,1.0,1,Good,1.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-03 11:00 PM,2015,01,03,23,0.0,0,Good,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-04 12:00 AM,2015,01,04,00,1.0,1,Good,1.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-04 01:00 AM,2015,01,04,01,0.0,0,Good,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-04 02:00 AM,2015,01,04,02,0.0,0,Good,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-04 03:00 AM,2015,01,04,03,-1.0,-999,N/A,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-04 04:00 AM,2015,01,04,04,0.0,0,Good,-1.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-04 05:00 AM,2015,01,04,05,-999.0,-999,N/A,-2.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-04 06:00 AM,2015,01,04,06,-999.0,-999,N/A,-2.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-04 07:00 AM,2015,01,04,07,-999.0,-999,N/A,-1.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-04 08:00 AM,2015,01,04,08,-999.0,-999,N/A,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-04 09:00 AM,2015,01,04,09,-1.0,-999,N/A,-1.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-04 10:00 AM,2015,01,04,10,-1.0,-999,N/A,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-04 11:00 AM,2015,01,04,11,-2.0,-999,N/A,1.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-04 12:00 PM,2015,01,04,12,6.0,6,Good,5.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-04 01:00 PM,2015,01,04,13,7.0,6,Good,7.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-04 02:00 PM,2015,01,04,14,6.0,6,Good,6.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-04 03:00 PM,2015,01,04,15,7.0,6,Good,7.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-04 04:00 PM,2015,01,04,16,3.0,3,Good,3.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-04 05:00 PM,2015,01,04,17,0.0,0,Good,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-04 06:00 PM,2015,01,04,18,-1.0,-999,N/A,-1.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-04 07:00 PM,2015,01,04,19,0.0,0,Good,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-04 08:00 PM,2015,01,04,20,0.0,0,Good,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-04 09:00 PM,2015,01,04,21,0.0,0,Good,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-04 10:00 PM,2015,01,04,22,-2.0,-999,N/A,-1.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-04 11:00 PM,2015,01,04,23,-999.0,-999,N/A,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-05 12:00 AM,2015,01,05,00,-999.0,-999,N/A,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-05 01:00 AM,2015,01,05,01,-999.0,-999,N/A,-1.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-05 02:00 AM,2015,01,05,02,-999.0,-999,N/A,-2.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-05 03:00 AM,2015,01,05,03,-999.0,-999,N/A,-2.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-05 04:00 AM,2015,01,05,04,-999.0,-999,N/A,-2.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-05 05:00 AM,2015,01,05,05,-999.0,-999,N/A,-1.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-05 06:00 AM,2015,01,05,06,-999.0,-999,N/A,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-05 07:00 AM,2015,01,05,07,-999.0,-999,N/A,-1.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-05 08:00 AM,2015,01,05,08,-999.0,-999,N/A,-2.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-05 09:00 AM,2015,01,05,09,-1.0,-999,N/A,-1.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-05 10:00 AM,2015,01,05,10,-1.0,-999,N/A,0.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-05 11:00 AM,2015,01,05,11,-2.0,-999,N/A,1.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-05 12:00 PM,2015,01,05,12,11.0,10,Good,9.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-05 01:00 PM,2015,01,05,13,22.0,20,Good,21.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-05 02:00 PM,2015,01,05,14,26.0,24,Good,26.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-05 03:00 PM,2015,01,05,15,29.0,27,Good,29.0,PPB,1 Hr,Valid
Beijing,O3,2015-01-05 04:00 PM,2015,01,05,16,29.0,27,Good,29.0,PPB,1 Hr,Valid
