Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Beijing,PM2.5 - Principal,2018-06-01 01:00 AM,2018,06,01,01,33.4,96,Moderate,32.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-01 02:00 AM,2018,06,01,02,40.2,113,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-01 03:00 AM,2018,06,01,03,43.1,120,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-01 04:00 AM,2018,06,01,04,49.0,134,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-01 05:00 AM,2018,06,01,05,49.0,134,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-01 06:00 AM,2018,06,01,06,50.0,137,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-01 07:00 AM,2018,06,01,07,50.5,138,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-01 08:00 AM,2018,06,01,08,50.7,138,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-01 09:00 AM,2018,06,01,09,78.8,163,Unhealthy,107.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-01 10:00 AM,2018,06,01,10,111.4,180,Unhealthy,144.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-01 11:00 AM,2018,06,01,11,115.2,182,Unhealthy,119.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-01 12:00 PM,2018,06,01,12,128.6,189,Unhealthy,142.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-01 01:00 PM,2018,06,01,13,112.8,181,Unhealthy,97.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-01 02:00 PM,2018,06,01,14,89.9,169,Unhealthy,67.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-01 03:00 PM,2018,06,01,15,56.9,152,Unhealthy,24.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-01 04:00 PM,2018,06,01,16,34.9,99,Moderate,13.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-01 05:00 PM,2018,06,01,17,27.9,84,Moderate,21.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-01 06:00 PM,2018,06,01,18,22.4,73,Moderate,17.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-01 07:00 PM,2018,06,01,19,20.7,69,Moderate,19.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-01 08:00 PM,2018,06,01,20,24.3,77,Moderate,28.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-01 09:00 PM,2018,06,01,21,27.6,84,Moderate,31.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-01 10:00 PM,2018,06,01,22,27.8,84,Moderate,28.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-01 11:00 PM,2018,06,01,23,26.9,82,Moderate,26.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-02 12:00 AM,2018,06,02,00,31.9,93,Moderate,37.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-02 01:00 AM,2018,06,02,01,29.9,88,Moderate,28.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-02 02:00 AM,2018,06,02,02,36.4,103,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-02 03:00 AM,2018,06,02,03,40.7,114,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-02 04:00 AM,2018,06,02,04,61.3,154,Unhealthy,82.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-02 05:00 AM,2018,06,02,05,61.6,154,Unhealthy,62.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-02 06:00 AM,2018,06,02,06,61.3,154,Unhealthy,61.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-02 07:00 AM,2018,06,02,07,61.6,154,Unhealthy,62.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-02 08:00 AM,2018,06,02,08,62.3,155,Unhealthy,63.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-02 09:00 AM,2018,06,02,09,72.1,160,Unhealthy,82.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-02 10:00 AM,2018,06,02,10,77.5,162,Unhealthy,83.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-02 11:00 AM,2018,06,02,11,78.3,163,Unhealthy,79.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-02 12:00 PM,2018,06,02,12,78.1,163,Unhealthy,78.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-02 01:00 PM,2018,06,02,13,77.5,162,Unhealthy,77.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-02 02:00 PM,2018,06,02,14,70.8,159,Unhealthy,63.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-02 03:00 PM,2018,06,02,15,72.4,160,Unhealthy,72.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-02 04:00 PM,2018,06,02,16,71.7,159,Unhealthy,70.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-02 05:00 PM,2018,06,02,17,70.5,159,Unhealthy,67.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-02 06:00 PM,2018,06,02,18,66.5,157,Unhealthy,58.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-02 07:00 PM,2018,06,02,19,64.5,156,Unhealthy,60.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-02 08:00 PM,2018,06,02,20,63.7,155,Unhealthy,62.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-02 09:00 PM,2018,06,02,21,63.4,155,Unhealthy,63.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-02 10:00 PM,2018,06,02,22,64.6,156,Unhealthy,67.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-02 11:00 PM,2018,06,02,23,64.6,156,Unhealthy,65.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-03 12:00 AM,2018,06,03,00,66.1,156,Unhealthy,71.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-03 01:00 AM,2018,06,03,01,64.5,156,Unhealthy,60.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-03 02:00 AM,2018,06,03,02,64.4,156,Unhealthy,64.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-03 03:00 AM,2018,06,03,03,63.8,155,Unhealthy,62.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-03 04:00 AM,2018,06,03,04,63.5,155,Unhealthy,63.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-03 05:00 AM,2018,06,03,05,64.5,156,Unhealthy,69.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-03 06:00 AM,2018,06,03,06,66.0,156,Unhealthy,72.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-03 07:00 AM,2018,06,03,07,66.9,157,Unhealthy,70.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-03 08:00 AM,2018,06,03,08,67.4,157,Unhealthy,69.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-03 09:00 AM,2018,06,03,09,69.3,158,Unhealthy,75.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-03 10:00 AM,2018,06,03,10,72.9,160,Unhealthy,81.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-03 11:00 AM,2018,06,03,11,71.4,159,Unhealthy,67.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-03 12:00 PM,2018,06,03,12,67.2,157,Unhealthy,57.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-03 01:00 PM,2018,06,03,13,57.8,152,Unhealthy,47.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-03 02:00 PM,2018,06,03,14,59.1,153,Unhealthy,61.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-03 03:00 PM,2018,06,03,15,64.9,156,Unhealthy,73.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-03 04:00 PM,2018,06,03,16,73.4,160,Unhealthy,84.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-03 05:00 PM,2018,06,03,17,72.8,160,Unhealthy,72.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-03 06:00 PM,2018,06,03,18,75.5,161,Unhealthy,79.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-03 07:00 PM,2018,06,03,19,71.3,159,Unhealthy,66.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-03 08:00 PM,2018,06,03,20,63.2,155,Unhealthy,53.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-06-03 09:00 PM,2018,06,03,21,56.9,152,Unhealthy,49.0,UG/M3,1 Hr,Valid
