Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Beijing,O3,2023-12-01 01:00 AM,2023,12,01,01,27.0,25,Good,27.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-01 02:00 AM,2023,12,01,02,23.0,21,Good,20.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-01 03:00 AM,2023,12,01,03,21.0,19,Good,16.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-01 04:00 AM,2023,12,01,04,24.0,22,Good,23.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-01 05:00 AM,2023,12,01,05,22.0,20,Good,26.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-01 06:00 AM,2023,12,01,06,21.0,19,Good,21.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-01 07:00 AM,2023,12,01,07,14.0,13,Good,21.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-01 08:00 AM,2023,12,01,08,24.0,22,Good,22.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-01 09:00 AM,2023,12,01,09,26.0,24,Good,22.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-01 10:00 AM,2023,12,01,10,24.0,22,Good,26.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-01 11:00 AM,2023,12,01,11,24.0,22,Good,27.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-01 12:00 PM,2023,12,01,12,29.0,27,Good,27.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-01 01:00 PM,2023,12,01,13,20.0,19,Good,25.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-01 02:00 PM,2023,12,01,14,19.0,18,Good,24.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-01 03:00 PM,2023,12,01,15,20.0,19,Good,26.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-01 04:00 PM,2023,12,01,16,24.0,22,Good,18.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-01 05:00 PM,2023,12,01,17,18.0,17,Good,13.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-01 06:00 PM,2023,12,01,18,17.0,16,Good,14.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-01 07:00 PM,2023,12,01,19,11.0,10,Good,10.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-01 08:00 PM,2023,12,01,20,10.0,9,Good,9.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-01 09:00 PM,2023,12,01,21,11.0,10,Good,9.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-01 10:00 PM,2023,12,01,22,10.0,9,Good,9.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-01 11:00 PM,2023,12,01,23,10.0,9,Good,8.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-02 12:00 AM,2023,12,02,00,8.0,7,Good,7.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-02 01:00 AM,2023,12,02,01,8.0,7,Good,5.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-02 02:00 AM,2023,12,02,02,5.0,5,Good,5.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-02 03:00 AM,2023,12,02,03,3.0,3,Good,4.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-02 04:00 AM,2023,12,02,04,3.0,3,Good,5.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-02 05:00 AM,2023,12,02,05,8.0,7,Good,5.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-02 06:00 AM,2023,12,02,06,3.0,3,Good,4.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-02 07:00 AM,2023,12,02,07,2.0,2,Good,4.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-02 08:00 AM,2023,12,02,08,5.0,5,Good,4.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-02 09:00 AM,2023,12,02,09,11.0,10,Good,7.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-02 10:00 AM,2023,12,02,10,3.0,3,Good,14.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-02 11:00 AM,2023,12,02,11,14.0,13,Good,24.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-02 12:00 PM,2023,12,02,12,19.0,18,Good,34.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-02 01:00 PM,2023,12,02,13,27.0,25,Good,38.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-02 02:00 PM,2023,12,02,14,32.0,30,Good,37.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-02 03:00 PM,2023,12,02,15,33.0,31,Good,38.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-02 04:00 PM,2023,12,02,16,34.0,31,Good,36.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-02 05:00 PM,2023,12,02,17,34.0,31,Good,33.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-02 06:00 PM,2023,12,02,18,32.0,30,Good,29.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-02 07:00 PM,2023,12,02,19,27.0,25,Good,22.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-02 08:00 PM,2023,12,02,20,21.0,19,Good,12.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-02 09:00 PM,2023,12,02,21,15.0,14,Good,6.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-02 10:00 PM,2023,12,02,22,11.0,10,Good,4.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-02 11:00 PM,2023,12,02,23,8.0,7,Good,4.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-03 12:00 AM,2023,12,03,00,6.0,6,Good,4.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-03 01:00 AM,2023,12,03,01,4.0,4,Good,3.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-03 02:00 AM,2023,12,03,02,4.0,4,Good,3.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-03 03:00 AM,2023,12,03,03,5.0,5,Good,3.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-03 04:00 AM,2023,12,03,04,5.0,5,Good,3.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-03 05:00 AM,2023,12,03,05,5.0,5,Good,3.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-03 06:00 AM,2023,12,03,06,4.0,4,Good,3.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-03 07:00 AM,2023,12,03,07,3.0,3,Good,3.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-03 08:00 AM,2023,12,03,08,3.0,3,Good,3.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-03 09:00 AM,2023,12,03,09,7.0,6,Good,10.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-03 10:00 AM,2023,12,03,10,11.0,10,Good,15.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-03 11:00 AM,2023,12,03,11,14.0,13,Good,19.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-03 12:00 PM,2023,12,03,12,17.0,16,Good,20.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-03 01:00 PM,2023,12,03,13,19.0,18,Good,20.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-03 02:00 PM,2023,12,03,14,19.0,18,Good,19.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-03 03:00 PM,2023,12,03,15,20.0,19,Good,21.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-03 04:00 PM,2023,12,03,16,19.0,18,Good,19.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-03 05:00 PM,2023,12,03,17,18.0,17,Good,19.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-03 06:00 PM,2023,12,03,18,13.0,12,Good,12.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-03 07:00 PM,2023,12,03,19,10.0,9,Good,7.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-03 08:00 PM,2023,12,03,20,8.0,7,Good,6.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-03 09:00 PM,2023,12,03,21,8.0,7,Good,6.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-03 10:00 PM,2023,12,03,22,7.0,6,Good,6.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-03 11:00 PM,2023,12,03,23,6.0,6,Good,6.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-04 12:00 AM,2023,12,04,00,6.0,6,Good,5.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-04 01:00 AM,2023,12,04,01,6.0,6,Good,4.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-04 02:00 AM,2023,12,04,02,6.0,6,Good,4.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-04 03:00 AM,2023,12,04,03,6.0,6,Good,4.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-04 04:00 AM,2023,12,04,04,7.0,6,Good,4.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-04 05:00 AM,2023,12,04,05,6.0,6,Good,4.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-04 06:00 AM,2023,12,04,06,6.0,6,Good,4.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-04 07:00 AM,2023,12,04,07,8.0,7,Good,4.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-04 08:00 AM,2023,12,04,08,8.0,7,Good,4.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-04 09:00 AM,2023,12,04,09,8.0,7,Good,5.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-04 10:00 AM,2023,12,04,10,9.0,8,Good,7.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-04 11:00 AM,2023,12,04,11,11.0,10,Good,11.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-04 12:00 PM,2023,12,04,12,12.0,11,Good,16.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-04 01:00 PM,2023,12,04,13,13.0,12,Good,17.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-04 02:00 PM,2023,12,04,14,13.0,12,Good,15.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-04 03:00 PM,2023,12,04,15,12.0,11,Good,12.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-04 04:00 PM,2023,12,04,16,11.0,10,Good,11.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-04 05:00 PM,2023,12,04,17,9.0,8,Good,6.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-04 06:00 PM,2023,12,04,18,7.0,6,Good,4.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-04 07:00 PM,2023,12,04,19,6.0,6,Good,5.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-04 08:00 PM,2023,12,04,20,5.0,5,Good,5.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-04 09:00 PM,2023,12,04,21,5.0,5,Good,5.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-04 10:00 PM,2023,12,04,22,5.0,5,Good,5.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-04 11:00 PM,2023,12,04,23,5.0,5,Good,5.0,PPB,1 Hr,Valid
Beijing,O3,2023-12-05 12:00 AM,2023,12,05,00,4.0,4,Good,5.0,PPB,1 Hr,Valid
