Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Belmopan,PM2.5 - Principal,2023-10-01 01:00 AM,2023,10,01,01,0.0,0,Good,-3.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-01 02:00 AM,2023,10,01,02,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-01 03:00 AM,2023,10,01,03,0.0,0,Good,1.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-01 04:00 AM,2023,10,01,04,0.0,0,Good,-1.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-01 05:00 AM,2023,10,01,05,0.0,0,Good,-1.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-01 06:00 AM,2023,10,01,06,0.0,0,Good,-2.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-01 07:00 AM,2023,10,01,07,0.0,0,Good,-4.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-01 08:00 AM,2023,10,01,08,0.0,0,Good,-4.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-01 09:00 AM,2023,10,01,09,0.0,0,Good,-999.0,UG/M3,1 Hr,Missing
Belmopan,PM2.5 - Principal,2023-10-03 12:00 PM,2023,10,03,12,-999.0,-999,N/A,-4.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-03 01:00 PM,2023,10,03,13,0.0,0,Good,-1.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-03 02:00 PM,2023,10,03,14,0.0,0,Good,-2.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-03 03:00 PM,2023,10,03,15,0.0,0,Good,-1.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-03 04:00 PM,2023,10,03,16,0.3,1,Good,2.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-03 05:00 PM,2023,10,03,17,1.6,7,Good,3.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-03 06:00 PM,2023,10,03,18,6.8,28,Good,12.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-03 07:00 PM,2023,10,03,19,7.9,33,Good,9.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-03 08:00 PM,2023,10,03,20,4.9,20,Good,2.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-03 09:00 PM,2023,10,03,21,1.4,6,Good,-2.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-03 10:00 PM,2023,10,03,22,0.2,1,Good,-1.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-03 11:00 PM,2023,10,03,23,0.0,0,Good,-3.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-04 12:00 AM,2023,10,04,00,0.0,0,Good,-3.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-04 01:00 AM,2023,10,04,01,0.0,0,Good,-2.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-04 02:00 AM,2023,10,04,02,0.0,0,Good,-3.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-04 03:00 AM,2023,10,04,03,0.0,0,Good,-4.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-04 04:00 AM,2023,10,04,04,0.0,0,Good,-1.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-04 05:00 AM,2023,10,04,05,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-04 06:00 AM,2023,10,04,06,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-04 07:00 AM,2023,10,04,07,0.2,1,Good,1.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-04 08:00 AM,2023,10,04,08,0.6,3,Good,1.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-04 09:00 AM,2023,10,04,09,0.3,1,Good,0.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-04 10:00 AM,2023,10,04,10,0.1,0,Good,0.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-04 11:00 AM,2023,10,04,11,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-04 12:00 PM,2023,10,04,12,0.0,0,Good,-2.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-04 01:00 PM,2023,10,04,13,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-04 02:00 PM,2023,10,04,14,1.2,5,Good,3.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-04 03:00 PM,2023,10,04,15,1.6,7,Good,2.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-04 04:00 PM,2023,10,04,16,2.8,12,Good,4.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-04 05:00 PM,2023,10,04,17,3.4,14,Good,4.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-04 06:00 PM,2023,10,04,18,9.2,38,Good,15.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-04 07:00 PM,2023,10,04,19,9.1,38,Good,9.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-04 08:00 PM,2023,10,04,20,8.0,33,Good,7.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-04 09:00 PM,2023,10,04,21,8.0,33,Good,8.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-04 10:00 PM,2023,10,04,22,7.0,29,Good,6.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-04 11:00 PM,2023,10,04,23,6.0,25,Good,5.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-05 12:00 AM,2023,10,05,00,4.5,19,Good,3.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-05 01:00 AM,2023,10,05,01,3.2,13,Good,2.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-05 02:00 AM,2023,10,05,02,2.6,11,Good,2.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2023-10-05 03:00 AM,2023,10,05,03,0.8,3,Good,-1.0,UG/M3,1 Hr,Valid
