Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Belmopan,PM2.5 - Principal,2024-01-01 01:00 AM,2024,01,01,01,5.7,32,Good,6.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-01 02:00 AM,2024,01,01,02,5.9,33,Good,6.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-01 03:00 AM,2024,01,01,03,4.3,24,Good,3.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-01 04:00 AM,2024,01,01,04,4.1,23,Good,4.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-01 05:00 AM,2024,01,01,05,5.1,28,Good,6.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-01 06:00 AM,2024,01,01,06,5.0,28,Good,5.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-01 07:00 AM,2024,01,01,07,3.5,19,Good,2.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-01 08:00 AM,2024,01,01,08,3.2,18,Good,3.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-01 09:00 AM,2024,01,01,09,3.1,17,Good,3.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-01 10:00 AM,2024,01,01,10,2.5,14,Good,2.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-01 11:00 AM,2024,01,01,11,2.2,12,Good,2.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-01 12:00 PM,2024,01,01,12,0.6,3,Good,-1.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-01 01:00 PM,2024,01,01,13,1.3,7,Good,2.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-01 02:00 PM,2024,01,01,14,3.6,20,Good,6.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-01 03:00 PM,2024,01,01,15,4.3,24,Good,5.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-01 04:00 PM,2024,01,01,16,4.1,23,Good,4.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-01 05:00 PM,2024,01,01,17,5.0,28,Good,6.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-01 06:00 PM,2024,01,01,18,5.5,31,Good,6.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-01 07:00 PM,2024,01,01,19,5.7,32,Good,6.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-01 08:00 PM,2024,01,01,20,7.8,43,Good,10.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-01 09:00 PM,2024,01,01,21,6.9,38,Good,6.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-01 10:00 PM,2024,01,01,22,7.9,44,Good,9.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-01 11:00 PM,2024,01,01,23,8.4,47,Good,9.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-02 12:00 AM,2024,01,02,00,8.4,47,Good,269.0,UG/M3,1 Hr,Invalid
Belmopan,PM2.5 - Principal,2024-01-02 01:00 AM,2024,01,02,01,7.4,41,Good,7.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-02 02:00 AM,2024,01,02,02,6.6,37,Good,6.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-02 03:00 AM,2024,01,02,03,6.2,34,Good,6.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-02 04:00 AM,2024,01,02,04,6.2,34,Good,6.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-02 05:00 AM,2024,01,02,05,6.1,34,Good,6.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-02 06:00 AM,2024,01,02,06,6.0,33,Good,6.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-02 07:00 AM,2024,01,02,07,5.5,31,Good,5.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-02 08:00 AM,2024,01,02,08,3.7,21,Good,2.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-02 09:00 AM,2024,01,02,09,3.3,18,Good,3.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-02 10:00 AM,2024,01,02,10,4.1,23,Good,5.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-02 11:00 AM,2024,01,02,11,5.0,28,Good,6.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-02 12:00 PM,2024,01,02,12,4.5,25,Good,4.0,UG/M3,1 Hr,Valid
Belmopan,PM2.5 - Principal,2024-01-02 01:00 PM,2024,01,02,13,1.2,7,Good,-2.0,UG/M3,1 Hr,Valid
