Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Bishkek,PM2.5 - Principal,2021-12-01 02:00 AM,2021,12,01,02,21.4,71,Moderate,18.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-12-01 03:00 AM,2021,12,01,03,17.2,62,Moderate,13.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-12-01 04:00 AM,2021,12,01,04,12.6,52,Moderate,8.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-12-01 05:00 AM,2021,12,01,05,10.2,43,Good,8.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-12-01 06:00 AM,2021,12,01,06,13.1,53,Moderate,16.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-12-01 07:00 AM,2021,12,01,07,13.0,53,Moderate,13.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-12-01 08:00 AM,2021,12,01,08,10.5,44,Good,8.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-12-01 09:00 AM,2021,12,01,09,10.7,45,Good,11.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-12-01 10:00 AM,2021,12,01,10,13.3,54,Moderate,16.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-12-01 11:00 AM,2021,12,01,11,16.1,59,Moderate,19.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-12-01 12:00 PM,2021,12,01,12,21.5,71,Moderate,27.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-12-01 01:00 PM,2021,12,01,13,16.2,60,Moderate,11.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-12-01 02:00 PM,2021,12,01,14,11.6,48,Good,7.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-12-01 03:00 PM,2021,12,01,15,12.8,52,Moderate,14.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-12-01 04:00 PM,2021,12,01,16,51.4,140,Unhealthy for Sensitive Groups,90.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-12-01 05:00 PM,2021,12,01,17,60.2,153,Unhealthy,69.0,UG/M3,1 Hr,Valid
