Site,Parameter,Date (LT),Year,Month,Day,Hour,Raw Conc.,24-hr. Midpoint Avg. Conc.,24-hr. Midpoint Avg. AQI,24-hr. Midpoint Avg. AQI Category,NowCast Conc.,NowCast AQI,NowCast AQI Category,Conc. Unit,Duration,QC Name
"[Bogota, PM2.5 - Principal, 2016-10-01 02:00 AM, 2016, 10, 01, 02, 27.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Bogota, PM2.5 - Principal, 2016-10-01 03:00 AM, 2016, 10, 01, 03, 10.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Bogota, PM2.5 - Principal, 2016-10-01 04:00 AM, 2016, 10, 01, 04, 9.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Bogota, PM2.5 - Principal, 2016-10-01 05:00 AM, 2016, 10, 01, 05, 15.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Bogota, PM2.5 - Principal, 2016-10-01 06:00 AM, 2016, 10, 01, 06, 13.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Bogota, PM2.5 - Principal, 2016-10-01 07:00 AM, 2016, 10, 01, 07, 16.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Bogota, PM2.5 - Principal, 2016-10-01 08:00 AM, 2016, 10, 01, 08, 30.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Bogota, PM2.5 - Principal, 2016-10-01 09:00 AM, 2016, 10, 01, 09, 26.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Bogota, PM2.5 - Principal, 2016-10-01 10:00 AM, 2016, 10, 01, 10, 39.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Bogota, PM2.5 - Principal, 2016-10-01 11:00 AM, 2016, 10, 01, 11, 34.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Bogota, PM2.5 - Principal, 2016-10-01 12:00 PM, 2016, 10, 01, 12, 21.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Bogota, PM2.5 - Principal, 2016-10-01 01:00 PM, 2016, 10, 01, 13, 11.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Bogota, PM2.5 - Principal, 2016-10-01 02:00 PM, 2016, 10, 01, 14, 12.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Bogota, PM2.5 - Principal, 2016-10-01 03:00 PM, 2016, 10, 01, 15, 11.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Bogota, PM2.5 - Principal, 2016-10-01 04:00 PM, 2016, 10, 01, 16, 12.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Bogota, PM2.5 - Principal, 2016-10-01 05:00 PM, 2016, 10, 01, 17, 13.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Bogota, PM2.5 - Principal, 2016-10-01 06:00 PM, 2016, 10, 01, 18, 10.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Bogota, PM2.5 - Principal, 2016-10-01 07:00 PM, 2016, 10, 01, 19, 10.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Bogota, PM2.5 - Principal, 2016-10-01 08:00 PM, 2016, 10, 01, 20, 10.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Bogota, PM2.5 - Principal, 2016-10-01 09:00 PM, 2016, 10, 01, 21, 15.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Bogota, PM2.5 - Principal, 2016-10-01 10:00 PM, 2016, 10, 01, 22, 14.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Bogota, PM2.5 - Principal, 2016-10-01 11:00 PM, 2016, 10, 01, 23, 14.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Bogota, PM2.5 - Principal, 2016-10-02 12:00 AM, 2016, 10, 02, 00, 14.0, , , , , , , UG/M3, 1 Hr, Valid]"
