Site,Parameter,Date (LT),Year,Month,Day,Hour,AQI,AQI Category,24-hr. Midpoint Avg. Conc.,Raw Conc.,Conc. Unit,Duration,QC Name
Bogota,PM2.5 - Principal,2017-01-01 01:00 AM,2017,01,01,01,18,1,4.3,3.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-01 02:00 AM,2017,01,01,02,18,1,4.2,9.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-01 03:00 AM,2017,01,01,03,17,1,4.0,5.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-01 04:00 AM,2017,01,01,04,16,1,3.9,1.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-01 05:00 AM,2017,01,01,05,15,1,3.7,0.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-01 06:00 AM,2017,01,01,06,15,1,3.5,1.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-01 07:00 AM,2017,01,01,07,14,1,3.4,1.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-01 08:00 AM,2017,01,01,08,13,1,3.2,2.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-01 09:00 AM,2017,01,01,09,11,1,2.7,1.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-01 10:00 AM,2017,01,01,10,10,1,2.4,0.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-01 11:00 AM,2017,01,01,11,10,1,2.4,1.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-01 12:00 PM,2017,01,01,12,10,1,2.4,2.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-01 01:00 PM,2017,01,01,13,10,1,2.4,3.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-01 02:00 PM,2017,01,01,14,10,1,2.5,2.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-01 03:00 PM,2017,01,01,15,10,1,2.3,1.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-01 04:00 PM,2017,01,01,16,9,1,2.1,2.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-01 05:00 PM,2017,01,01,17,9,1,2.1,3.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-01 06:00 PM,2017,01,01,18,9,1,2.2,2.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-01 07:00 PM,2017,01,01,19,10,1,2.4,2.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-01 08:00 PM,2017,01,01,20,11,1,2.7,2.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-01 09:00 PM,2017,01,01,21,11,1,2.7,4.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-01 10:00 PM,2017,01,01,22,12,1,2.8,6.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-01 11:00 PM,2017,01,01,23,12,1,2.9,4.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-02 12:00 AM,2017,01,02,00,12,1,2.9,1.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-02 01:00 AM,2017,01,02,01,12,1,2.9,7.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-02 02:00 AM,2017,01,02,02,12,1,2.8,3.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-02 03:00 AM,2017,01,02,03,12,1,2.8,0.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-02 04:00 AM,2017,01,02,04,12,1,2.9,2.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-02 05:00 AM,2017,01,02,05,12,1,2.9,3.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-02 06:00 AM,2017,01,02,06,12,1,2.8,5.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-02 07:00 AM,2017,01,02,07,11,1,2.7,7.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-02 08:00 AM,2017,01,02,08,12,1,2.9,4.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-02 09:00 AM,2017,01,02,09,13,1,3.0,3.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-02 10:00 AM,2017,01,02,10,13,1,3.2,2.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-02 11:00 AM,2017,01,02,11,14,1,3.3,1.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2017-01-02 12:00 PM,2017,01,02,12,15,1,3.5,2.0,UG/M3,1 Hr,Valid
