Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Bogota,PM2.5 - Principal,2018-05-01 01:00 AM,2018,05,01,01,20.8,69,Moderate,18.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-01 02:00 AM,2018,05,01,02,18.4,64,Moderate,16.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-01 03:00 AM,2018,05,01,03,13.2,53,Moderate,8.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-01 04:00 AM,2018,05,01,04,18.1,64,Moderate,23.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-01 05:00 AM,2018,05,01,05,24.0,76,Moderate,30.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-01 06:00 AM,2018,05,01,06,22.0,72,Moderate,20.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-01 07:00 AM,2018,05,01,07,20.5,69,Moderate,19.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-01 08:00 AM,2018,05,01,08,21.2,70,Moderate,22.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-01 09:00 AM,2018,05,01,09,21.1,70,Moderate,21.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-01 10:00 AM,2018,05,01,10,22.0,72,Moderate,23.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-01 11:00 AM,2018,05,01,11,19.5,67,Moderate,17.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-01 12:00 PM,2018,05,01,12,14.7,56,Moderate,10.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-01 01:00 PM,2018,05,01,13,10.3,43,Good,6.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-01 02:00 PM,2018,05,01,14,8.1,34,Good,6.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-01 03:00 PM,2018,05,01,15,7.0,29,Good,6.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-01 04:00 PM,2018,05,01,16,7.5,31,Good,8.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-01 05:00 PM,2018,05,01,17,6.7,28,Good,6.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-01 06:00 PM,2018,05,01,18,7.3,30,Good,8.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-01 07:00 PM,2018,05,01,19,6.1,25,Good,5.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-01 08:00 PM,2018,05,01,20,7.0,29,Good,8.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-01 09:00 PM,2018,05,01,21,12.0,50,Good,17.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-01 10:00 PM,2018,05,01,22,17.0,61,Moderate,22.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-01 11:00 PM,2018,05,01,23,18.5,64,Moderate,20.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-02 12:00 AM,2018,05,02,00,15.2,58,Moderate,12.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-02 01:00 AM,2018,05,02,01,23.1,74,Moderate,31.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-02 02:00 AM,2018,05,02,02,19.0,66,Moderate,15.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-02 03:00 AM,2018,05,02,03,15.0,57,Moderate,11.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-02 04:00 AM,2018,05,02,04,10.5,44,Good,6.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-02 05:00 AM,2018,05,02,05,5.7,24,Good,1.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-02 06:00 AM,2018,05,02,06,3.8,16,Good,2.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-02 07:00 AM,2018,05,02,07,13.4,54,Moderate,23.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-02 08:00 AM,2018,05,02,08,17.2,62,Moderate,21.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-02 09:00 AM,2018,05,02,09,16.1,59,Moderate,15.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-02 10:00 AM,2018,05,02,10,13.5,54,Moderate,11.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-02 11:00 AM,2018,05,02,11,10.2,43,Good,7.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-02 12:00 PM,2018,05,02,12,8.6,36,Good,7.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-02 01:00 PM,2018,05,02,13,7.8,33,Good,7.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-02 02:00 PM,2018,05,02,14,7.4,31,Good,7.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-02 03:00 PM,2018,05,02,15,6.7,28,Good,6.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-02 04:00 PM,2018,05,02,16,5.8,24,Good,5.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-02 05:00 PM,2018,05,02,17,6.4,27,Good,7.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-02 06:00 PM,2018,05,02,18,6.2,26,Good,6.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-02 07:00 PM,2018,05,02,19,6.1,25,Good,6.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-02 08:00 PM,2018,05,02,20,7.5,31,Good,9.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-02 09:00 PM,2018,05,02,21,11.7,49,Good,16.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2018-05-02 10:00 PM,2018,05,02,22,9.8,41,Good,8.0,UG/M3,1 Hr,Valid
