Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Bogota,PM2.5 - Principal,2025-01-02 09:00 AM,2025,01,02,09,-999.0,-999,N/A,16.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-02 10:00 AM,2025,01,02,10,12.3,57,Moderate,10.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-02 11:00 AM,2025,01,02,11,8.5,47,Good,6.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-02 12:00 PM,2025,01,02,12,6.6,37,Good,5.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-02 01:00 PM,2025,01,02,13,6.8,38,Good,7.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-02 02:00 PM,2025,01,02,14,9.4,52,Moderate,12.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-02 03:00 PM,2025,01,02,15,14.7,61,Moderate,20.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-02 04:00 PM,2025,01,02,16,15.3,63,Moderate,16.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-02 05:00 PM,2025,01,02,17,14.6,61,Moderate,14.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-02 06:00 PM,2025,01,02,18,15.3,63,Moderate,16.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-02 07:00 PM,2025,01,02,19,15.1,62,Moderate,15.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-02 08:00 PM,2025,01,02,20,14.0,60,Moderate,13.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-02 09:00 PM,2025,01,02,21,15.5,63,Moderate,17.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-02 10:00 PM,2025,01,02,22,15.2,62,Moderate,15.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-02 11:00 PM,2025,01,02,23,16.1,64,Moderate,17.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-03 12:00 AM,2025,01,03,00,16.0,64,Moderate,16.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-03 01:00 AM,2025,01,03,01,16.3,64,Moderate,17.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-03 02:00 AM,2025,01,03,02,16.9,66,Moderate,18.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-03 03:00 AM,2025,01,03,03,16.4,65,Moderate,16.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-03 04:00 AM,2025,01,03,04,16.0,64,Moderate,15.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-03 05:00 AM,2025,01,03,05,17.0,66,Moderate,19.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-03 06:00 AM,2025,01,03,06,17.3,66,Moderate,18.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-03 07:00 AM,2025,01,03,07,18.3,68,Moderate,20.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-03 08:00 AM,2025,01,03,08,18.2,68,Moderate,19.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-03 09:00 AM,2025,01,03,09,18.1,68,Moderate,18.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-03 10:00 AM,2025,01,03,10,19.5,70,Moderate,22.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-03 11:00 AM,2025,01,03,11,19.6,71,Moderate,20.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-03 12:00 PM,2025,01,03,12,19.4,70,Moderate,19.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-03 01:00 PM,2025,01,03,13,19.4,70,Moderate,-999.0,UG/M3,1 Hr,Missing
Bogota,PM2.5 - Principal,2025-01-06 07:00 AM,2025,01,06,07,-999.0,-999,N/A,19.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-06 08:00 AM,2025,01,06,08,16.7,65,Moderate,15.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-06 09:00 AM,2025,01,06,09,15.5,63,Moderate,14.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-06 10:00 AM,2025,01,06,10,12.4,57,Moderate,10.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-06 11:00 AM,2025,01,06,11,9.0,50,Good,6.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-06 12:00 PM,2025,01,06,12,9.0,50,Good,-999.0,UG/M3,1 Hr,Missing
Bogota,PM2.5 - Principal,2025-01-06 01:00 PM,2025,01,06,13,5.6,31,Good,4.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-06 02:00 PM,2025,01,06,14,2.9,16,Good,1.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-06 03:00 PM,2025,01,06,15,2.4,13,Good,2.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-06 04:00 PM,2025,01,06,16,2.2,12,Good,2.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-06 05:00 PM,2025,01,06,17,2.1,12,Good,2.0,UG/M3,1 Hr,Valid
Bogota,PM2.5 - Principal,2025-01-06 06:00 PM,2025,01,06,18,3.0,17,Good,4.0,UG/M3,1 Hr,Valid
