Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Buenos Aires,PM2.5 - Principal,2019-06-01 01:00 AM,2019,06,01,01,9.2,38,Good,11.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-01 02:00 AM,2019,06,01,02,9.1,38,Good,9.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-01 03:00 AM,2019,06,01,03,9.5,40,Good,10.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-01 04:00 AM,2019,06,01,04,8.7,36,Good,8.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-01 05:00 AM,2019,06,01,05,7.3,30,Good,6.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-01 06:00 AM,2019,06,01,06,8.2,34,Good,9.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-01 07:00 AM,2019,06,01,07,7.6,32,Good,7.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-01 08:00 AM,2019,06,01,08,7.3,30,Good,7.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-01 09:00 AM,2019,06,01,09,7.6,32,Good,8.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-01 10:00 AM,2019,06,01,10,7.3,30,Good,7.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-01 11:00 AM,2019,06,01,11,6.7,28,Good,6.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-01 12:00 PM,2019,06,01,12,6.8,28,Good,7.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-01 01:00 PM,2019,06,01,13,7.3,30,Good,8.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-01 02:00 PM,2019,06,01,14,6.2,26,Good,5.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-01 03:00 PM,2019,06,01,15,5.7,24,Good,5.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-01 04:00 PM,2019,06,01,16,6.7,28,Good,8.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-01 05:00 PM,2019,06,01,17,6.8,28,Good,7.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-01 06:00 PM,2019,06,01,18,9.4,39,Good,12.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-01 07:00 PM,2019,06,01,19,10.7,45,Good,12.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-01 08:00 PM,2019,06,01,20,12.3,51,Moderate,14.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-01 09:00 PM,2019,06,01,21,17.1,62,Moderate,22.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-01 10:00 PM,2019,06,01,22,19.5,67,Moderate,22.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-01 11:00 PM,2019,06,01,23,20.7,69,Moderate,22.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-02 12:00 AM,2019,06,02,00,27.9,84,Moderate,35.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-02 01:00 AM,2019,06,02,01,33.9,97,Moderate,40.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-02 02:00 AM,2019,06,02,02,34.4,98,Moderate,35.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-02 03:00 AM,2019,06,02,03,31.2,91,Moderate,28.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-02 04:00 AM,2019,06,02,04,26.6,81,Moderate,22.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-02 05:00 AM,2019,06,02,05,26.3,81,Moderate,26.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-02 06:00 AM,2019,06,02,06,27.6,84,Moderate,29.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-02 07:00 AM,2019,06,02,07,27.8,84,Moderate,28.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-02 08:00 AM,2019,06,02,08,28.3,85,Moderate,29.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-02 09:00 AM,2019,06,02,09,27.7,84,Moderate,27.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-02 10:00 AM,2019,06,02,10,26.5,81,Moderate,25.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-02 11:00 AM,2019,06,02,11,23.8,76,Moderate,21.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-02 12:00 PM,2019,06,02,12,19.8,67,Moderate,16.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-02 01:00 PM,2019,06,02,13,17.9,63,Moderate,16.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-02 02:00 PM,2019,06,02,14,21.3,70,Moderate,25.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-02 03:00 PM,2019,06,02,15,20.3,68,Moderate,19.0,UG/M3,1 Hr,Valid
Buenos Aires,PM2.5 - Principal,2019-06-02 04:00 PM,2019,06,02,16,21.0,70,Moderate,22.0,UG/M3,1 Hr,Valid
