Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Cairo,PM2.5 - Principal,2023-12-01 01:00 AM,2023,12,01,01,74.1,161,Unhealthy,84.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-01 02:00 AM,2023,12,01,02,76.0,162,Unhealthy,78.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-01 03:00 AM,2023,12,01,03,83.0,165,Unhealthy,90.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-01 04:00 AM,2023,12,01,04,87.0,167,Unhealthy,91.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-01 05:00 AM,2023,12,01,05,86.5,167,Unhealthy,86.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-01 06:00 AM,2023,12,01,06,81.2,164,Unhealthy,76.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-01 07:00 AM,2023,12,01,07,80.6,164,Unhealthy,80.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-01 08:00 AM,2023,12,01,08,64.3,156,Unhealthy,48.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-01 09:00 AM,2023,12,01,09,53.6,146,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-01 10:00 AM,2023,12,01,10,44.8,124,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-01 11:00 AM,2023,12,01,11,35.9,102,Unhealthy for Sensitive Groups,27.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-01 12:00 PM,2023,12,01,12,25.4,79,Moderate,15.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-01 01:00 PM,2023,12,01,13,21.2,70,Moderate,17.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-01 02:00 PM,2023,12,01,14,24.1,76,Moderate,27.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-01 03:00 PM,2023,12,01,15,24.0,76,Moderate,24.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-01 04:00 PM,2023,12,01,16,24.0,76,Moderate,24.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-01 05:00 PM,2023,12,01,17,23.9,76,Moderate,24.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-01 06:00 PM,2023,12,01,18,21.9,72,Moderate,20.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-01 07:00 PM,2023,12,01,19,31.9,93,Moderate,42.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-01 08:00 PM,2023,12,01,20,33.4,96,Moderate,35.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-01 09:00 PM,2023,12,01,21,30.7,90,Moderate,28.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-01 10:00 PM,2023,12,01,22,28.3,85,Moderate,26.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-01 11:00 PM,2023,12,01,23,27.6,84,Moderate,27.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-02 12:00 AM,2023,12,02,00,43.8,121,Unhealthy for Sensitive Groups,60.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-02 01:00 AM,2023,12,02,01,51.9,141,Unhealthy for Sensitive Groups,60.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-02 02:00 AM,2023,12,02,02,55.4,150,Unhealthy for Sensitive Groups,59.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-02 03:00 AM,2023,12,02,03,53.2,145,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-02 04:00 AM,2023,12,02,04,47.6,131,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-02 05:00 AM,2023,12,02,05,53.8,146,Unhealthy for Sensitive Groups,60.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-02 06:00 AM,2023,12,02,06,53.4,145,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-02 07:00 AM,2023,12,02,07,49.7,136,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-02 08:00 AM,2023,12,02,08,51.3,140,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-02 09:00 AM,2023,12,02,09,59.1,153,Unhealthy,67.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-02 10:00 AM,2023,12,02,10,51.0,139,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-02 11:00 AM,2023,12,02,11,45.7,126,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-02 12:00 PM,2023,12,02,12,35.7,101,Unhealthy for Sensitive Groups,27.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-02 01:00 PM,2023,12,02,13,30.8,90,Moderate,26.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-02 02:00 PM,2023,12,02,14,29.4,87,Moderate,28.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-02 03:00 PM,2023,12,02,15,31.2,91,Moderate,33.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-02 04:00 PM,2023,12,02,16,32.6,94,Moderate,34.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-02 05:00 PM,2023,12,02,17,34.3,98,Moderate,36.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-02 06:00 PM,2023,12,02,18,32.1,93,Moderate,30.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-02 07:00 PM,2023,12,02,19,31.5,92,Moderate,31.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-02 08:00 PM,2023,12,02,20,29.2,87,Moderate,27.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-02 09:00 PM,2023,12,02,21,45.1,125,Unhealthy for Sensitive Groups,61.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-02 10:00 PM,2023,12,02,22,50.0,137,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-02 11:00 PM,2023,12,02,23,54.0,147,Unhealthy for Sensitive Groups,58.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-03 12:00 AM,2023,12,03,00,61.5,154,Unhealthy,69.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-03 01:00 AM,2023,12,03,01,62.7,155,Unhealthy,64.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-03 02:00 AM,2023,12,03,02,63.3,155,Unhealthy,64.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-03 03:00 AM,2023,12,03,03,47.6,131,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-03 04:00 AM,2023,12,03,04,46.3,128,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-03 05:00 AM,2023,12,03,05,57.6,152,Unhealthy,69.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-03 06:00 AM,2023,12,03,06,45.8,126,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-03 07:00 AM,2023,12,03,07,57.4,152,Unhealthy,69.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-03 08:00 AM,2023,12,03,08,58.2,152,Unhealthy,59.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-03 09:00 AM,2023,12,03,09,48.1,132,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-03 10:00 AM,2023,12,03,10,42.5,118,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-03 11:00 AM,2023,12,03,11,37.7,106,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-03 12:00 PM,2023,12,03,12,35.3,100,Moderate,33.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-03 01:00 PM,2023,12,03,13,37.1,105,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-03 02:00 PM,2023,12,03,14,40.0,112,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-03 03:00 PM,2023,12,03,15,41.0,115,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-03 04:00 PM,2023,12,03,16,41.5,116,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-03 05:00 PM,2023,12,03,17,50.2,137,Unhealthy for Sensitive Groups,59.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-03 06:00 PM,2023,12,03,18,50.1,137,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-03 07:00 PM,2023,12,03,19,49.7,136,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-03 08:00 PM,2023,12,03,20,52.4,143,Unhealthy for Sensitive Groups,56.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-03 09:00 PM,2023,12,03,21,66.5,157,Unhealthy,80.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-03 10:00 PM,2023,12,03,22,77.7,162,Unhealthy,89.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-03 11:00 PM,2023,12,03,23,83.3,165,Unhealthy,89.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-04 12:00 AM,2023,12,04,00,79.2,163,Unhealthy,75.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-04 01:00 AM,2023,12,04,01,65.1,156,Unhealthy,51.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-04 02:00 AM,2023,12,04,02,87.0,167,Unhealthy,109.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-04 03:00 AM,2023,12,04,03,88.0,168,Unhealthy,89.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-04 04:00 AM,2023,12,04,04,87.5,168,Unhealthy,87.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-04 05:00 AM,2023,12,04,05,92.7,170,Unhealthy,98.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-04 06:00 AM,2023,12,04,06,97.3,173,Unhealthy,102.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-04 07:00 AM,2023,12,04,07,93.1,170,Unhealthy,89.0,UG/M3,1 Hr,Valid
Cairo,PM2.5 - Principal,2023-12-04 08:00 AM,2023,12,04,08,101.1,175,Unhealthy,109.0,UG/M3,1 Hr,Valid
