Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Chengdu,PM2.5 - Principal,2019-02-01 01:00 AM,2019,02,01,01,62.6,155,Unhealthy,65.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-01 02:00 AM,2019,02,01,02,65.5,156,Unhealthy,72.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-01 03:00 AM,2019,02,01,03,64.8,156,Unhealthy,64.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-01 04:00 AM,2019,02,01,04,69.5,158,Unhealthy,78.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-01 05:00 AM,2019,02,01,05,81.0,164,Unhealthy,93.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-01 06:00 AM,2019,02,01,06,80.0,164,Unhealthy,82.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-01 07:00 AM,2019,02,01,07,75.8,161,Unhealthy,69.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-01 08:00 AM,2019,02,01,08,72.9,160,Unhealthy,68.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-01 09:00 AM,2019,02,01,09,74.0,161,Unhealthy,76.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-01 10:00 AM,2019,02,01,10,84.4,166,Unhealthy,100.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-01 11:00 AM,2019,02,01,11,82.6,165,Unhealthy,80.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-01 12:00 PM,2019,02,01,12,79.3,163,Unhealthy,74.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-01 01:00 PM,2019,02,01,13,74.8,161,Unhealthy,67.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-01 02:00 PM,2019,02,01,14,71.3,159,Unhealthy,65.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-01 03:00 PM,2019,02,01,15,71.6,159,Unhealthy,72.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-01 04:00 PM,2019,02,01,16,69.3,158,Unhealthy,65.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-01 05:00 PM,2019,02,01,17,58.3,152,Unhealthy,49.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-01 06:00 PM,2019,02,01,18,54.6,148,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-01 07:00 PM,2019,02,01,19,55.3,150,Unhealthy for Sensitive Groups,56.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-01 08:00 PM,2019,02,01,20,57.1,152,Unhealthy,59.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-01 09:00 PM,2019,02,01,21,59.0,153,Unhealthy,61.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-01 10:00 PM,2019,02,01,22,61.9,154,Unhealthy,67.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-01 11:00 PM,2019,02,01,23,60.0,153,Unhealthy,57.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-02 12:00 AM,2019,02,02,00,62.5,155,Unhealthy,68.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-02 01:00 AM,2019,02,02,01,68.0,157,Unhealthy,77.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-02 02:00 AM,2019,02,02,02,80.9,164,Unhealthy,93.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-02 03:00 AM,2019,02,02,03,86.6,167,Unhealthy,93.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-02 04:00 AM,2019,02,02,04,92.0,170,Unhealthy,97.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-02 05:00 AM,2019,02,02,05,92.2,170,Unhealthy,93.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-02 06:00 AM,2019,02,02,06,90.3,169,Unhealthy,89.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-02 07:00 AM,2019,02,02,07,88.1,168,Unhealthy,85.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-02 08:00 AM,2019,02,02,08,85.6,167,Unhealthy,82.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-02 09:00 AM,2019,02,02,09,87.8,168,Unhealthy,91.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-02 10:00 AM,2019,02,02,10,89.5,169,Unhealthy,92.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-02 11:00 AM,2019,02,02,11,91.9,170,Unhealthy,98.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-02 12:00 PM,2019,02,02,12,92.3,170,Unhealthy,96.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-02 01:00 PM,2019,02,02,13,92.9,170,Unhealthy,96.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-02 02:00 PM,2019,02,02,14,95.4,172,Unhealthy,103.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-02 03:00 PM,2019,02,02,15,95.3,172,Unhealthy,95.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-02 04:00 PM,2019,02,02,16,95.2,171,Unhealthy,95.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-02 05:00 PM,2019,02,02,17,94.5,171,Unhealthy,92.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-02 06:00 PM,2019,02,02,18,90.5,169,Unhealthy,78.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-02 07:00 PM,2019,02,02,19,87.9,168,Unhealthy,80.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-02 08:00 PM,2019,02,02,20,77.1,162,Unhealthy,64.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-02 09:00 PM,2019,02,02,21,66.1,156,Unhealthy,56.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-02 10:00 PM,2019,02,02,22,65.1,156,Unhealthy,64.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-02 11:00 PM,2019,02,02,23,66.4,157,Unhealthy,68.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-03 12:00 AM,2019,02,03,00,69.4,158,Unhealthy,73.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-03 01:00 AM,2019,02,03,01,73.7,160,Unhealthy,79.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-03 02:00 AM,2019,02,03,02,84.6,166,Unhealthy,99.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-03 03:00 AM,2019,02,03,03,85.6,167,Unhealthy,87.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-03 04:00 AM,2019,02,03,04,82.3,165,Unhealthy,78.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-03 05:00 AM,2019,02,03,05,76.0,162,Unhealthy,68.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-03 06:00 AM,2019,02,03,06,67.3,157,Unhealthy,56.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-03 07:00 AM,2019,02,03,07,58.7,153,Unhealthy,51.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-03 08:00 AM,2019,02,03,08,63.2,155,Unhealthy,68.0,UG/M3,1 Hr,Valid
Chengdu,PM2.5 - Principal,2019-02-03 09:00 AM,2019,02,03,09,67.9,157,Unhealthy,73.0,UG/M3,1 Hr,Valid
