Site,Parameter,Date (LT),Year,Month,Day,Hour,Raw Conc.,24-hr. Midpoint Avg. Conc.,24-hr. Midpoint Avg. AQI,24-hr. Midpoint Avg. AQI Category,NowCast Conc.,NowCast AQI,NowCast AQI Category,Conc. Unit,Duration,QC Name
"[Chennai, PM2.5 - Principal, 2016-10-01 01:00 AM, 2016, 10, 01, 01, 34.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-01 02:00 AM, 2016, 10, 01, 02, 42.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-01 03:00 AM, 2016, 10, 01, 03, 25.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-01 04:00 AM, 2016, 10, 01, 04, 36.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-01 05:00 AM, 2016, 10, 01, 05, 39.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-01 06:00 AM, 2016, 10, 01, 06, 41.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-01 07:00 AM, 2016, 10, 01, 07, 43.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-01 08:00 AM, 2016, 10, 01, 08, 59.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-01 09:00 AM, 2016, 10, 01, 09, 57.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-01 10:00 AM, 2016, 10, 01, 10, 42.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-01 11:00 AM, 2016, 10, 01, 11, 43.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-01 12:00 PM, 2016, 10, 01, 12, 40.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-01 01:00 PM, 2016, 10, 01, 13, 28.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-01 02:00 PM, 2016, 10, 01, 14, 33.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-01 03:00 PM, 2016, 10, 01, 15, 44.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-01 04:00 PM, 2016, 10, 01, 16, 53.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-01 05:00 PM, 2016, 10, 01, 17, 38.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-01 06:00 PM, 2016, 10, 01, 18, 43.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-01 07:00 PM, 2016, 10, 01, 19, 42.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-01 08:00 PM, 2016, 10, 01, 20, 50.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-01 09:00 PM, 2016, 10, 01, 21, 39.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-01 10:00 PM, 2016, 10, 01, 22, 50.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-01 11:00 PM, 2016, 10, 01, 23, 40.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-02 12:00 AM, 2016, 10, 02, 00, 26.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-02 01:00 AM, 2016, 10, 02, 01, 36.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-02 02:00 AM, 2016, 10, 02, 02, 33.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-02 03:00 AM, 2016, 10, 02, 03, 30.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-02 04:00 AM, 2016, 10, 02, 04, 35.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-02 05:00 AM, 2016, 10, 02, 05, 27.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-02 06:00 AM, 2016, 10, 02, 06, 33.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-02 07:00 AM, 2016, 10, 02, 07, 27.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-02 08:00 AM, 2016, 10, 02, 08, 28.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-02 09:00 AM, 2016, 10, 02, 09, 27.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-02 10:00 AM, 2016, 10, 02, 10, 38.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-02 11:00 AM, 2016, 10, 02, 11, 44.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-02 12:00 PM, 2016, 10, 02, 12, 38.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-02 01:00 PM, 2016, 10, 02, 13, 37.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-02 02:00 PM, 2016, 10, 02, 14, 29.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-02 03:00 PM, 2016, 10, 02, 15, 29.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Chennai, PM2.5 - Principal, 2016-10-02 04:00 PM, 2016, 10, 02, 16, 30.0, , , , , , , UG/M3, 1 Hr, Valid]"
