Site,Parameter,Date (LT),Year,Month,Day,Hour,AQI,AQI Category,24-hr. Midpoint Avg. Conc.,Raw Conc.,Conc. Unit,Duration,QC Name
Chennai,PM2.5 - Principal,2016-07-01 07:00 AM,2016,07,01,07,98,Moderate,34.6,41.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2016-07-01 08:00 AM,2016,07,01,08,101,Unhealthy for Sensitive Groups,35.5,44.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2016-07-01 09:00 AM,2016,07,01,09,102,Unhealthy for Sensitive Groups,35.9,43.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2016-07-01 10:00 AM,2016,07,01,10,104,Unhealthy for Sensitive Groups,36.9,42.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2016-07-01 11:00 AM,2016,07,01,11,106,Unhealthy for Sensitive Groups,37.4,29.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2016-07-01 12:00 PM,2016,07,01,12,107,Unhealthy for Sensitive Groups,37.9,36.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2016-07-01 01:00 PM,2016,07,01,13,107,Unhealthy for Sensitive Groups,38.0,36.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2016-07-01 02:00 PM,2016,07,01,14,107,Unhealthy for Sensitive Groups,37.9,30.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2016-07-01 03:00 PM,2016,07,01,15,107,Unhealthy for Sensitive Groups,37.8,29.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2016-07-01 04:00 PM,2016,07,01,16,107,Unhealthy for Sensitive Groups,37.8,35.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2016-07-01 05:00 PM,2016,07,01,17,106,Unhealthy for Sensitive Groups,37.5,40.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2016-07-01 06:00 PM,2016,07,01,18,106,Unhealthy for Sensitive Groups,37.6,59.0,UG/M3,1 Hr,Valid
