Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Chennai,PM2.5 - Principal,2024-01-01 02:00 AM,2024,01,01,02,93.6,171,Unhealthy,118.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2024-01-01 03:00 AM,2024,01,01,03,117.5,183,Unhealthy,141.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2024-01-01 04:00 AM,2024,01,01,04,112.2,180,Unhealthy,107.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2024-01-01 05:00 AM,2024,01,01,05,103.6,176,Unhealthy,95.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2024-01-01 06:00 AM,2024,01,01,06,104.3,176,Unhealthy,105.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2024-01-01 07:00 AM,2024,01,01,07,109.6,179,Unhealthy,115.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2024-01-01 08:00 AM,2024,01,01,08,131.8,190,Unhealthy,154.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2024-01-01 09:00 AM,2024,01,01,09,131.4,190,Unhealthy,131.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2024-01-01 10:00 AM,2024,01,01,10,121.7,185,Unhealthy,112.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2024-01-01 11:00 AM,2024,01,01,11,106.8,177,Unhealthy,92.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2024-01-01 12:00 PM,2024,01,01,12,96.1,172,Unhealthy,85.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2024-01-01 01:00 PM,2024,01,01,13,84.4,166,Unhealthy,73.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2024-01-01 02:00 PM,2024,01,01,14,79.7,163,Unhealthy,75.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2024-01-01 03:00 PM,2024,01,01,15,76.8,162,Unhealthy,74.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2024-01-01 04:00 PM,2024,01,01,16,74.9,161,Unhealthy,73.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2024-01-01 05:00 PM,2024,01,01,17,95.4,172,Unhealthy,116.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2024-01-01 06:00 PM,2024,01,01,18,99.7,174,Unhealthy,104.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2024-01-01 07:00 PM,2024,01,01,19,85.8,167,Unhealthy,72.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2024-01-01 08:00 PM,2024,01,01,20,78.0,163,Unhealthy,69.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2024-01-01 09:00 PM,2024,01,01,21,72.0,160,Unhealthy,64.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2024-01-01 10:00 PM,2024,01,01,22,61.8,154,Unhealthy,53.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2024-01-01 11:00 PM,2024,01,01,23,56.9,152,Unhealthy,52.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2024-01-02 12:00 AM,2024,01,02,00,54.9,149,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2024-01-02 01:00 AM,2024,01,02,01,54.4,148,Unhealthy for Sensitive Groups,54.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2024-01-02 02:00 AM,2024,01,02,02,46.7,129,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2024-01-02 03:00 AM,2024,01,02,03,39.8,112,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
