Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Chisinau,PM2.5 - Principal,2022-01-01 01:00 AM,2022,01,01,01,38.9,109,Unhealthy for Sensitive Groups,27.0,UG/M3,1 Hr,Valid
Chisinau,PM2.5 - Principal,2022-01-01 02:00 AM,2022,01,01,02,78.4,163,Unhealthy,118.0,UG/M3,1 Hr,Valid
Chisinau,PM2.5 - Principal,2022-01-01 03:00 AM,2022,01,01,03,90.2,169,Unhealthy,102.0,UG/M3,1 Hr,Valid
Chisinau,PM2.5 - Principal,2022-01-01 04:00 AM,2022,01,01,04,74.1,161,Unhealthy,58.0,UG/M3,1 Hr,Valid
Chisinau,PM2.5 - Principal,2022-01-01 05:00 AM,2022,01,01,05,52.0,142,Unhealthy for Sensitive Groups,30.0,UG/M3,1 Hr,Valid
Chisinau,PM2.5 - Principal,2022-01-01 06:00 AM,2022,01,01,06,42.0,117,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
Chisinau,PM2.5 - Principal,2022-01-01 07:00 AM,2022,01,01,07,37.0,105,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
Chisinau,PM2.5 - Principal,2022-01-01 08:00 AM,2022,01,01,08,31.5,92,Moderate,26.0,UG/M3,1 Hr,Valid
Chisinau,PM2.5 - Principal,2022-01-01 09:00 AM,2022,01,01,09,28.2,85,Moderate,25.0,UG/M3,1 Hr,Valid
Chisinau,PM2.5 - Principal,2022-01-01 10:00 AM,2022,01,01,10,26.6,81,Moderate,25.0,UG/M3,1 Hr,Valid
Chisinau,PM2.5 - Principal,2022-01-01 11:00 AM,2022,01,01,11,26.3,81,Moderate,26.0,UG/M3,1 Hr,Valid
Chisinau,PM2.5 - Principal,2022-01-01 12:00 PM,2022,01,01,12,23.1,74,Moderate,20.0,UG/M3,1 Hr,Valid
Chisinau,PM2.5 - Principal,2022-01-01 01:00 PM,2022,01,01,13,20.0,68,Moderate,17.0,UG/M3,1 Hr,Valid
Chisinau,PM2.5 - Principal,2022-01-01 02:00 PM,2022,01,01,14,15.5,58,Moderate,11.0,UG/M3,1 Hr,Valid
Chisinau,PM2.5 - Principal,2022-01-01 03:00 PM,2022,01,01,15,14.7,56,Moderate,14.0,UG/M3,1 Hr,Valid
Chisinau,PM2.5 - Principal,2022-01-01 04:00 PM,2022,01,01,16,15.3,58,Moderate,16.0,UG/M3,1 Hr,Valid
Chisinau,PM2.5 - Principal,2022-01-01 05:00 PM,2022,01,01,17,14.1,55,Moderate,13.0,UG/M3,1 Hr,Valid
Chisinau,PM2.5 - Principal,2022-01-01 06:00 PM,2022,01,01,18,13.0,53,Moderate,12.0,UG/M3,1 Hr,Valid
Chisinau,PM2.5 - Principal,2022-01-01 07:00 PM,2022,01,01,19,15.0,57,Moderate,17.0,UG/M3,1 Hr,Valid
Chisinau,PM2.5 - Principal,2022-01-01 08:00 PM,2022,01,01,20,14.5,56,Moderate,14.0,UG/M3,1 Hr,Valid
Chisinau,PM2.5 - Principal,2022-01-01 09:00 PM,2022,01,01,21,15.7,59,Moderate,17.0,UG/M3,1 Hr,Valid
Chisinau,PM2.5 - Principal,2022-01-01 10:00 PM,2022,01,01,22,15.8,59,Moderate,16.0,UG/M3,1 Hr,Valid
Chisinau,PM2.5 - Principal,2022-01-01 11:00 PM,2022,01,01,23,16.3,60,Moderate,17.0,UG/M3,1 Hr,Valid
Chisinau,PM2.5 - Principal,2022-01-02 12:00 AM,2022,01,02,00,14.9,57,Moderate,13.0,UG/M3,1 Hr,Valid
Chisinau,PM2.5 - Principal,2022-01-02 01:00 AM,2022,01,02,01,14.2,55,Moderate,13.0,UG/M3,1 Hr,Valid
Chisinau,PM2.5 - Principal,2022-01-02 02:00 AM,2022,01,02,02,12.4,52,Moderate,10.0,UG/M3,1 Hr,Valid
Chisinau,PM2.5 - Principal,2022-01-02 03:00 AM,2022,01,02,03,11.4,48,Good,10.0,UG/M3,1 Hr,Valid
Chisinau,PM2.5 - Principal,2022-01-02 04:00 AM,2022,01,02,04,11.2,47,Good,11.0,UG/M3,1 Hr,Valid
Chisinau,PM2.5 - Principal,2022-01-02 05:00 AM,2022,01,02,05,11.1,46,Good,11.0,UG/M3,1 Hr,Valid
Chisinau,PM2.5 - Principal,2022-01-02 06:00 AM,2022,01,02,06,11.0,46,Good,11.0,UG/M3,1 Hr,Valid
Chisinau,PM2.5 - Principal,2022-01-02 07:00 AM,2022,01,02,07,11.0,46,Good,11.0,UG/M3,1 Hr,Valid
Chisinau,PM2.5 - Principal,2022-01-02 08:00 AM,2022,01,02,08,10.6,44,Good,10.0,UG/M3,1 Hr,Valid
Chisinau,PM2.5 - Principal,2022-01-02 09:00 AM,2022,01,02,09,9.8,41,Good,9.0,UG/M3,1 Hr,Valid
Chisinau,PM2.5 - Principal,2022-01-02 10:00 AM,2022,01,02,10,9.4,39,Good,9.0,UG/M3,1 Hr,Valid
