Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Colombo,PM2.5 - Principal,2020-10-01 02:00 AM,2020,10,01,02,19.9,67,Moderate,22.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-01 03:00 AM,2020,10,01,03,15.4,58,Moderate,11.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-01 04:00 AM,2020,10,01,04,11.2,47,Good,7.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-01 05:00 AM,2020,10,01,05,8.1,34,Good,5.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-01 06:00 AM,2020,10,01,06,7.5,31,Good,7.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-01 07:00 AM,2020,10,01,07,7.7,32,Good,8.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-01 08:00 AM,2020,10,01,08,9.3,39,Good,11.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-01 09:00 AM,2020,10,01,09,10.6,44,Good,12.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-01 10:00 AM,2020,10,01,10,9.3,39,Good,8.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-01 11:00 AM,2020,10,01,11,9.6,40,Good,10.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-01 12:00 PM,2020,10,01,12,9.8,41,Good,10.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-01 01:00 PM,2020,10,01,13,11.4,48,Good,13.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-01 02:00 PM,2020,10,01,14,10.7,45,Good,10.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-01 03:00 PM,2020,10,01,15,9.3,39,Good,8.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-01 04:00 PM,2020,10,01,16,9.1,38,Good,9.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-01 05:00 PM,2020,10,01,17,10.0,42,Good,11.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-01 06:00 PM,2020,10,01,18,9.6,40,Good,9.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-01 07:00 PM,2020,10,01,19,13.2,53,Moderate,17.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-01 08:00 PM,2020,10,01,20,13.1,53,Moderate,13.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-01 09:00 PM,2020,10,01,21,11.5,48,Good,10.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-01 10:00 PM,2020,10,01,22,11.2,47,Good,11.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-01 11:00 PM,2020,10,01,23,10.6,44,Good,10.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-02 12:00 AM,2020,10,02,00,8.8,37,Good,7.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-02 01:00 AM,2020,10,02,01,8.4,35,Good,8.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-02 02:00 AM,2020,10,02,02,9.7,40,Good,11.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-02 03:00 AM,2020,10,02,03,9.3,39,Good,9.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-02 04:00 AM,2020,10,02,04,8.6,36,Good,8.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-02 05:00 AM,2020,10,02,05,8.8,37,Good,9.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-02 06:00 AM,2020,10,02,06,7.9,33,Good,7.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-02 07:00 AM,2020,10,02,07,14.9,57,Moderate,22.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-02 08:00 AM,2020,10,02,08,14.9,57,Moderate,15.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-02 09:00 AM,2020,10,02,09,11.9,50,Good,9.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-02 10:00 AM,2020,10,02,10,10.9,45,Good,10.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-02 11:00 AM,2020,10,02,11,10.4,43,Good,10.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-02 12:00 PM,2020,10,02,12,11.2,47,Good,12.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-02 01:00 PM,2020,10,02,13,12.6,52,Moderate,14.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-02 02:00 PM,2020,10,02,14,11.8,49,Good,11.0,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,2020-10-02 03:00 PM,2020,10,02,15,10.9,45,Good,10.0,UG/M3,1 Hr,Valid
