Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Conakry,PM2.5 - Principal,2021-01-01 01:00 AM,2021,01,01,01,28.3,85,Moderate,28.0,UG/M3,1 Hr,Valid
Conakry,PM2.5 - Principal,2021-01-01 02:00 AM,2021,01,01,02,29.1,87,Moderate,30.0,UG/M3,1 Hr,Valid
Conakry,PM2.5 - Principal,2021-01-01 03:00 AM,2021,01,01,03,32.0,93,Moderate,35.0,UG/M3,1 Hr,Valid
Conakry,PM2.5 - Principal,2021-01-01 04:00 AM,2021,01,01,04,33.5,96,Moderate,35.0,UG/M3,1 Hr,Valid
Conakry,PM2.5 - Principal,2021-01-01 05:00 AM,2021,01,01,05,31.3,91,Moderate,29.0,UG/M3,1 Hr,Valid
Conakry,PM2.5 - Principal,2021-01-01 06:00 AM,2021,01,01,06,32.8,95,Moderate,35.0,UG/M3,1 Hr,Valid
Conakry,PM2.5 - Principal,2021-01-01 07:00 AM,2021,01,01,07,34.1,97,Moderate,36.0,UG/M3,1 Hr,Valid
Conakry,PM2.5 - Principal,2021-01-01 08:00 AM,2021,01,01,08,33.6,96,Moderate,33.0,UG/M3,1 Hr,Valid
Conakry,PM2.5 - Principal,2021-01-01 09:00 AM,2021,01,01,09,39.3,110,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Conakry,PM2.5 - Principal,2021-01-01 10:00 AM,2021,01,01,10,39.1,110,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Conakry,PM2.5 - Principal,2021-01-01 11:00 AM,2021,01,01,11,32.7,94,Moderate,25.0,UG/M3,1 Hr,Valid
Conakry,PM2.5 - Principal,2021-01-01 12:00 PM,2021,01,01,12,25.6,79,Moderate,19.0,UG/M3,1 Hr,Valid
Conakry,PM2.5 - Principal,2021-01-01 01:00 PM,2021,01,01,13,23.8,76,Moderate,22.0,UG/M3,1 Hr,Valid
Conakry,PM2.5 - Principal,2021-01-01 02:00 PM,2021,01,01,14,19.9,67,Moderate,16.0,UG/M3,1 Hr,Valid
Conakry,PM2.5 - Principal,2021-01-01 03:00 PM,2021,01,01,15,21.9,72,Moderate,24.0,UG/M3,1 Hr,Valid
Conakry,PM2.5 - Principal,2021-01-01 04:00 PM,2021,01,01,16,23.9,76,Moderate,26.0,UG/M3,1 Hr,Valid
Conakry,PM2.5 - Principal,2021-01-01 05:00 PM,2021,01,01,17,24.9,78,Moderate,26.0,UG/M3,1 Hr,Valid
Conakry,PM2.5 - Principal,2021-01-01 06:00 PM,2021,01,01,18,24.4,77,Moderate,24.0,UG/M3,1 Hr,Valid
Conakry,PM2.5 - Principal,2021-01-01 07:00 PM,2021,01,01,19,23.7,75,Moderate,23.0,UG/M3,1 Hr,Valid
Conakry,PM2.5 - Principal,2021-01-01 08:00 PM,2021,01,01,20,25.3,79,Moderate,27.0,UG/M3,1 Hr,Valid
Conakry,PM2.5 - Principal,2021-01-01 09:00 PM,2021,01,01,21,26.6,81,Moderate,28.0,UG/M3,1 Hr,Valid
Conakry,PM2.5 - Principal,2021-01-01 10:00 PM,2021,01,01,22,25.3,79,Moderate,24.0,UG/M3,1 Hr,Valid
Conakry,PM2.5 - Principal,2021-01-01 11:00 PM,2021,01,01,23,42.1,117,Unhealthy for Sensitive Groups,59.0,UG/M3,1 Hr,Valid
Conakry,PM2.5 - Principal,2021-01-02 12:00 AM,2021,01,02,00,33.0,95,Moderate,24.0,UG/M3,1 Hr,Valid
Conakry,PM2.5 - Principal,2021-01-02 01:00 AM,2021,01,02,01,27.5,83,Moderate,22.0,UG/M3,1 Hr,Valid
Conakry,PM2.5 - Principal,2021-01-02 02:00 AM,2021,01,02,02,24.2,76,Moderate,21.0,UG/M3,1 Hr,Valid
Conakry,PM2.5 - Principal,2021-01-02 03:00 AM,2021,01,02,03,24.1,76,Moderate,24.0,UG/M3,1 Hr,Valid
Conakry,PM2.5 - Principal,2021-01-02 04:00 AM,2021,01,02,04,26.5,81,Moderate,29.0,UG/M3,1 Hr,Valid
Conakry,PM2.5 - Principal,2021-01-02 05:00 AM,2021,01,02,05,25.7,80,Moderate,25.0,UG/M3,1 Hr,Valid
Conakry,PM2.5 - Principal,2021-01-02 06:00 AM,2021,01,02,06,29.8,88,Moderate,34.0,UG/M3,1 Hr,Valid
