Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Costa Rica,PM2.5 - Principal,2019-10-01 02:00 AM,2019,10,01,02,20.5,69,Moderate,19.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-01 03:00 AM,2019,10,01,03,17.7,63,Moderate,15.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-01 04:00 AM,2019,10,01,04,15.3,58,Moderate,13.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-01 05:00 AM,2019,10,01,05,17.1,62,Moderate,19.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-01 06:00 AM,2019,10,01,06,19.0,66,Moderate,21.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-01 07:00 AM,2019,10,01,07,24.5,77,Moderate,30.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-01 08:00 AM,2019,10,01,08,27.7,84,Moderate,31.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-01 09:00 AM,2019,10,01,09,22.8,74,Moderate,18.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-01 10:00 AM,2019,10,01,10,20.9,70,Moderate,19.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-01 11:00 AM,2019,10,01,11,17.9,63,Moderate,15.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-01 12:00 PM,2019,10,01,12,16.4,60,Moderate,15.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-01 01:00 PM,2019,10,01,13,16.4,60,Moderate,-999.0,UG/M3,1 Hr,Missing
Costa Rica,PM2.5 - Principal,2019-10-01 02:00 PM,2019,10,01,14,16.1,59,Moderate,16.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-01 03:00 PM,2019,10,01,15,14.3,56,Moderate,13.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-01 04:00 PM,2019,10,01,16,14.6,56,Moderate,15.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-01 05:00 PM,2019,10,01,17,15.8,59,Moderate,17.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-01 06:00 PM,2019,10,01,18,11.3,47,Good,7.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-01 07:00 PM,2019,10,01,19,10.1,42,Good,9.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-01 08:00 PM,2019,10,01,20,8.5,35,Good,7.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-01 09:00 PM,2019,10,01,21,8.2,34,Good,8.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-01 10:00 PM,2019,10,01,22,7.6,32,Good,7.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-01 11:00 PM,2019,10,01,23,7.8,33,Good,8.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-02 12:00 AM,2019,10,02,00,6.9,29,Good,6.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-02 01:00 AM,2019,10,02,01,6.9,29,Good,-999.0,UG/M3,1 Hr,Missing
Costa Rica,PM2.5 - Principal,2019-10-02 02:00 AM,2019,10,02,02,6.3,26,Good,6.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-02 03:00 AM,2019,10,02,03,6.1,25,Good,6.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-02 04:00 AM,2019,10,02,04,7.1,30,Good,8.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-02 05:00 AM,2019,10,02,05,7.3,30,Good,8.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-02 06:00 AM,2019,10,02,06,10.3,43,Good,13.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-02 07:00 AM,2019,10,02,07,15.2,58,Moderate,20.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-02 08:00 AM,2019,10,02,08,19.1,66,Moderate,23.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-02 09:00 AM,2019,10,02,09,15.0,57,Moderate,11.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-02 10:00 AM,2019,10,02,10,12.5,52,Moderate,10.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-02 11:00 AM,2019,10,02,11,9.7,40,Good,7.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-02 12:00 PM,2019,10,02,12,7.8,33,Good,6.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-02 01:00 PM,2019,10,02,13,6.4,27,Good,5.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-02 02:00 PM,2019,10,02,14,4.2,18,Good,2.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-02 03:00 PM,2019,10,02,15,3.1,13,Good,2.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-02 04:00 PM,2019,10,02,16,3.5,15,Good,4.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-02 05:00 PM,2019,10,02,17,3.7,15,Good,4.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-02 06:00 PM,2019,10,02,18,3.3,14,Good,3.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-02 07:00 PM,2019,10,02,19,4.1,17,Good,5.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-02 08:00 PM,2019,10,02,20,5.5,23,Good,7.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-02 09:00 PM,2019,10,02,21,5.2,22,Good,5.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-02 10:00 PM,2019,10,02,22,4.6,19,Good,4.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-02 11:00 PM,2019,10,02,23,3.8,16,Good,3.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-03 12:00 AM,2019,10,03,00,3.4,14,Good,3.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-03 01:00 AM,2019,10,03,01,5.7,24,Good,8.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-03 02:00 AM,2019,10,03,02,6.8,28,Good,8.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-03 03:00 AM,2019,10,03,03,8.9,37,Good,11.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-03 04:00 AM,2019,10,03,04,9.4,39,Good,10.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-03 05:00 AM,2019,10,03,05,10.2,43,Good,11.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-03 06:00 AM,2019,10,03,06,11.1,46,Good,12.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-03 07:00 AM,2019,10,03,07,17.5,62,Moderate,24.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-03 08:00 AM,2019,10,03,08,23.7,75,Moderate,30.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-03 09:00 AM,2019,10,03,09,18.3,64,Moderate,13.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-03 10:00 AM,2019,10,03,10,14.1,55,Moderate,10.0,UG/M3,1 Hr,Valid
Costa Rica,PM2.5 - Principal,2019-10-03 11:00 AM,2019,10,03,11,11.0,46,Good,8.0,UG/M3,1 Hr,Valid
