Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Curacao,PM2.5 - Principal,2020-12-01 01:00 AM,2020,12,01,01,2.6,11,Good,2.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-01 02:00 AM,2020,12,01,02,2.3,10,Good,2.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-01 03:00 AM,2020,12,01,03,2.1,9,Good,2.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-01 04:00 AM,2020,12,01,04,2.0,8,Good,2.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-01 05:00 AM,2020,12,01,05,1.0,4,Good,0.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-01 06:00 AM,2020,12,01,06,1.0,4,Good,1.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-01 07:00 AM,2020,12,01,07,2.0,8,Good,3.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-01 08:00 AM,2020,12,01,08,4.0,17,Good,6.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-01 09:00 AM,2020,12,01,09,3.5,15,Good,3.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-01 10:00 AM,2020,12,01,10,3.2,13,Good,3.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-01 11:00 AM,2020,12,01,11,4.1,17,Good,5.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-01 12:00 PM,2020,12,01,12,4.5,19,Good,5.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-01 01:00 PM,2020,12,01,13,4.7,20,Good,5.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-01 02:00 PM,2020,12,01,14,5.8,24,Good,7.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-01 03:00 PM,2020,12,01,15,6.4,27,Good,7.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-01 04:00 PM,2020,12,01,16,6.7,28,Good,7.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-01 05:00 PM,2020,12,01,17,12.3,51,Moderate,18.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-01 06:00 PM,2020,12,01,18,12.1,51,Moderate,12.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-01 07:00 PM,2020,12,01,19,13.5,54,Moderate,15.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-01 08:00 PM,2020,12,01,20,14.2,55,Moderate,15.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-01 09:00 PM,2020,12,01,21,14.6,56,Moderate,15.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-01 10:00 PM,2020,12,01,22,15.8,59,Moderate,17.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-01 11:00 PM,2020,12,01,23,15.9,59,Moderate,16.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-02 12:00 AM,2020,12,02,00,13.9,55,Moderate,12.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-02 01:00 AM,2020,12,02,01,13.4,54,Moderate,13.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-02 02:00 AM,2020,12,02,02,12.2,51,Moderate,11.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-02 03:00 AM,2020,12,02,03,13.1,53,Moderate,14.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-02 04:00 AM,2020,12,02,04,15.0,57,Moderate,18.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-02 05:00 AM,2020,12,02,05,14.6,56,Moderate,14.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-02 06:00 AM,2020,12,02,06,14.4,56,Moderate,14.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-02 07:00 AM,2020,12,02,07,13.8,55,Moderate,13.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-02 08:00 AM,2020,12,02,08,15.0,57,Moderate,17.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-02 09:00 AM,2020,12,02,09,14.6,56,Moderate,14.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-02 10:00 AM,2020,12,02,10,12.5,52,Moderate,10.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-02 11:00 AM,2020,12,02,11,11.8,49,Good,11.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-02 12:00 PM,2020,12,02,12,11.0,46,Good,10.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-02 01:00 PM,2020,12,02,13,9.9,41,Good,9.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-02 02:00 PM,2020,12,02,14,9.9,41,Good,10.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-02 03:00 PM,2020,12,02,15,10.4,43,Good,11.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-02 04:00 PM,2020,12,02,16,10.7,45,Good,11.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-02 05:00 PM,2020,12,02,17,11.3,47,Good,12.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-02 06:00 PM,2020,12,02,18,11.1,46,Good,11.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-02 07:00 PM,2020,12,02,19,10.1,42,Good,9.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-02 08:00 PM,2020,12,02,20,9.8,41,Good,9.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-02 09:00 PM,2020,12,02,21,8.5,35,Good,7.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-02 10:00 PM,2020,12,02,22,6.6,28,Good,5.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-02 11:00 PM,2020,12,02,23,6.8,28,Good,7.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-03 12:00 AM,2020,12,03,00,6.4,27,Good,6.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-03 01:00 AM,2020,12,03,01,4.2,18,Good,2.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-03 02:00 AM,2020,12,03,02,2.1,9,Good,0.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-03 03:00 AM,2020,12,03,03,2.0,8,Good,2.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-03 04:00 AM,2020,12,03,04,1.5,6,Good,1.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-03 05:00 AM,2020,12,03,05,1.7,7,Good,2.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-03 06:00 AM,2020,12,03,06,3.8,16,Good,6.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-03 07:00 AM,2020,12,03,07,4.9,20,Good,6.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-03 08:00 AM,2020,12,03,08,5.4,23,Good,6.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-03 09:00 AM,2020,12,03,09,6.2,26,Good,7.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-03 10:00 AM,2020,12,03,10,6.6,28,Good,7.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-03 11:00 AM,2020,12,03,11,6.8,28,Good,7.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-03 12:00 PM,2020,12,03,12,6.9,29,Good,7.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-03 01:00 PM,2020,12,03,13,6.4,27,Good,6.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-03 02:00 PM,2020,12,03,14,5.7,24,Good,5.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-03 03:00 PM,2020,12,03,15,5.3,22,Good,5.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-03 04:00 PM,2020,12,03,16,6.6,28,Good,8.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-03 05:00 PM,2020,12,03,17,6.6,28,Good,7.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-03 06:00 PM,2020,12,03,18,6.0,25,Good,5.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-03 07:00 PM,2020,12,03,19,4.4,18,Good,3.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-03 08:00 PM,2020,12,03,20,3.7,15,Good,3.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-03 09:00 PM,2020,12,03,21,3.8,16,Good,4.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-03 10:00 PM,2020,12,03,22,3.9,16,Good,4.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-03 11:00 PM,2020,12,03,23,3.9,16,Good,4.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-04 12:00 AM,2020,12,04,00,3.4,14,Good,3.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-04 01:00 AM,2020,12,04,01,3.7,15,Good,4.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-04 02:00 AM,2020,12,04,02,3.3,14,Good,3.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-04 03:00 AM,2020,12,04,03,3.6,15,Good,4.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-04 04:00 AM,2020,12,04,04,3.8,16,Good,4.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-04 05:00 AM,2020,12,04,05,2.9,12,Good,2.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-04 06:00 AM,2020,12,04,06,4.4,18,Good,6.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-04 07:00 AM,2020,12,04,07,5.2,22,Good,6.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-04 08:00 AM,2020,12,04,08,7.1,30,Good,9.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-04 09:00 AM,2020,12,04,09,7.0,29,Good,7.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-04 10:00 AM,2020,12,04,10,7.5,31,Good,8.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-04 11:00 AM,2020,12,04,11,6.7,28,Good,6.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-04 12:00 PM,2020,12,04,12,5.8,24,Good,5.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-04 01:00 PM,2020,12,04,13,5.4,23,Good,5.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-04 02:00 PM,2020,12,04,14,5.2,22,Good,5.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2020-12-04 03:00 PM,2020,12,04,15,5.6,23,Good,6.0,UG/M3,1 Hr,Valid
