Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Curacao,O3,2021-01-01 01:00 AM,2021,01,01,01,18.0,17,Good,18.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-01 02:00 AM,2021,01,01,02,20.0,19,Good,23.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-01 03:00 AM,2021,01,01,03,23.0,21,Good,25.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-01 04:00 AM,2021,01,01,04,23.0,21,Good,26.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-01 05:00 AM,2021,01,01,05,23.0,21,Good,26.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-01 06:00 AM,2021,01,01,06,23.0,21,Good,26.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-01 07:00 AM,2021,01,01,07,24.0,22,Good,25.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-01 08:00 AM,2021,01,01,08,25.0,23,Good,25.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-01 09:00 AM,2021,01,01,09,25.0,23,Good,24.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-01 10:00 AM,2021,01,01,10,25.0,23,Good,26.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-01 11:00 AM,2021,01,01,11,25.0,23,Good,27.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-01 12:00 PM,2021,01,01,12,25.0,23,Good,26.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-01 01:00 PM,2021,01,01,13,26.0,24,Good,25.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-01 02:00 PM,2021,01,01,14,26.0,24,Good,25.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-01 03:00 PM,2021,01,01,15,25.0,23,Good,23.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-01 04:00 PM,2021,01,01,16,24.0,22,Good,22.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-01 05:00 PM,2021,01,01,17,22.0,20,Good,22.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-01 06:00 PM,2021,01,01,18,20.0,19,Good,21.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-01 07:00 PM,2021,01,01,19,20.0,19,Good,20.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-01 08:00 PM,2021,01,01,20,21.0,19,Good,22.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-01 09:00 PM,2021,01,01,21,22.0,20,Good,24.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-01 10:00 PM,2021,01,01,22,24.0,22,Good,26.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-01 11:00 PM,2021,01,01,23,24.0,22,Good,28.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-02 12:00 AM,2021,01,02,00,26.0,24,Good,28.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-02 01:00 AM,2021,01,02,01,27.0,25,Good,28.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-02 02:00 AM,2021,01,02,02,28.0,26,Good,29.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-02 03:00 AM,2021,01,02,03,29.0,27,Good,29.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-02 04:00 AM,2021,01,02,04,29.0,27,Good,31.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-02 05:00 AM,2021,01,02,05,29.0,27,Good,32.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-02 06:00 AM,2021,01,02,06,28.0,26,Good,32.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-02 07:00 AM,2021,01,02,07,29.0,27,Good,32.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-02 08:00 AM,2021,01,02,08,31.0,29,Good,31.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-02 09:00 AM,2021,01,02,09,32.0,30,Good,32.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-02 10:00 AM,2021,01,02,10,33.0,31,Good,32.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-02 11:00 AM,2021,01,02,11,31.0,29,Good,31.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-02 12:00 PM,2021,01,02,12,32.0,30,Good,30.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-02 01:00 PM,2021,01,02,13,31.0,29,Good,29.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-02 02:00 PM,2021,01,02,14,31.0,29,Good,28.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-02 03:00 PM,2021,01,02,15,31.0,29,Good,29.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-02 04:00 PM,2021,01,02,16,30.0,28,Good,28.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-02 05:00 PM,2021,01,02,17,29.0,27,Good,28.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-02 06:00 PM,2021,01,02,18,29.0,27,Good,27.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-02 07:00 PM,2021,01,02,19,29.0,27,Good,28.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-02 08:00 PM,2021,01,02,20,29.0,27,Good,27.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-02 09:00 PM,2021,01,02,21,30.0,28,Good,27.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-02 10:00 PM,2021,01,02,22,30.0,28,Good,31.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-02 11:00 PM,2021,01,02,23,31.0,29,Good,33.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-03 12:00 AM,2021,01,03,00,31.0,29,Good,33.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-03 01:00 AM,2021,01,03,01,32.0,30,Good,33.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-03 02:00 AM,2021,01,03,02,33.0,31,Good,33.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-03 03:00 AM,2021,01,03,03,33.0,31,Good,33.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-03 04:00 AM,2021,01,03,04,33.0,31,Good,33.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-03 05:00 AM,2021,01,03,05,33.0,31,Good,34.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-03 06:00 AM,2021,01,03,06,33.0,31,Good,33.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-03 07:00 AM,2021,01,03,07,33.0,31,Good,32.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-03 08:00 AM,2021,01,03,08,32.0,30,Good,29.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-03 09:00 AM,2021,01,03,09,31.0,29,Good,30.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-03 10:00 AM,2021,01,03,10,31.0,29,Good,32.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-03 11:00 AM,2021,01,03,11,31.0,29,Good,31.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-03 12:00 PM,2021,01,03,12,29.0,27,Good,31.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-03 01:00 PM,2021,01,03,13,30.0,28,Good,30.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-03 02:00 PM,2021,01,03,14,29.0,27,Good,30.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-03 03:00 PM,2021,01,03,15,30.0,28,Good,30.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-03 04:00 PM,2021,01,03,16,28.0,26,Good,28.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-03 05:00 PM,2021,01,03,17,29.0,27,Good,29.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-03 06:00 PM,2021,01,03,18,28.0,26,Good,28.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-03 07:00 PM,2021,01,03,19,27.0,25,Good,26.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-03 08:00 PM,2021,01,03,20,26.0,24,Good,24.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-03 09:00 PM,2021,01,03,21,25.0,23,Good,20.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-03 10:00 PM,2021,01,03,22,26.0,24,Good,29.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-03 11:00 PM,2021,01,03,23,27.0,25,Good,33.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-04 12:00 AM,2021,01,04,00,27.0,25,Good,32.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-04 01:00 AM,2021,01,04,01,30.0,28,Good,34.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-04 02:00 AM,2021,01,04,02,32.0,30,Good,34.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-04 03:00 AM,2021,01,04,03,33.0,31,Good,33.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-04 04:00 AM,2021,01,04,04,33.0,31,Good,33.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-04 05:00 AM,2021,01,04,05,32.0,30,Good,32.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-04 06:00 AM,2021,01,04,06,31.0,29,Good,30.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-04 07:00 AM,2021,01,04,07,28.0,26,Good,22.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-04 08:00 AM,2021,01,04,08,22.0,20,Good,10.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-04 09:00 AM,2021,01,04,09,21.0,19,Good,15.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-04 10:00 AM,2021,01,04,10,21.0,19,Good,22.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-04 11:00 AM,2021,01,04,11,20.0,19,Good,22.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-04 12:00 PM,2021,01,04,12,20.0,19,Good,23.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-04 01:00 PM,2021,01,04,13,20.0,19,Good,21.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-04 02:00 PM,2021,01,04,14,22.0,20,Good,20.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-04 03:00 PM,2021,01,04,15,20.0,19,Good,16.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-04 04:00 PM,2021,01,04,16,18.0,17,Good,16.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-04 05:00 PM,2021,01,04,17,13.0,12,Good,8.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-04 06:00 PM,2021,01,04,18,12.0,11,Good,13.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-04 07:00 PM,2021,01,04,19,12.0,11,Good,14.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-04 08:00 PM,2021,01,04,20,14.0,13,Good,15.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-04 09:00 PM,2021,01,04,21,18.0,17,Good,21.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-04 10:00 PM,2021,01,04,22,20.0,19,Good,23.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-04 11:00 PM,2021,01,04,23,20.0,19,Good,22.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-05 12:00 AM,2021,01,05,00,22.0,20,Good,23.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-05 01:00 AM,2021,01,05,01,22.0,20,Good,25.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-05 02:00 AM,2021,01,05,02,22.0,20,Good,25.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-05 03:00 AM,2021,01,05,03,22.0,20,Good,26.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-05 04:00 AM,2021,01,05,04,22.0,20,Good,28.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-05 05:00 AM,2021,01,05,05,21.0,19,Good,26.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-05 06:00 AM,2021,01,05,06,19.0,18,Good,21.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-05 07:00 AM,2021,01,05,07,20.0,19,Good,19.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-05 08:00 AM,2021,01,05,08,17.0,16,Good,8.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-05 09:00 AM,2021,01,05,09,18.0,17,Good,16.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-05 10:00 AM,2021,01,05,10,13.0,12,Good,8.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-05 11:00 AM,2021,01,05,11,17.0,16,Good,23.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-05 12:00 PM,2021,01,05,12,18.0,17,Good,26.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-05 01:00 PM,2021,01,05,13,17.0,16,Good,19.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-05 02:00 PM,2021,01,05,14,16.0,15,Good,18.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-05 03:00 PM,2021,01,05,15,19.0,18,Good,23.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-05 04:00 PM,2021,01,05,16,19.0,18,Good,22.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-05 05:00 PM,2021,01,05,17,17.0,16,Good,13.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-05 06:00 PM,2021,01,05,18,15.0,14,Good,10.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-05 07:00 PM,2021,01,05,19,14.0,13,Good,9.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-05 08:00 PM,2021,01,05,20,13.0,12,Good,6.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-05 09:00 PM,2021,01,05,21,12.0,11,Good,7.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-05 10:00 PM,2021,01,05,22,11.0,10,Good,10.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-05 11:00 PM,2021,01,05,23,12.0,11,Good,17.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-06 12:00 AM,2021,01,06,00,13.0,12,Good,19.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-06 01:00 AM,2021,01,06,01,16.0,15,Good,21.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-06 02:00 AM,2021,01,06,02,16.0,15,Good,20.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-06 03:00 AM,2021,01,06,03,16.0,15,Good,21.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-06 04:00 AM,2021,01,06,04,18.0,17,Good,21.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-06 05:00 AM,2021,01,06,05,18.0,17,Good,19.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-06 06:00 AM,2021,01,06,06,17.0,16,Good,18.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-06 07:00 AM,2021,01,06,07,16.0,15,Good,12.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-06 08:00 AM,2021,01,06,08,14.0,13,Good,6.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-06 09:00 AM,2021,01,06,09,14.0,13,Good,10.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-06 10:00 AM,2021,01,06,10,17.0,16,Good,20.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-06 11:00 AM,2021,01,06,11,17.0,16,Good,24.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-06 12:00 PM,2021,01,06,12,19.0,18,Good,24.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-06 01:00 PM,2021,01,06,13,22.0,20,Good,24.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-06 02:00 PM,2021,01,06,14,23.0,21,Good,24.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-06 03:00 PM,2021,01,06,15,21.0,19,Good,20.0,PPB,1 Hr,Valid
Curacao,O3,2021-01-06 04:00 PM,2021,01,06,16,19.0,18,Good,17.0,PPB,1 Hr,Valid
