Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Curacao,O3,2023-01-01 01:00 AM,2023,01,01,01,21.0,19,Good,20.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-01 02:00 AM,2023,01,01,02,21.0,19,Good,21.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-01 03:00 AM,2023,01,01,03,21.0,19,Good,21.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-01 04:00 AM,2023,01,01,04,21.0,19,Good,20.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-01 05:00 AM,2023,01,01,05,21.0,19,Good,-999.0,PPB,1 Hr,Missing
Curacao,O3,2023-01-01 06:00 AM,2023,01,01,06,20.0,19,Good,21.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-01 07:00 AM,2023,01,01,07,20.0,19,Good,22.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-01 08:00 AM,2023,01,01,08,20.0,19,Good,20.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-01 09:00 AM,2023,01,01,09,21.0,19,Good,22.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-01 10:00 AM,2023,01,01,10,21.0,19,Good,24.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-01 11:00 AM,2023,01,01,11,22.0,20,Good,24.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-01 12:00 PM,2023,01,01,12,23.0,21,Good,24.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-01 01:00 PM,2023,01,01,13,23.0,21,Good,22.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-01 02:00 PM,2023,01,01,14,23.0,21,Good,21.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-01 03:00 PM,2023,01,01,15,22.0,20,Good,20.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-01 04:00 PM,2023,01,01,16,20.0,19,Good,20.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-01 05:00 PM,2023,01,01,17,19.0,18,Good,18.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-01 06:00 PM,2023,01,01,18,18.0,17,Good,17.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-01 07:00 PM,2023,01,01,19,17.0,16,Good,16.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-01 08:00 PM,2023,01,01,20,16.0,15,Good,13.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-01 09:00 PM,2023,01,01,21,15.0,14,Good,12.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-01 10:00 PM,2023,01,01,22,15.0,14,Good,14.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-01 11:00 PM,2023,01,01,23,16.0,15,Good,16.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-02 12:00 AM,2023,01,02,00,15.0,14,Good,14.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-02 01:00 AM,2023,01,02,01,15.0,14,Good,13.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-02 02:00 AM,2023,01,02,02,16.0,15,Good,17.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-02 03:00 AM,2023,01,02,03,17.0,16,Good,18.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-02 04:00 AM,2023,01,02,04,17.0,16,Good,-999.0,PPB,1 Hr,Missing
Curacao,O3,2023-01-02 05:00 AM,2023,01,02,05,18.0,17,Good,18.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-02 06:00 AM,2023,01,02,06,18.0,17,Good,16.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-02 07:00 AM,2023,01,02,07,17.0,16,Good,16.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-02 08:00 AM,2023,01,02,08,16.0,15,Good,11.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-02 09:00 AM,2023,01,02,09,17.0,16,Good,18.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-02 10:00 AM,2023,01,02,10,18.0,17,Good,20.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-02 11:00 AM,2023,01,02,11,19.0,18,Good,20.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-02 12:00 PM,2023,01,02,12,20.0,19,Good,21.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-02 01:00 PM,2023,01,02,13,21.0,19,Good,21.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-02 02:00 PM,2023,01,02,14,21.0,19,Good,20.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-02 03:00 PM,2023,01,02,15,20.0,19,Good,18.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-02 04:00 PM,2023,01,02,16,20.0,19,Good,19.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-02 05:00 PM,2023,01,02,17,18.0,17,Good,15.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-02 06:00 PM,2023,01,02,18,16.0,15,Good,10.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-02 07:00 PM,2023,01,02,19,14.0,13,Good,10.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-02 08:00 PM,2023,01,02,20,14.0,13,Good,13.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-02 09:00 PM,2023,01,02,21,15.0,14,Good,17.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-02 10:00 PM,2023,01,02,22,16.0,15,Good,16.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-02 11:00 PM,2023,01,02,23,17.0,16,Good,16.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-03 12:00 AM,2023,01,03,00,17.0,16,Good,16.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-03 01:00 AM,2023,01,03,01,18.0,17,Good,17.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-03 02:00 AM,2023,01,03,02,17.0,16,Good,16.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-03 03:00 AM,2023,01,03,03,17.0,16,Good,19.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-03 04:00 AM,2023,01,03,04,13.0,12,Good,4.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-03 05:00 AM,2023,01,03,05,15.0,14,Good,16.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-03 06:00 AM,2023,01,03,06,16.0,15,Good,20.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-03 07:00 AM,2023,01,03,07,16.0,15,Good,14.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-03 08:00 AM,2023,01,03,08,15.0,14,Good,8.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-03 09:00 AM,2023,01,03,09,16.0,15,Good,10.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-03 10:00 AM,2023,01,03,10,15.0,14,Good,17.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-03 11:00 AM,2023,01,03,11,15.0,14,Good,18.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-03 12:00 PM,2023,01,03,12,16.0,15,Good,18.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-03 01:00 PM,2023,01,03,13,17.0,16,Good,17.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-03 02:00 PM,2023,01,03,14,18.0,17,Good,16.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-03 03:00 PM,2023,01,03,15,17.0,16,Good,15.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-03 04:00 PM,2023,01,03,16,16.0,15,Good,16.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-03 05:00 PM,2023,01,03,17,15.0,14,Good,15.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-03 06:00 PM,2023,01,03,18,15.0,14,Good,12.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-03 07:00 PM,2023,01,03,19,15.0,14,Good,11.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-03 08:00 PM,2023,01,03,20,13.0,12,Good,9.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-03 09:00 PM,2023,01,03,21,12.0,11,Good,12.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-03 10:00 PM,2023,01,03,22,12.0,11,Good,15.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-03 11:00 PM,2023,01,03,23,13.0,12,Good,15.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-04 12:00 AM,2023,01,04,00,14.0,13,Good,15.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-04 01:00 AM,2023,01,04,01,16.0,15,Good,20.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-04 02:00 AM,2023,01,04,02,19.0,18,Good,23.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-04 03:00 AM,2023,01,04,03,19.0,18,Good,21.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-04 04:00 AM,2023,01,04,04,20.0,19,Good,19.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-04 05:00 AM,2023,01,04,05,20.0,19,Good,-999.0,PPB,1 Hr,Missing
Curacao,O3,2023-01-04 06:00 AM,2023,01,04,06,18.0,17,Good,17.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-04 07:00 AM,2023,01,04,07,17.0,16,Good,15.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-04 08:00 AM,2023,01,04,08,16.0,15,Good,9.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-04 09:00 AM,2023,01,04,09,15.0,14,Good,13.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-04 10:00 AM,2023,01,04,10,16.0,15,Good,17.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-04 11:00 AM,2023,01,04,11,16.0,15,Good,19.0,PPB,1 Hr,Valid
Curacao,O3,2023-01-04 12:00 PM,2023,01,04,12,16.0,15,Good,16.0,PPB,1 Hr,Valid
