Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Curacao,PM2.5 - Principal,2024-07-11 06:00 PM,2024,07,11,18,-999.0,-999,N/A,12.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-11 07:00 PM,2024,07,11,19,12.0,56,Moderate,12.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-11 08:00 PM,2024,07,11,20,10.7,54,Moderate,9.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-11 09:00 PM,2024,07,11,21,9.5,52,Moderate,8.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-11 10:00 PM,2024,07,11,22,7.4,41,Good,6.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-11 11:00 PM,2024,07,11,23,7.2,40,Good,7.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-12 12:00 AM,2024,07,12,00,8.1,45,Good,9.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-12 01:00 AM,2024,07,12,01,7.0,39,Good,6.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-12 02:00 AM,2024,07,12,02,5.5,31,Good,4.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-12 03:00 AM,2024,07,12,03,5.2,29,Good,5.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-12 04:00 AM,2024,07,12,04,5.6,31,Good,6.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-12 05:00 AM,2024,07,12,05,4.8,27,Good,4.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-12 06:00 AM,2024,07,12,06,7.9,44,Good,11.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-12 07:00 AM,2024,07,12,07,8.4,47,Good,9.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-12 08:00 AM,2024,07,12,08,8.4,47,Good,-999.0,UG/M3,1 Hr,Missing
Curacao,PM2.5 - Principal,2024-07-12 10:00 AM,2024,07,12,10,-999.0,-999,N/A,12.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-12 11:00 AM,2024,07,12,11,10.4,53,Moderate,10.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-12 12:00 PM,2024,07,12,12,10.4,53,Moderate,-999.0,UG/M3,1 Hr,Missing
Curacao,PM2.5 - Principal,2024-07-12 01:00 PM,2024,07,12,13,9.4,52,Moderate,9.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-12 02:00 PM,2024,07,12,14,9.7,52,Moderate,10.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-12 03:00 PM,2024,07,12,15,9.7,52,Moderate,-999.0,UG/M3,1 Hr,Missing
Curacao,PM2.5 - Principal,2024-07-12 04:00 PM,2024,07,12,16,8.5,47,Good,8.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-12 06:00 PM,2024,07,12,18,8.4,47,Good,8.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-12 07:00 PM,2024,07,12,19,8.6,48,Good,9.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-12 08:00 PM,2024,07,12,20,9.2,51,Moderate,10.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-12 09:00 PM,2024,07,12,21,8.7,48,Good,8.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-12 10:00 PM,2024,07,12,22,8.8,49,Good,9.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-12 11:00 PM,2024,07,12,23,9.4,52,Moderate,11.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-13 12:00 AM,2024,07,13,00,9.6,52,Moderate,10.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-13 01:00 AM,2024,07,13,01,10.5,54,Moderate,12.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-13 02:00 AM,2024,07,13,02,9.1,51,Moderate,7.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-13 03:00 AM,2024,07,13,03,6.4,36,Good,4.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-13 04:00 AM,2024,07,13,04,6.2,34,Good,6.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-13 05:00 AM,2024,07,13,05,5.6,31,Good,5.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-13 06:00 AM,2024,07,13,06,6.8,38,Good,8.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-13 07:00 AM,2024,07,13,07,6.4,36,Good,6.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-13 08:00 AM,2024,07,13,08,7.7,43,Good,9.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-13 09:00 AM,2024,07,13,09,9.3,51,Moderate,11.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-13 10:00 AM,2024,07,13,10,9.6,52,Moderate,10.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-13 11:00 AM,2024,07,13,11,10.8,54,Moderate,12.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-13 12:00 PM,2024,07,13,12,9.9,52,Moderate,9.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-13 01:00 PM,2024,07,13,13,8.9,49,Good,8.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-13 02:00 PM,2024,07,13,14,7.4,41,Good,6.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-13 03:00 PM,2024,07,13,15,6.7,37,Good,6.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-13 04:00 PM,2024,07,13,16,5.8,32,Good,5.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-13 05:00 PM,2024,07,13,17,6.9,38,Good,8.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-13 06:00 PM,2024,07,13,18,7.4,41,Good,8.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-13 07:00 PM,2024,07,13,19,8.2,46,Good,9.0,UG/M3,1 Hr,Valid
Curacao,PM2.5 - Principal,2024-07-13 08:00 PM,2024,07,13,20,7.6,42,Good,7.0,UG/M3,1 Hr,Valid
