Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Dakar,PM2.5 - Principal,2022-03-29 03:00 PM,2022,03,29,15,-999.0,-999,N/A,-15.0,UG/M3,1 Hr,Invalid
Dakar,PM2.5 - Principal,2022-03-29 04:00 PM,2022,03,29,16,-999.0,-999,N/A,-5.0,UG/M3,1 Hr,Invalid
Dakar,PM2.5 - Principal,2022-03-29 05:00 PM,2022,03,29,17,-999.0,-999,N/A,-4.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-29 06:00 PM,2022,03,29,18,0.0,0,Good,-4.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-29 07:00 PM,2022,03,29,19,0.0,0,Good,-1.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-29 08:00 PM,2022,03,29,20,0.0,0,Good,-1.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-29 09:00 PM,2022,03,29,21,0.0,0,Good,-3.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-29 10:00 PM,2022,03,29,22,0.0,0,Good,-3.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-29 11:00 PM,2022,03,29,23,0.0,0,Good,-1.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-30 12:00 AM,2022,03,30,00,0.0,0,Good,-1.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-30 01:00 AM,2022,03,30,01,0.0,0,Good,-1.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-30 02:00 AM,2022,03,30,02,0.0,0,Good,-1.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-30 03:00 AM,2022,03,30,03,0.0,0,Good,-1.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-30 04:00 AM,2022,03,30,04,0.0,0,Good,-2.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-30 05:00 AM,2022,03,30,05,0.0,0,Good,-4.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-30 06:00 AM,2022,03,30,06,0.0,0,Good,-6.0,UG/M3,1 Hr,Invalid
Dakar,PM2.5 - Principal,2022-03-30 07:00 AM,2022,03,30,07,0.0,0,Good,-4.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-30 08:00 AM,2022,03,30,08,0.0,0,Good,-1.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-30 09:00 AM,2022,03,30,09,0.0,0,Good,-2.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-30 10:00 AM,2022,03,30,10,0.0,0,Good,-2.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-30 11:00 AM,2022,03,30,11,0.0,0,Good,-3.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-30 12:00 PM,2022,03,30,12,0.0,0,Good,-4.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-30 01:00 PM,2022,03,30,13,0.8,3,Good,5.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-30 02:00 PM,2022,03,30,14,0.9,4,Good,1.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-30 03:00 PM,2022,03,30,15,0.0,0,Good,-3.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-30 04:00 PM,2022,03,30,16,0.0,0,Good,-1.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-30 05:00 PM,2022,03,30,17,0.0,0,Good,-2.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-30 06:00 PM,2022,03,30,18,0.0,0,Good,-3.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-30 07:00 PM,2022,03,30,19,0.0,0,Good,-2.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-30 08:00 PM,2022,03,30,20,0.0,0,Good,-1.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-30 09:00 PM,2022,03,30,21,0.0,0,Good,-1.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-30 10:00 PM,2022,03,30,22,0.0,0,Good,-2.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-30 11:00 PM,2022,03,30,23,0.0,0,Good,-4.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-31 12:00 AM,2022,03,31,00,0.0,0,Good,-4.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-31 01:00 AM,2022,03,31,01,0.0,0,Good,-3.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-31 02:00 AM,2022,03,31,02,0.0,0,Good,-1.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-31 03:00 AM,2022,03,31,03,0.0,0,Good,-2.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-31 04:00 AM,2022,03,31,04,0.0,0,Good,-3.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-31 05:00 AM,2022,03,31,05,0.0,0,Good,-2.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-31 06:00 AM,2022,03,31,06,0.0,0,Good,-3.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-31 07:00 AM,2022,03,31,07,0.0,0,Good,-4.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-31 08:00 AM,2022,03,31,08,0.0,0,Good,-4.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-31 09:00 AM,2022,03,31,09,0.0,0,Good,-4.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-31 10:00 AM,2022,03,31,10,0.0,0,Good,-1.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-31 11:00 AM,2022,03,31,11,0.0,0,Good,1.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-31 12:00 PM,2022,03,31,12,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-31 01:00 PM,2022,03,31,13,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-31 02:00 PM,2022,03,31,14,0.0,0,Good,-3.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-31 03:00 PM,2022,03,31,15,0.0,0,Good,-1.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-31 04:00 PM,2022,03,31,16,0.0,0,Good,-4.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-31 05:00 PM,2022,03,31,17,0.0,0,Good,-5.0,UG/M3,1 Hr,Invalid
Dakar,PM2.5 - Principal,2022-03-31 06:00 PM,2022,03,31,18,0.0,0,Good,-3.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-31 07:00 PM,2022,03,31,19,0.0,0,Good,-4.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-31 08:00 PM,2022,03,31,20,0.0,0,Good,-3.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-31 09:00 PM,2022,03,31,21,0.0,0,Good,-1.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-31 10:00 PM,2022,03,31,22,0.0,0,Good,1.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-03-31 11:00 PM,2022,03,31,23,0.0,0,Good,0.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-01 12:00 AM,2022,04,01,00,0.0,0,Good,-2.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-01 01:00 AM,2022,04,01,01,0.0,0,Good,-4.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-01 02:00 AM,2022,04,01,02,0.0,0,Good,-4.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-01 03:00 AM,2022,04,01,03,0.0,0,Good,-5.0,UG/M3,1 Hr,Invalid
Dakar,PM2.5 - Principal,2022-04-01 04:00 AM,2022,04,01,04,-999.0,-999,N/A,-5.0,UG/M3,1 Hr,Invalid
Dakar,PM2.5 - Principal,2022-04-01 05:00 AM,2022,04,01,05,-999.0,-999,N/A,-3.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-01 06:00 AM,2022,04,01,06,0.0,0,Good,-2.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-01 07:00 AM,2022,04,01,07,0.0,0,Good,-2.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-01 08:00 AM,2022,04,01,08,0.0,0,Good,-2.0,UG/M3,1 Hr,Invalid
Dakar,PM2.5 - Principal,2022-04-01 09:00 AM,2022,04,01,09,-999.0,-999,N/A,-3.0,UG/M3,1 Hr,Invalid
Dakar,PM2.5 - Principal,2022-04-01 10:00 AM,2022,04,01,10,-999.0,-999,N/A,-3.0,UG/M3,1 Hr,Invalid
Dakar,PM2.5 - Principal,2022-04-01 11:00 AM,2022,04,01,11,-999.0,-999,N/A,67.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-01 12:00 PM,2022,04,01,12,60.6,154,Unhealthy,61.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-01 01:00 PM,2022,04,01,13,60.8,154,Unhealthy,61.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-01 02:00 PM,2022,04,01,14,57.7,152,Unhealthy,55.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-01 03:00 PM,2022,04,01,15,52.7,143,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-01 04:00 PM,2022,04,01,16,52.3,142,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-01 05:00 PM,2022,04,01,17,50.6,138,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-01 06:00 PM,2022,04,01,18,49.3,135,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-01 07:00 PM,2022,04,01,19,50.5,138,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-01 08:00 PM,2022,04,01,20,49.8,136,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-01 09:00 PM,2022,04,01,21,47.4,130,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-01 10:00 PM,2022,04,01,22,45.7,126,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-01 11:00 PM,2022,04,01,23,43.2,120,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-02 12:00 AM,2022,04,02,00,41.1,115,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-02 01:00 AM,2022,04,02,01,36.3,103,Unhealthy for Sensitive Groups,31.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-02 02:00 AM,2022,04,02,02,34.8,99,Moderate,32.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-02 03:00 AM,2022,04,02,03,30.5,90,Moderate,27.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-02 04:00 AM,2022,04,02,04,29.1,87,Moderate,27.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-02 05:00 AM,2022,04,02,05,28.6,86,Moderate,28.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-02 06:00 AM,2022,04,02,06,27.9,84,Moderate,27.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-02 07:00 AM,2022,04,02,07,27.9,84,Moderate,28.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-02 08:00 AM,2022,04,02,08,28.0,84,Moderate,28.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-02 09:00 AM,2022,04,02,09,30.6,90,Moderate,35.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-02 10:00 AM,2022,04,02,10,35.8,102,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-02 11:00 AM,2022,04,02,11,42.3,118,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-02 12:00 PM,2022,04,02,12,48.6,133,Unhealthy for Sensitive Groups,54.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-02 01:00 PM,2022,04,02,13,53.3,145,Unhealthy for Sensitive Groups,58.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-02 02:00 PM,2022,04,02,14,56.1,151,Unhealthy,59.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-02 03:00 PM,2022,04,02,15,53.5,145,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-02 04:00 PM,2022,04,02,16,48.7,134,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2022-04-02 05:00 PM,2022,04,02,17,41.8,117,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
