Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Dakar,PM2.5 - Principal,2024-04-01 01:00 AM,2024,04,01,01,6.7,28,Good,8.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2024-04-01 02:00 AM,2024,04,01,02,5.3,22,Good,4.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2024-04-01 03:00 AM,2024,04,01,03,4.6,19,Good,4.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2024-04-01 04:00 AM,2024,04,01,04,4.3,18,Good,4.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2024-04-01 05:00 AM,2024,04,01,05,5.1,21,Good,6.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2024-04-01 06:00 AM,2024,04,01,06,6.0,25,Good,7.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2024-04-01 07:00 AM,2024,04,01,07,6.0,25,Good,6.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2024-04-01 08:00 AM,2024,04,01,08,7.0,29,Good,8.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2024-04-01 09:00 AM,2024,04,01,09,7.5,31,Good,8.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2024-04-01 10:00 AM,2024,04,01,10,8.7,36,Good,10.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2024-04-01 11:00 AM,2024,04,01,11,10.3,43,Good,12.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2024-04-01 12:00 PM,2024,04,01,12,10.1,42,Good,10.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2024-04-01 01:00 PM,2024,04,01,13,8.0,33,Good,6.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2024-04-01 02:00 PM,2024,04,01,14,7.5,31,Good,7.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2024-04-01 03:00 PM,2024,04,01,15,8.2,34,Good,9.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2024-04-01 04:00 PM,2024,04,01,16,8.6,36,Good,9.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2024-04-01 05:00 PM,2024,04,01,17,8.3,35,Good,8.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2024-04-01 06:00 PM,2024,04,01,18,8.6,36,Good,9.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2024-04-01 07:00 PM,2024,04,01,19,9.3,39,Good,10.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2024-04-01 08:00 PM,2024,04,01,20,8.6,36,Good,8.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2024-04-01 09:00 PM,2024,04,01,21,9.8,41,Good,11.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2024-04-01 10:00 PM,2024,04,01,22,10.4,43,Good,11.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2024-04-01 11:00 PM,2024,04,01,23,9.7,40,Good,9.0,UG/M3,1 Hr,Valid
Dakar,PM2.5 - Principal,2024-04-02 12:00 AM,2024,04,02,00,8.0,33,Good,6.0,UG/M3,1 Hr,Valid
