Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Dhahran,PM2.5 - Principal,2020-10-01 01:00 AM,2020,10,01,01,39.7,111,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Dhahran,PM2.5 - Principal,2020-10-01 02:00 AM,2020,10,01,02,38.2,108,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Dhahran,PM2.5 - Principal,2020-10-01 03:00 AM,2020,10,01,03,36.0,102,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
Dhahran,PM2.5 - Principal,2020-10-01 04:00 AM,2020,10,01,04,34.8,99,Moderate,33.0,UG/M3,1 Hr,Valid
Dhahran,PM2.5 - Principal,2020-10-01 05:00 AM,2020,10,01,05,36.9,104,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Dhahran,PM2.5 - Principal,2020-10-01 06:00 AM,2020,10,01,06,37.3,105,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Dhahran,PM2.5 - Principal,2020-10-01 07:00 AM,2020,10,01,07,42.9,119,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Dhahran,PM2.5 - Principal,2020-10-01 08:00 AM,2020,10,01,08,44.5,123,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Dhahran,PM2.5 - Principal,2020-10-01 09:00 AM,2020,10,01,09,44.6,123,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Dhahran,PM2.5 - Principal,2020-10-01 10:00 AM,2020,10,01,10,45.9,127,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Dhahran,PM2.5 - Principal,2020-10-01 11:00 AM,2020,10,01,11,45.5,126,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Dhahran,PM2.5 - Principal,2020-10-01 12:00 PM,2020,10,01,12,41.2,115,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Dhahran,PM2.5 - Principal,2020-10-01 01:00 PM,2020,10,01,13,34.8,99,Moderate,28.0,UG/M3,1 Hr,Valid
Dhahran,PM2.5 - Principal,2020-10-01 02:00 PM,2020,10,01,14,37.6,106,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
