Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Dhahran,PM2.5 - Principal,2021-01-01 01:00 AM,2021,01,01,01,24.3,77,Moderate,22.0,UG/M3,1 Hr,Valid
Dhahran,PM2.5 - Principal,2021-01-01 02:00 AM,2021,01,01,02,25.1,78,Moderate,26.0,UG/M3,1 Hr,Valid
Dhahran,PM2.5 - Principal,2021-01-01 03:00 AM,2021,01,01,03,25.0,78,Moderate,25.0,UG/M3,1 Hr,Valid
Dhahran,PM2.5 - Principal,2021-01-01 04:00 AM,2021,01,01,04,25.0,78,Moderate,25.0,UG/M3,1 Hr,Valid
Dhahran,PM2.5 - Principal,2021-01-01 05:00 AM,2021,01,01,05,26.5,81,Moderate,28.0,UG/M3,1 Hr,Valid
Dhahran,PM2.5 - Principal,2021-01-01 06:00 AM,2021,01,01,06,29.2,87,Moderate,32.0,UG/M3,1 Hr,Valid
Dhahran,PM2.5 - Principal,2021-01-01 07:00 AM,2021,01,01,07,31.3,91,Moderate,34.0,UG/M3,1 Hr,Valid
Dhahran,PM2.5 - Principal,2021-01-01 08:00 AM,2021,01,01,08,30.3,89,Moderate,30.0,UG/M3,1 Hr,Valid
Dhahran,PM2.5 - Principal,2021-01-01 09:00 AM,2021,01,01,09,30.4,89,Moderate,31.0,UG/M3,1 Hr,Valid
Dhahran,PM2.5 - Principal,2021-01-01 10:00 AM,2021,01,01,10,30.6,90,Moderate,31.0,UG/M3,1 Hr,Valid
Dhahran,PM2.5 - Principal,2021-01-01 11:00 AM,2021,01,01,11,29.7,88,Moderate,28.0,UG/M3,1 Hr,Valid
Dhahran,PM2.5 - Principal,2021-01-01 12:00 PM,2021,01,01,12,29.4,87,Moderate,29.0,UG/M3,1 Hr,Valid
Dhahran,PM2.5 - Principal,2021-01-01 01:00 PM,2021,01,01,13,29.9,88,Moderate,31.0,UG/M3,1 Hr,Valid
Dhahran,PM2.5 - Principal,2021-01-01 02:00 PM,2021,01,01,14,30.5,90,Moderate,32.0,UG/M3,1 Hr,Valid
Dhahran,PM2.5 - Principal,2021-01-01 03:00 PM,2021,01,01,15,30.9,91,Moderate,32.0,UG/M3,1 Hr,Valid
