Site,Parameter,Date (LT),Year,Month,Day,Hour,AQI,AQI Category,24-hr. Midpoint Avg. Conc.,Raw Conc.,Conc. Unit,Duration,QC Name
Dhaka,PM2.5 - Principal,2016-06-01 07:00 AM,2016,06,01,07,144,Unhealthy for Sensitive Groups,53.1,84.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-06-01 08:00 AM,2016,06,01,08,144,Unhealthy for Sensitive Groups,53.0,59.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-06-01 09:00 AM,2016,06,01,09,147,Unhealthy for Sensitive Groups,54.0,66.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-06-01 10:00 AM,2016,06,01,10,152,Unhealthy,56.6,51.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-06-01 11:00 AM,2016,06,01,11,153,Unhealthy,58.5,46.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-06-01 12:00 PM,2016,06,01,12,155,Unhealthy,62.6,45.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-06-01 01:00 PM,2016,06,01,13,157,Unhealthy,66.6,51.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-06-01 02:00 PM,2016,06,01,14,157,Unhealthy,68.0,53.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-06-01 03:00 PM,2016,06,01,15,158,Unhealthy,69.1,54.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-06-01 04:00 PM,2016,06,01,16,160,Unhealthy,72.4,32.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-06-01 05:00 PM,2016,06,01,17,161,Unhealthy,75.4,47.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-06-01 06:00 PM,2016,06,01,18,162,Unhealthy,77.0,41.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-06-01 07:00 PM,2016,06,01,19,164,Unhealthy,80.8,53.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-06-01 08:00 PM,2016,06,01,20,165,Unhealthy,82.8,77.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-06-01 09:00 PM,2016,06,01,21,168,Unhealthy,87.6,132.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-06-01 10:00 PM,2016,06,01,22,169,Unhealthy,89.5,109.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-06-01 11:00 PM,2016,06,01,23,169,Unhealthy,90.4,161.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-06-02 12:00 AM,2016,06,02,00,170,Unhealthy,91.4,149.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-06-02 01:00 AM,2016,06,02,01,170,Unhealthy,91.6,72.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-06-02 02:00 AM,2016,06,02,02,170,Unhealthy,91.5,67.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-06-02 03:00 AM,2016,06,02,03,169,Unhealthy,90.6,113.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-06-02 04:00 AM,2016,06,02,04,169,Unhealthy,90.0,119.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-06-02 05:00 AM,2016,06,02,05,169,Unhealthy,90.1,112.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-06-02 06:00 AM,2016,06,02,06,169,Unhealthy,89.8,148.0,UG/M3,1 Hr,Valid
