Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Dhaka,PM2.5 - Principal,2019-07-01 01:00 AM,2019,07,01,01,78.5,163,Unhealthy,88.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-07-01 02:00 AM,2019,07,01,02,66.2,157,Unhealthy,54.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-07-01 03:00 AM,2019,07,01,03,50.1,137,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-07-01 04:00 AM,2019,07,01,04,41.0,115,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-07-01 05:00 AM,2019,07,01,05,42.0,117,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-07-01 06:00 AM,2019,07,01,06,29.5,88,Moderate,17.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-07-01 07:00 AM,2019,07,01,07,21.2,70,Moderate,13.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-07-01 08:00 AM,2019,07,01,08,17.1,62,Moderate,13.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-07-01 09:00 AM,2019,07,01,09,13.0,53,Moderate,9.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-07-01 10:00 AM,2019,07,01,10,10.0,42,Good,7.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-07-01 11:00 AM,2019,07,01,11,7.0,29,Good,4.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-07-01 12:00 PM,2019,07,01,12,8.4,35,Good,10.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-07-01 01:00 PM,2019,07,01,13,7.7,32,Good,7.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-07-01 02:00 PM,2019,07,01,14,6.3,26,Good,5.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-07-01 03:00 PM,2019,07,01,15,11.6,48,Good,17.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-07-01 04:00 PM,2019,07,01,16,23.3,75,Moderate,35.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-07-01 05:00 PM,2019,07,01,17,21.1,70,Moderate,19.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-07-01 06:00 PM,2019,07,01,18,14.5,56,Moderate,8.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-07-01 07:00 PM,2019,07,01,19,16.2,60,Moderate,18.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-07-01 08:00 PM,2019,07,01,20,14.6,56,Moderate,13.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-07-01 09:00 PM,2019,07,01,21,16.8,61,Moderate,19.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-07-01 10:00 PM,2019,07,01,22,18.4,64,Moderate,20.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-07-01 11:00 PM,2019,07,01,23,15.2,58,Moderate,12.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-07-02 12:00 AM,2019,07,02,00,21.6,71,Moderate,28.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-07-02 01:00 AM,2019,07,02,01,18.3,64,Moderate,15.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-07-02 02:00 AM,2019,07,02,02,21.1,70,Moderate,24.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-07-02 03:00 AM,2019,07,02,03,17.5,62,Moderate,14.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-07-02 04:00 AM,2019,07,02,04,12.7,52,Moderate,8.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-07-02 05:00 AM,2019,07,02,05,8.3,35,Good,4.0,UG/M3,1 Hr,Valid
