Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Dhaka,O3,2024-09-01 12:00 AM,2024,09,01,00,12.0,11,Good,11.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-01 01:00 AM,2024,09,01,01,8.0,7,Good,-1.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-01 02:00 AM,2024,09,01,02,14.0,13,Good,20.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-01 03:00 AM,2024,09,01,03,14.0,13,Good,10.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-01 04:00 AM,2024,09,01,04,9.0,8,Good,5.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-01 05:00 AM,2024,09,01,05,13.0,12,Good,15.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-01 06:00 AM,2024,09,01,06,11.0,10,Good,14.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-01 07:00 AM,2024,09,01,07,19.0,18,Good,30.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-01 08:00 AM,2024,09,01,08,19.0,18,Good,18.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-01 09:00 AM,2024,09,01,09,19.0,18,Good,-8.0,PPB,1 Hr,Invalid
Dhaka,O3,2024-09-01 10:00 AM,2024,09,01,10,12.0,11,Good,1.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-01 11:00 AM,2024,09,01,11,16.0,15,Good,16.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-01 12:00 PM,2024,09,01,12,20.0,19,Good,28.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-01 01:00 PM,2024,09,01,13,26.0,24,Good,34.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-01 02:00 PM,2024,09,01,14,30.0,28,Good,39.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-01 03:00 PM,2024,09,01,15,34.0,31,Good,41.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-01 04:00 PM,2024,09,01,16,40.0,37,Good,43.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-01 05:00 PM,2024,09,01,17,37.0,34,Good,54.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-01 06:00 PM,2024,09,01,18,43.0,40,Good,57.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-01 07:00 PM,2024,09,01,19,39.0,36,Good,40.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-01 08:00 PM,2024,09,01,20,36.0,33,Good,33.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-01 09:00 PM,2024,09,01,21,30.0,28,Good,27.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-01 10:00 PM,2024,09,01,22,25.0,23,Good,23.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-01 11:00 PM,2024,09,01,23,21.0,19,Good,19.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-02 12:00 AM,2024,09,02,00,20.0,19,Good,30.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-02 01:00 AM,2024,09,02,01,16.0,15,Good,19.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-02 02:00 AM,2024,09,02,02,17.0,16,Good,28.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-02 03:00 AM,2024,09,02,03,17.0,16,Good,-999.0,PPB,1 Hr,Missing
Dhaka,O3,2024-09-02 04:00 AM,2024,09,02,04,17.0,16,Good,141.0,PPB,1 Hr,Invalid
Dhaka,O3,2024-09-02 05:00 AM,2024,09,02,05,-999.0,-999,N/A,64.0,PPB,1 Hr,Invalid
Dhaka,O3,2024-09-02 06:00 AM,2024,09,02,06,35.0,32,Good,33.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-02 07:00 AM,2024,09,02,07,32.0,30,Good,29.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-02 08:00 AM,2024,09,02,08,33.0,31,Good,38.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-02 09:00 AM,2024,09,02,09,27.0,25,Good,16.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-02 10:00 AM,2024,09,02,10,26.0,24,Good,21.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-02 11:00 AM,2024,09,02,11,22.0,20,Good,13.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-02 12:00 PM,2024,09,02,12,22.0,20,Good,-20.0,PPB,1 Hr,Invalid
Dhaka,O3,2024-09-02 01:00 PM,2024,09,02,13,33.0,31,Good,49.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-02 02:00 PM,2024,09,02,14,38.0,35,Good,33.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-02 03:00 PM,2024,09,02,15,38.0,35,Good,-9.0,PPB,1 Hr,Invalid
Dhaka,O3,2024-09-02 04:00 PM,2024,09,02,16,32.0,30,Good,19.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-02 05:00 PM,2024,09,02,17,29.0,27,Good,31.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-02 06:00 PM,2024,09,02,18,28.0,26,Good,46.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-02 07:00 PM,2024,09,02,19,28.0,26,Good,34.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-02 08:00 PM,2024,09,02,20,24.0,22,Good,22.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-02 09:00 PM,2024,09,02,21,22.0,20,Good,3.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-02 10:00 PM,2024,09,02,22,18.0,17,Good,5.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-02 11:00 PM,2024,09,02,23,17.0,16,Good,21.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-03 12:00 AM,2024,09,03,00,11.0,10,Good,16.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-03 01:00 AM,2024,09,03,01,4.0,4,Good,0.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-03 02:00 AM,2024,09,03,02,1.0,1,Good,-4.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-03 03:00 AM,2024,09,03,03,1.0,1,Good,7.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-03 04:00 AM,2024,09,03,04,0.0,0,Good,-3.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-03 05:00 AM,2024,09,03,05,3.0,3,Good,14.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-03 06:00 AM,2024,09,03,06,3.0,3,Good,-5.0,PPB,1 Hr,Invalid
Dhaka,O3,2024-09-03 07:00 AM,2024,09,03,07,16.0,15,Good,11.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-03 08:00 AM,2024,09,03,08,12.0,11,Good,12.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-03 09:00 AM,2024,09,03,09,16.0,15,Good,13.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-03 10:00 AM,2024,09,03,10,19.0,18,Good,23.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-03 11:00 AM,2024,09,03,11,20.0,19,Good,16.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-03 12:00 PM,2024,09,03,12,21.0,19,Good,19.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-03 01:00 PM,2024,09,03,13,20.0,19,Good,22.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-03 02:00 PM,2024,09,03,14,24.0,22,Good,36.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-03 03:00 PM,2024,09,03,15,24.0,22,Good,37.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-03 04:00 PM,2024,09,03,16,36.0,33,Good,54.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-03 05:00 PM,2024,09,03,17,41.0,38,Good,49.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-03 06:00 PM,2024,09,03,18,42.0,39,Good,43.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-03 07:00 PM,2024,09,03,19,37.0,34,Good,34.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-03 08:00 PM,2024,09,03,20,37.0,34,Good,33.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-03 09:00 PM,2024,09,03,21,34.0,31,Good,30.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-03 10:00 PM,2024,09,03,22,34.0,31,Good,42.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-03 11:00 PM,2024,09,03,23,26.0,24,Good,19.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-04 12:00 AM,2024,09,04,00,21.0,19,Good,15.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-04 01:00 AM,2024,09,04,01,19.0,18,Good,16.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-04 02:00 AM,2024,09,04,02,16.0,15,Good,19.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-04 03:00 AM,2024,09,04,03,18.0,17,Good,28.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-04 04:00 AM,2024,09,04,04,19.0,18,Good,20.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-04 05:00 AM,2024,09,04,05,25.0,23,Good,22.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-04 06:00 AM,2024,09,04,06,25.0,23,Good,18.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-04 07:00 AM,2024,09,04,07,25.0,23,Good,16.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-04 08:00 AM,2024,09,04,08,24.0,22,Good,14.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-04 09:00 AM,2024,09,04,09,24.0,22,Good,-28.0,PPB,1 Hr,Invalid
Dhaka,O3,2024-09-04 10:00 AM,2024,09,04,10,24.0,22,Good,-24.0,PPB,1 Hr,Invalid
Dhaka,O3,2024-09-04 11:00 AM,2024,09,04,11,12.0,11,Good,2.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-04 12:00 PM,2024,09,04,12,17.0,16,Good,18.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-04 01:00 PM,2024,09,04,13,21.0,19,Good,20.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-04 02:00 PM,2024,09,04,14,23.0,21,Good,22.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-04 03:00 PM,2024,09,04,15,23.0,21,Good,22.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-04 04:00 PM,2024,09,04,16,23.0,21,Good,23.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-04 05:00 PM,2024,09,04,17,28.0,26,Good,43.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-04 06:00 PM,2024,09,04,18,34.0,31,Good,56.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-04 07:00 PM,2024,09,04,19,33.0,31,Good,35.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-04 08:00 PM,2024,09,04,20,33.0,31,Good,33.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-04 09:00 PM,2024,09,04,21,32.0,30,Good,27.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-04 10:00 PM,2024,09,04,22,32.0,30,Good,-11.0,PPB,1 Hr,Invalid
Dhaka,O3,2024-09-04 11:00 PM,2024,09,04,23,24.0,22,Good,30.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-05 12:00 AM,2024,09,05,00,28.0,26,Good,37.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-05 01:00 AM,2024,09,05,01,23.0,21,Good,13.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-05 02:00 AM,2024,09,05,02,25.0,23,Good,19.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-05 03:00 AM,2024,09,05,03,23.0,21,Good,25.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-05 04:00 AM,2024,09,05,04,20.0,19,Good,24.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-05 05:00 AM,2024,09,05,05,19.0,18,Good,27.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-05 06:00 AM,2024,09,05,06,20.0,19,Good,18.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-05 07:00 AM,2024,09,05,07,23.0,21,Good,30.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-05 08:00 AM,2024,09,05,08,21.0,19,Good,26.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-05 09:00 AM,2024,09,05,09,19.0,18,Good,22.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-05 10:00 AM,2024,09,05,10,19.0,18,Good,-25.0,PPB,1 Hr,Invalid
Dhaka,O3,2024-09-05 11:00 AM,2024,09,05,11,27.0,25,Good,33.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-05 12:00 PM,2024,09,05,12,21.0,19,Good,4.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-05 01:00 PM,2024,09,05,13,25.0,23,Good,33.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-05 02:00 PM,2024,09,05,14,23.0,21,Good,22.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-05 03:00 PM,2024,09,05,15,31.0,29,Good,45.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-05 04:00 PM,2024,09,05,16,33.0,31,Good,39.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-05 05:00 PM,2024,09,05,17,39.0,36,Good,38.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-05 06:00 PM,2024,09,05,18,34.0,31,Good,29.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-05 07:00 PM,2024,09,05,19,33.0,31,Good,26.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-05 08:00 PM,2024,09,05,20,28.0,26,Good,31.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-05 09:00 PM,2024,09,05,21,27.0,25,Good,43.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-05 10:00 PM,2024,09,05,22,26.0,24,Good,29.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-05 11:00 PM,2024,09,05,23,27.0,25,Good,30.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-06 12:00 AM,2024,09,06,00,28.0,26,Good,34.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-06 01:00 AM,2024,09,06,01,25.0,23,Good,21.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-06 02:00 AM,2024,09,06,02,21.0,19,Good,22.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-06 03:00 AM,2024,09,06,03,26.0,24,Good,26.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-06 04:00 AM,2024,09,06,04,24.0,22,Good,27.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-06 05:00 AM,2024,09,06,05,24.0,22,Good,17.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-06 06:00 AM,2024,09,06,06,22.0,20,Good,24.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-06 07:00 AM,2024,09,06,07,22.0,20,Good,16.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-06 08:00 AM,2024,09,06,08,22.0,20,Good,-9.0,PPB,1 Hr,Invalid
Dhaka,O3,2024-09-06 09:00 AM,2024,09,06,09,22.0,20,Good,-11.0,PPB,1 Hr,Invalid
Dhaka,O3,2024-09-06 10:00 AM,2024,09,06,10,-999.0,-999,N/A,-9.0,PPB,1 Hr,Invalid
Dhaka,O3,2024-09-06 11:00 AM,2024,09,06,11,11.0,10,Good,5.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-06 12:00 PM,2024,09,06,12,16.0,15,Good,18.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-06 01:00 PM,2024,09,06,13,21.0,19,Good,28.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-06 02:00 PM,2024,09,06,14,26.0,24,Good,32.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-06 03:00 PM,2024,09,06,15,30.0,28,Good,36.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-06 04:00 PM,2024,09,06,16,31.0,29,Good,31.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-06 05:00 PM,2024,09,06,17,30.0,28,Good,22.0,PPB,1 Hr,Valid
Dhaka,O3,2024-09-06 06:00 PM,2024,09,06,18,28.0,26,Good,20.0,PPB,1 Hr,Valid
