Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Doha,PM2.5 - Principal,2023-09-01 01:00 AM,2023,09,01,01,28.7,86,Moderate,40.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2023-09-01 02:00 AM,2023,09,01,02,31.8,92,Moderate,35.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2023-09-01 03:00 AM,2023,09,01,03,31.4,92,Moderate,31.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2023-09-01 04:00 AM,2023,09,01,04,34.7,99,Moderate,38.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2023-09-01 05:00 AM,2023,09,01,05,34.8,99,Moderate,35.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2023-09-01 06:00 AM,2023,09,01,06,29.9,88,Moderate,25.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2023-09-01 07:00 AM,2023,09,01,07,29.9,88,Moderate,-999.0,UG/M3,1 Hr,Missing
Doha,PM2.5 - Principal,2023-09-05 10:00 AM,2023,09,05,10,-999.0,-999,N/A,59.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2023-09-05 11:00 AM,2023,09,05,11,61.6,154,Unhealthy,64.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2023-09-05 12:00 PM,2023,09,05,12,62.8,155,Unhealthy,65.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2023-09-05 01:00 PM,2023,09,05,13,64.8,156,Unhealthy,69.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2023-09-05 02:00 PM,2023,09,05,14,40.4,113,Unhealthy for Sensitive Groups,16.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2023-09-05 03:00 PM,2023,09,05,15,53.4,145,Unhealthy for Sensitive Groups,66.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2023-09-05 04:00 PM,2023,09,05,16,60.7,154,Unhealthy,68.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2023-09-05 05:00 PM,2023,09,05,17,60.7,154,Unhealthy,-999.0,UG/M3,1 Hr,Missing
Doha,PM2.5 - Principal,2023-09-05 07:00 PM,2023,09,05,19,-999.0,-999,N/A,65.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2023-09-05 08:00 PM,2023,09,05,20,67.1,157,Unhealthy,69.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2023-09-05 09:00 PM,2023,09,05,21,64.8,156,Unhealthy,63.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2023-09-05 10:00 PM,2023,09,05,22,69.1,158,Unhealthy,73.0,UG/M3,1 Hr,Valid
