Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Doha,O3,2024-07-01 01:00 AM,2024,07,01,01,28.0,26,Good,13.0,PPB,1 Hr,Valid
Doha,O3,2024-07-01 02:00 AM,2024,07,01,02,29.0,27,Good,33.0,PPB,1 Hr,Valid
Doha,O3,2024-07-01 03:00 AM,2024,07,01,03,34.0,31,Good,40.0,PPB,1 Hr,Valid
Doha,O3,2024-07-01 04:00 AM,2024,07,01,04,35.0,32,Good,49.0,PPB,1 Hr,Valid
Doha,O3,2024-07-01 05:00 AM,2024,07,01,05,40.0,37,Good,47.0,PPB,1 Hr,Valid
Doha,O3,2024-07-01 06:00 AM,2024,07,01,06,40.0,37,Good,-999.0,PPB,1 Hr,Missing
Doha,O3,2024-07-01 07:00 AM,2024,07,01,07,50.0,46,Good,40.0,PPB,1 Hr,Valid
Doha,O3,2024-07-01 08:00 AM,2024,07,01,08,58.0,61,Moderate,43.0,PPB,1 Hr,Valid
Doha,O3,2024-07-01 09:00 AM,2024,07,01,09,52.0,48,Good,49.0,PPB,1 Hr,Valid
Doha,O3,2024-07-01 10:00 AM,2024,07,01,10,59.0,64,Moderate,60.0,PPB,1 Hr,Valid
Doha,O3,2024-07-01 11:00 AM,2024,07,01,11,58.0,61,Moderate,70.0,PPB,1 Hr,Valid
Doha,O3,2024-07-01 12:00 PM,2024,07,01,12,65.0,84,Moderate,75.0,PPB,1 Hr,Valid
Doha,O3,2024-07-01 01:00 PM,2024,07,01,13,70.0,100,Moderate,73.0,PPB,1 Hr,Valid
Doha,O3,2024-07-01 02:00 PM,2024,07,01,14,70.0,100,Moderate,70.0,PPB,1 Hr,Valid
Doha,O3,2024-07-01 03:00 PM,2024,07,01,15,64.0,80,Moderate,69.0,PPB,1 Hr,Valid
Doha,O3,2024-07-01 04:00 PM,2024,07,01,16,66.0,87,Moderate,68.0,PPB,1 Hr,Valid
Doha,O3,2024-07-01 05:00 PM,2024,07,01,17,69.0,97,Moderate,63.0,PPB,1 Hr,Valid
Doha,O3,2024-07-01 06:00 PM,2024,07,01,18,68.0,93,Moderate,61.0,PPB,1 Hr,Valid
Doha,O3,2024-07-01 07:00 PM,2024,07,01,19,65.0,84,Moderate,63.0,PPB,1 Hr,Valid
Doha,O3,2024-07-01 08:00 PM,2024,07,01,20,49.0,45,Good,52.0,PPB,1 Hr,Valid
Doha,O3,2024-07-01 09:00 PM,2024,07,01,21,50.0,46,Good,49.0,PPB,1 Hr,Valid
Doha,O3,2024-07-01 10:00 PM,2024,07,01,22,41.0,38,Good,27.0,PPB,1 Hr,Valid
Doha,O3,2024-07-01 11:00 PM,2024,07,01,23,31.0,29,Good,17.0,PPB,1 Hr,Valid
Doha,O3,2024-07-02 12:00 AM,2024,07,02,00,21.0,19,Good,12.0,PPB,1 Hr,Valid
Doha,O3,2024-07-02 01:00 AM,2024,07,02,01,24.0,22,Good,25.0,PPB,1 Hr,Valid
Doha,O3,2024-07-02 02:00 AM,2024,07,02,02,24.0,22,Good,31.0,PPB,1 Hr,Valid
Doha,O3,2024-07-02 03:00 AM,2024,07,02,03,28.0,26,Good,30.0,PPB,1 Hr,Valid
Doha,O3,2024-07-02 04:00 AM,2024,07,02,04,26.0,24,Good,23.0,PPB,1 Hr,Valid
Doha,O3,2024-07-02 05:00 AM,2024,07,02,05,31.0,29,Good,21.0,PPB,1 Hr,Valid
Doha,O3,2024-07-02 06:00 AM,2024,07,02,06,25.0,23,Good,17.0,PPB,1 Hr,Valid
Doha,O3,2024-07-02 07:00 AM,2024,07,02,07,33.0,31,Good,24.0,PPB,1 Hr,Valid
Doha,O3,2024-07-02 08:00 AM,2024,07,02,08,29.0,27,Good,33.0,PPB,1 Hr,Valid
Doha,O3,2024-07-02 09:00 AM,2024,07,02,09,34.0,31,Good,39.0,PPB,1 Hr,Valid
Doha,O3,2024-07-02 10:00 AM,2024,07,02,10,43.0,40,Good,50.0,PPB,1 Hr,Valid
Doha,O3,2024-07-02 11:00 AM,2024,07,02,11,57.0,58,Moderate,66.0,PPB,1 Hr,Valid
Doha,O3,2024-07-02 12:00 PM,2024,07,02,12,64.0,80,Moderate,76.0,PPB,1 Hr,Valid
Doha,O3,2024-07-02 01:00 PM,2024,07,02,13,60.0,67,Moderate,70.0,PPB,1 Hr,Valid
Doha,O3,2024-07-02 02:00 PM,2024,07,02,14,62.0,74,Moderate,59.0,PPB,1 Hr,Valid
Doha,O3,2024-07-02 03:00 PM,2024,07,02,15,54.0,50,Good,53.0,PPB,1 Hr,Valid
Doha,O3,2024-07-02 04:00 PM,2024,07,02,16,60.0,67,Moderate,52.0,PPB,1 Hr,Valid
Doha,O3,2024-07-02 05:00 PM,2024,07,02,17,58.0,61,Moderate,51.0,PPB,1 Hr,Valid
Doha,O3,2024-07-02 06:00 PM,2024,07,02,18,53.0,49,Good,51.0,PPB,1 Hr,Valid
Doha,O3,2024-07-02 07:00 PM,2024,07,02,19,43.0,40,Good,50.0,PPB,1 Hr,Valid
Doha,O3,2024-07-02 08:00 PM,2024,07,02,20,45.0,42,Good,55.0,PPB,1 Hr,Valid
