Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Dubai,O3,2019-12-01 01:00 AM,2019,12,01,01,40.0,37,Good,42.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-01 02:00 AM,2019,12,01,02,21.0,19,Good,8.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-01 03:00 AM,2019,12,01,03,14.0,13,Good,1.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-01 04:00 AM,2019,12,01,04,10.0,9,Good,1.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-01 05:00 AM,2019,12,01,05,10.0,9,Good,1.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-01 06:00 AM,2019,12,01,06,4.0,4,Good,1.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-01 07:00 AM,2019,12,01,07,4.0,4,Good,1.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-01 08:00 AM,2019,12,01,08,3.0,3,Good,1.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-01 09:00 AM,2019,12,01,09,4.0,4,Good,1.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-01 10:00 AM,2019,12,01,10,6.0,6,Good,3.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-01 11:00 AM,2019,12,01,11,8.0,7,Good,3.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-01 12:00 PM,2019,12,01,12,11.0,10,Good,3.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-01 01:00 PM,2019,12,01,13,17.0,16,Good,9.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-01 02:00 PM,2019,12,01,14,24.0,22,Good,22.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-01 03:00 PM,2019,12,01,15,25.0,23,Good,27.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-01 04:00 PM,2019,12,01,16,33.0,31,Good,37.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-01 05:00 PM,2019,12,01,17,30.0,28,Good,27.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-01 06:00 PM,2019,12,01,18,47.0,44,Good,49.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-01 07:00 PM,2019,12,01,19,50.0,46,Good,55.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-01 08:00 PM,2019,12,01,20,54.0,50,Good,57.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-01 09:00 PM,2019,12,01,21,51.0,47,Good,62.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-01 10:00 PM,2019,12,01,22,46.0,43,Good,49.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-01 11:00 PM,2019,12,01,23,43.0,40,Good,43.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-02 12:00 AM,2019,12,02,00,39.0,36,Good,38.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-02 01:00 AM,2019,12,02,01,35.0,32,Good,27.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-02 02:00 AM,2019,12,02,02,28.0,26,Good,18.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-02 03:00 AM,2019,12,02,03,22.0,20,Good,17.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-02 04:00 AM,2019,12,02,04,16.0,15,Good,5.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-02 05:00 AM,2019,12,02,05,11.0,10,Good,2.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-02 06:00 AM,2019,12,02,06,8.0,7,Good,1.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-02 07:00 AM,2019,12,02,07,2.0,2,Good,1.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-02 08:00 AM,2019,12,02,08,1.0,1,Good,1.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-02 09:00 AM,2019,12,02,09,3.0,3,Good,1.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-02 10:00 AM,2019,12,02,10,2.0,2,Good,1.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-02 11:00 AM,2019,12,02,11,0.0,0,Good,1.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-02 12:00 PM,2019,12,02,12,4.0,4,Good,7.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-02 01:00 PM,2019,12,02,13,17.0,16,Good,20.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-02 02:00 PM,2019,12,02,14,22.0,20,Good,32.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-02 03:00 PM,2019,12,02,15,31.0,29,Good,44.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-02 04:00 PM,2019,12,02,16,44.0,41,Good,55.0,PPB,1 Hr,Valid
Dubai,O3,2019-12-02 05:00 PM,2019,12,02,17,52.0,48,Good,58.0,PPB,1 Hr,Valid
