Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Dubai,O3,2022-04-05 03:00 PM,2022,04,05,15,93.0,169,Unhealthy,104.0,PPB,1 Hr,Valid
Dubai,O3,2022-04-05 04:00 PM,2022,04,05,16,82.0,140,Unhealthy for Sensitive Groups,91.0,PPB,1 Hr,Valid
Dubai,O3,2022-04-05 05:00 PM,2022,04,05,17,76.0,119,Unhealthy for Sensitive Groups,84.0,PPB,1 Hr,Valid
Dubai,O3,2022-04-05 06:00 PM,2022,04,05,18,70.0,100,Moderate,77.0,PPB,1 Hr,Valid
Dubai,O3,2022-04-05 07:00 PM,2022,04,05,19,66.0,87,Moderate,73.0,PPB,1 Hr,Valid
Dubai,O3,2022-04-05 08:00 PM,2022,04,05,20,66.0,87,Moderate,72.0,PPB,1 Hr,Valid
Dubai,O3,2022-04-05 09:00 PM,2022,04,05,21,61.0,71,Moderate,66.0,PPB,1 Hr,Valid
Dubai,O3,2022-04-05 10:00 PM,2022,04,05,22,51.0,47,Good,55.0,PPB,1 Hr,Valid
Dubai,O3,2022-04-05 11:00 PM,2022,04,05,23,25.0,23,Good,24.0,PPB,1 Hr,Valid
Dubai,O3,2022-04-06 12:00 AM,2022,04,06,00,45.0,42,Good,48.0,PPB,1 Hr,Valid
Dubai,O3,2022-04-06 01:00 AM,2022,04,06,01,48.0,44,Good,51.0,PPB,1 Hr,Valid
Dubai,O3,2022-04-06 02:00 AM,2022,04,06,02,26.0,24,Good,25.0,PPB,1 Hr,Valid
Dubai,O3,2022-04-06 03:00 AM,2022,04,06,03,6.0,6,Good,2.0,PPB,1 Hr,Valid
Dubai,O3,2022-04-06 04:00 AM,2022,04,06,04,5.0,5,Good,0.0,PPB,1 Hr,Valid
Dubai,O3,2022-04-06 05:00 AM,2022,04,06,05,5.0,5,Good,0.0,PPB,1 Hr,Valid
Dubai,O3,2022-04-06 06:00 AM,2022,04,06,06,5.0,5,Good,0.0,PPB,1 Hr,Valid
Dubai,O3,2022-04-06 07:00 AM,2022,04,06,07,5.0,5,Good,1.0,PPB,1 Hr,Valid
Dubai,O3,2022-04-06 08:00 AM,2022,04,06,08,6.0,6,Good,2.0,PPB,1 Hr,Valid
Dubai,O3,2022-04-06 09:00 AM,2022,04,06,09,9.0,8,Good,5.0,PPB,1 Hr,Valid
Dubai,O3,2022-04-06 10:00 AM,2022,04,06,10,13.0,12,Good,10.0,PPB,1 Hr,Valid
Dubai,O3,2022-04-06 11:00 AM,2022,04,06,11,27.0,25,Good,26.0,PPB,1 Hr,Valid
Dubai,O3,2022-04-06 12:00 PM,2022,04,06,12,38.0,35,Good,40.0,PPB,1 Hr,Valid
Dubai,O3,2022-04-06 01:00 PM,2022,04,06,13,35.0,32,Good,35.0,PPB,1 Hr,Valid
Dubai,O3,2022-04-06 02:00 PM,2022,04,06,14,31.0,29,Good,31.0,PPB,1 Hr,Valid
Dubai,O3,2022-04-06 03:00 PM,2022,04,06,15,60.0,67,Moderate,65.0,PPB,1 Hr,Valid
Dubai,O3,2022-04-06 04:00 PM,2022,04,06,16,75.0,115,Unhealthy for Sensitive Groups,83.0,PPB,1 Hr,Valid
Dubai,O3,2022-04-06 05:00 PM,2022,04,06,17,102.0,192,Unhealthy,115.0,PPB,1 Hr,Valid
Dubai,O3,2022-04-06 06:00 PM,2022,04,06,18,68.0,93,Moderate,75.0,PPB,1 Hr,Valid
Dubai,O3,2022-04-06 07:00 PM,2022,04,06,19,69.0,97,Moderate,76.0,PPB,1 Hr,Valid
Dubai,O3,2022-04-06 08:00 PM,2022,04,06,20,61.0,71,Moderate,66.0,PPB,1 Hr,Valid
