Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Dubai,PM2.5 - Principal,2022-07-01 01:00 AM,2022,07,01,01,115.9,182,Unhealthy,110.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-01 02:00 AM,2022,07,01,02,114.0,181,Unhealthy,108.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-01 03:00 AM,2022,07,01,03,109.0,179,Unhealthy,97.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-01 04:00 AM,2022,07,01,04,105.6,177,Unhealthy,97.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-01 05:00 AM,2022,07,01,05,98.3,173,Unhealthy,88.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-01 06:00 AM,2022,07,01,06,96.1,172,Unhealthy,92.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-01 07:00 AM,2022,07,01,07,120.4,185,Unhealthy,155.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-01 08:00 AM,2022,07,01,08,138.7,194,Unhealthy,160.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-01 09:00 AM,2022,07,01,09,159.0,209,Very Unhealthy,176.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-01 10:00 AM,2022,07,01,10,155.5,206,Very Unhealthy,152.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-01 11:00 AM,2022,07,01,11,146.2,198,Unhealthy,137.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-01 12:00 PM,2022,07,01,12,126.6,188,Unhealthy,107.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-01 01:00 PM,2022,07,01,13,124.8,187,Unhealthy,123.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-01 02:00 PM,2022,07,01,14,129.4,189,Unhealthy,134.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-01 03:00 PM,2022,07,01,15,130.7,190,Unhealthy,132.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-01 04:00 PM,2022,07,01,16,122.3,185,Unhealthy,114.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-01 05:00 PM,2022,07,01,17,114.2,181,Unhealthy,105.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-01 06:00 PM,2022,07,01,18,106.3,177,Unhealthy,96.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-01 07:00 PM,2022,07,01,19,106.1,177,Unhealthy,106.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-01 08:00 PM,2022,07,01,20,111.9,180,Unhealthy,119.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-01 09:00 PM,2022,07,01,21,116.0,182,Unhealthy,123.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-01 10:00 PM,2022,07,01,22,120.8,185,Unhealthy,133.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-01 11:00 PM,2022,07,01,23,127.0,188,Unhealthy,140.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-02 12:00 AM,2022,07,02,00,129.6,189,Unhealthy,135.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-02 01:00 AM,2022,07,02,01,125.6,187,Unhealthy,117.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-02 02:00 AM,2022,07,02,02,120.6,185,Unhealthy,110.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-02 03:00 AM,2022,07,02,03,124.2,186,Unhealthy,132.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-02 04:00 AM,2022,07,02,04,137.1,193,Unhealthy,157.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-02 05:00 AM,2022,07,02,05,138.3,194,Unhealthy,140.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-02 06:00 AM,2022,07,02,06,135.9,193,Unhealthy,134.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-02 07:00 AM,2022,07,02,07,136.7,193,Unhealthy,139.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-02 08:00 AM,2022,07,02,08,135.9,193,Unhealthy,134.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-02 09:00 AM,2022,07,02,09,141.2,195,Unhealthy,153.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-02 10:00 AM,2022,07,02,10,206.2,256,Very Unhealthy,268.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-02 11:00 AM,2022,07,02,11,226.1,276,Very Unhealthy,246.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-02 12:00 PM,2022,07,02,12,206.5,256,Very Unhealthy,187.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-02 01:00 PM,2022,07,02,13,194.2,244,Very Unhealthy,182.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-02 02:00 PM,2022,07,02,14,185.1,235,Very Unhealthy,176.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-02 03:00 PM,2022,07,02,15,168.5,219,Very Unhealthy,152.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-02 04:00 PM,2022,07,02,16,161.7,212,Very Unhealthy,155.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-07-02 05:00 PM,2022,07,02,17,156.3,207,Very Unhealthy,151.0,UG/M3,1 Hr,Valid
